id	关卡名策划看	关卡类型(1-战斗，2-约会，3-城市约会，11-卡巴拉活动关卡)	玩法模式(1-常规，2-飞行，3-撞击，约会关卡不填)	前置关卡id	是否为free关	约会ID(读取约会表中的ID)	剧情简介	每卷最后1个主线剧情关卡(填1做标识)	关卡点位(1个wave中每个关卡布局点)	所属关卡组ID	精灵限定类型(0-无限定/禁用；1-不能编入自己的精灵；2-可以编入自己的精灵；3-禁用精灵；)	限定精灵ID(读取heroLimitforDungeon表ID)	禁用精灵ID(读取hero表中ID)	刷怪组id	关卡脚本	关卡步骤表ID（完全由编辑器生成的关卡不填）	背景音乐	显示顺序	难度	地图摄像机修正Z	地图摄像机修正X(x1-x2，x1为向左扩大，x2为向右扩大)	关卡时长	关卡名字（暂时没用此字段）	关卡简名（获取系统用）	关卡分级名字	关卡图标	关卡图标上奖励展示	关卡图片	关卡图片(约会关卡用此字段配置关卡场景展示缩略图)	关卡限定属性(1普攻伤害降低且技能伤害提高，2普攻伤害提高且技能伤害降低，后续扩展)	限定对象类型(1角色，2助战伙伴，3所有怪物(包含Boss)，4特指Boss，5普通怪物，6精英怪物)	限定属性描述	刷怪备注(策划看)	通关条件类型(1歼灭，2生存，3击杀具体怪物，4击杀怪物类型，5击杀怪物数量，6防守)	通关条件参数(歼灭不填，生存x秒内存活，怪物ID及数量x，怪物敌人类型及数量x，怪物总量x)	通关条件描述	通关条件开场描述	挑战类型(1通关，2连击数，3通关时间小于，4损失血量低于x%，5死亡人数小于x，6受击次数小于x，7倒地次数小于x，8使用x次觉醒技能，9使用角色出场技击败x个敌人，10选择一个助战角色，11队伍中包含某角色，12每x秒至少击杀1名敌人，13队伍中所有精灵使用技能总次数不超过x，14队伍中不能有精灵阵亡，21-达到约会评分等级，22-完成特定结局)	挑战参数（类型为1通关时，参数配置为1）	挑战描述	首通奖励展示	关卡掉落展示	进入等级	消耗资源	可进入次数	是否可以开启决斗模式	开启决斗模式消耗资源	决斗模式奖励倍数	决斗模式下的怪物技能	是否可以一次性挑战多次	快速挑战参数{挑战次数:解锁星星条件}	奖励	首通奖励	是否播放关卡开场默认动作	是否播放胜利动作
107101	第7章简单1-1-约会	2		106422-106423		2003	950051		[29,[1,2]]	7001				1007001-1007002-1007003	test_1		sound/battle_sound/battle_001.mp3	1	1			300	300301			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png					1	[[3]]	300801	300816	2-7-8	30-6-1	300052-300057-300058	510209-510102-510152	510209-510102-510152	47	{500004:0}	99	0				0			60110701	1	1
107102	第7章简单1-2-支线约会	2		107101	1	2002	950041		[57,[16]]	7001				1007004-1007005	test_1		sound/battle_sound/battle_001.mp3	2	1			300	300302			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png				常规+定时	3-3	[[1071,4],[2040,2]]	300804-300804	300819	3-5-9	100-3-2	300053-300055-300059	510216-510102-510152	510216-510102-510152	47	{500004:0}	99	0				0			60110702	1	1
107103	第7章简单1-3-战斗	1	1	107101					[32,[5,6]]	7001				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	3	1			300	300303			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510213-510102-510152	510213-510154-510102-510152-210009	47	{500004:12}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210703	60110703	1	1
107104	第7章简单1-4-战斗	1	1	107103					[21,[3]]	7001				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	4	1			300	300304			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				极限	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510214-510102-510152	510214-510223-510102-510152-210009	47	{500004:12}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210704	60110704	1	1
107105	第7章简单1-5-约会	2		107104		2003	950046		[49,[4]]	7001				1007013-1007014-1007015	test_1		sound/battle_sound/battle_001.mp3	5	1			300	300305			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					3	[[50601,1]]	300807	300819	2-7-11	30-6-110101	300052-300057-300061	510215-510102-510152	510215-510102-510152	47	{500004:0}	99	0				0			60110705	1	1
107106	第7章简单1-6-战斗	1	1	107105					[25,[3]]	7001				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	6	1			300	300301			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_3.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510303-510102-510152	510215-210017-510102-510152-210009	47	{500004:12}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210706	60110706	1	1
107207	第7章简单2-1-战斗	1	1	107106					[29,[5,6]]	7002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	1	1			300	300302			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_1.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				循环	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510216-510102-510152	510216-510104-510102-510152-210009	49	{500004:12}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210707	60110707	1	1
107208	第7章简单2-2-战斗	1	1	107207					[32,[1,2]]	7002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	2	1			300	300303			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png				常规+极限	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510209-510102-510152	510209-210018-510102-510152-210009	49	{500004:12}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210708	60110708	1	1
107209	第7章简单2-3-支线约会	2		107208	1	2004	950041		[8,[17]]	7002				1007025-1007026-1007027	test_1		sound/battle_sound/battle_001.mp3	3	1			300	300304			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png	8001	1	300901		1	[[3]]	300801	300816	4-5-8	50-3-1	300054-300055-300058	510214-510102-510152	510214-510102-510152	49	{500004:0}	99	0				0			60110709	1	1
107210	第7章简单2-4-约会	2		107208		1002	950007		[47,[4]]	7002				1007028-1007029	test_1		sound/battle_sound/battle_001.mp3	4	1			300	300305			icon/fuben/levelIcon/Dating/sixinaibingxuejiejie.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					3	[[50601,1]]	300807	300819	3-7-10	100-6-1	300053-300057-300060	510213-510102-510152	510213-510102-510152	49	{500004:0}	99	0				0			60110710	1	1
107211	第7章简单2-5-战斗	1	1	107210					[23,[3]]	7002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	5	1			300	300301			icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510210-510102-510152	510210-510154-510102-510152-210009	49	{500004:12}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210711	60110711	1	1
107212	第7章简单2-6-战斗	1	1	107211					[51,[4]]	7002				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	6	1			300	300302			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				极限	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510303-510102-510152	510211-510224-510102-510152-210009	49	{500004:12}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210712	60110712	1	1
107313	第7章简单3-1-战斗	1	1	107212					[3,[10]]	7003				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	1	1			300	300303			icon/fuben/levelIcon/Dungeon/bingfengjiedao_3.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png				定时	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510212-510102-510152	510212-210019-510102-510152-210009	51	{500004:12}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210713	60110713	1	1
107314	第7章简单3-2-战斗	1	1	107212					[29,[5,6]]	7003				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	2	1			300	300304			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510213-510102-510152	510213-510104-510102-510152-210009	51	{500004:12}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210714	60110714	1	1
107315	第7章简单3-3-战斗	1	1	107212					[55,[9]]	7003				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	3	1			300	300305			icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510214-510102-510152	510214-210010-510102-510152-210009	51	{500004:12}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210715	60110715	1	1
107316	第7章简单3-4-约会	2		107313-107314-107315		2005	950031		[33,[1,2]]	7003								4	1																						510212-510102-510152	510212-510102-510152	51	{500004:0}	99	0				0			60110716	1	1
107317	第7章简单3-5-战斗	1	1	107316					[22,[3]]	7003				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	5	1			300				icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_3.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510215-510102-510152	510215-510154-510102-510152-210009	51	{500004:12}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210717	60110717	1	1
107318	第7章简单3-6-约会	2		107317		2003	950036		[50,[4]]	7003								6	1																						510303-510102-510152	510303-510102-510152	51	{500004:0}	99	0				0			60110718	1	1
107419	第7章简单4-1-战斗	1	1	107318					[29,[1,2]]	7004				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	1	1			300				icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_1.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510216-510102-510152	510216-510217-510102-510152-210009	53	{500004:12}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210719	60110719	1	1
107420	第7章简单4-2-战斗	1	1	107419					[44,[4]]	7004				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	2	1			300				icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510209-510102-510152	510209-210011-510102-510152-210009	53	{500004:12}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210720	60110720	1	1
107421	第7章简单4-3-战斗	1	1	107420					[33,[1,2]]	7004				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	3	1			300				icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510210-510102-510152	510210-510104-510102-510152-210009	53	{500004:12}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210721	60110721	1	1
107422	第7章简单4-4-支线战斗	1	1	107421	1				[9,[17]]	7004				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	4	1			300				icon/fuben/levelIcon/Dating/zhihuibu.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510210-510102-510152	510210-510104-510102-510152-210009	53	{500004:12}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210722	60110722	1	1
107423	第7章简单4-5-约会	2		107421		2005	950041		[36,[5,6]]	7004								5	1																						510303-510102-510152	510303-510102-510152	53	{500004:0}	99	0				0			60110723	1	1
107524	第7章简单5-1-战斗	1	1	107423					[29,[5,6]]	7005				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	1	1			300				icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_3.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510211-510102-510152	510211-210012-510102-510152-210009	55	{500004:12}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210724	60110724	1	1
107525	第7章简单5-2-战斗	1	1	107524					[32,[1,2]]	7005				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	2	1			300				icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510212-510102-510152	510212-510154-510102-510152-210009	55	{500004:12}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210725	60110725	1	1
107526	第7章简单5-3-支线战斗	1	1	107525	1				[60,[16]]	7005				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	3	1			300				icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510216-510102-510152	510212-510154-510102-510152-210009	55	{500004:12}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210726	60110726	1	1
107527	第7章简单5-4-战斗	1	1	107525					[22,[3]]	7005				2411-2412-2413-2414	3_S2L4		sound/battle_sound/battle_001.mp3	4	1			300				icon/fuben/levelIcon/Dungeon/bingfengjiedao_3.png								1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510213-510102-510152	510213-510218-510102-510152-210009	55	{500004:12}	99	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60210727	60110727	1	1
107528	第7章简单5-5-约会	2		107527		2002	950046	1	[50,[4]]	7005								5	1																						510303-510102-510152	510303-510102-510152	55	{500004:0}	99	0				0			60110728	1	1
201101	第1章困难1-1	1	1	101207					[29,[5,6]]	1001				101101-101102-101103-101104	2_hedao	1101	sound/battle_sound/battle_002.mp3	1	2			300	300301			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					1	[[2]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510209-510102-510152	510209-510105-510102-510152-220009	1	{500004:12}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220101	60120101	1	1
201102	第1章困难1-2	1	1	101207-201101					[18,[3]]	1001				101201-101202-101203-101204	2_bingfengjiedao	1102	sound/battle_sound/battle_003.mp3	2	2			300	300302			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					1	[[2]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510210-510102-510152	510210-220020-510102-510152-220009	1	{500004:12}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220102	60120102	1	1
201103	第1章困难1-3	1	1	101207-201102					[46,[4]]	1001				101301-101302-101303-101304	2_tiantai	1103	sound/battle_sound/battle_004.mp3	3	2			300	300303			icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				常规+循环+常规	1	[[2]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510211-510102-510152	510211-570002-510102-510152-220009	1	{500004:12}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220103	60120103	1	1
201104	第1章困难1-4	1	1	101207-201103					[22,[3]]	1001				101401-101402-101403-101404	2_xuexiaocaochang	1104	sound/battle_sound/battle_001.mp3	4	2			300	300304			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_3.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png	8008	1	300908	极限+常规	1	[[2]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510212-510102-510152	510212-510217-510102-510152-220009	1	{500004:12}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220104	60120104	1	1
201105	第1章困难1-5	1	1	101207-201104					[50,[4]]	1001				101501-101502-101503-101504	2_hedao	1105	sound/battle_sound/battle_002.mp3	5	2			300	300305			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_1.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					1	[[2]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510301-510102-510152	510213-510301-510102-510152-220009	1	{500004:12}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220105	60120105	1	1
201206	第1章困难2-1	1	1	101207-201105					[29,[1,2]]	1002				101601-101602-101603-101604	2_bingfengjiedao	1106	sound/battle_sound/battle_003.mp3	1	2			300	300301			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					1	[[2]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510214-510102-510152	510214-510105-510102-510152-220009	1	{500004:12}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220106	60120106	1	1
201207	第1章困难2-2	1	1	101207-201206					[44,[4]]	1002				101701-101702-101703-101704	2_tiantai	1107	sound/battle_sound/battle_004.mp3	2	2			300	300302			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png				定时(怪物易逃跑)	1	[[2]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510215-510102-510152	510215-220021-510102-510152-220009	1	{500004:12}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220107	60120107	1	1
201208	第1章困难2-3	1	1	101207-201207					[20,[3]]	1002				101801-101802-101803-101804	2_xuexiaocaochang	1108	sound/battle_sound/battle_001.mp3	3	2			300	300303			icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png				常规+极限+常规	1	[[2]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510216-510102-510152	510216-570002-510102-510152-220009	1	{500004:12}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220108	60120108	1	1
201209	第1章困难2-4	1	1	101207-201208					[48,[4]]	1002				101901-101902-101903-101904	2_hedao	1109	sound/battle_sound/battle_002.mp3	4	2			300	300304			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png	8009	1	300909	定时+常规	1	[[2]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510209-510102-510152	510209-510218-510102-510152-220009	1	{500004:12}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220109	60120109	1	1
201210	第1章困难2-5	1	1	101207-201209					[24,[3]]	1002				102001-102002-102003-102004	2_bingfengjiedao	1110	sound/battle_sound/battle_003.mp3	5	2			300	300305			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png					1	[[2]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510301-510102-510152	510210-510301-510102-510152-220009	1	{500004:12}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220110	60120110	1	1
202101	第2章困难1-1	1	1	102314-201210					[29,[5,6]]	2001				201101-201102-201103-201104	2_hedao	2101	sound/battle_sound/battle_001.mp3	1	2			300	300301			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png				常规+循环+常规	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510211-510102-510152	510211-510105-510102-510152-220009	1	{500004:14}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220201	60120201	1	1
202102	第2章困难1-2	1	1	102314-202101					[18,[3]]	2001				201201-201202-201203-201204	2_bingfengjiedao	2102	sound/battle_sound/battle_002.mp3	2	2			300	300302			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png				常规+定时	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510212-510102-510152	510212-220022-510102-510152-220009	1	{500004:14}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220202	60120202	1	1
202103	第2章困难1-3	1	1	102314-202102					[46,[4]]	2001				201301-201302-201303-201304	2_tiantai	2103	sound/battle_sound/battle_003.mp3	3	2			300	300303			icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510213-510102-510152	510213-570002-510102-510152-220009	1	{500004:14}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220203	60120203	1	1
202104	第2章困难1-4	1	1	102314-202103					[22,[3]]	2001				201401-201402-201403-201404	2_xuexiaocaochang	2104	sound/battle_sound/battle_004.mp3	4	2			300	300304			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_3.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png	8002	1	300902		1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510214-510102-510152	510214-510219-510102-510152-220009	1	{500004:14}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220204	60120204	1	1
202105	第2章困难1-5	1	1	102314-202104					[37,[1,2]]	2001				201501-201502-201503-201504	2_hedao	2105	sound/battle_sound/battle_001.mp3	5	2			300	300305			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_1.png		scene/bg/bg_fuben_ditie.png	scene/bg/bg_zhunbei_ditie.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510306-510102-510152	510215-510306-510102-510152-220009	1	{500004:14}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220205	60120205	1	1
202206	第2章困难2-1	1	1	102314-202105					[29,[5,6]]	2002				201601-201602-201603-201604	2_bingfengjiedao	2106	sound/battle_sound/battle_002.mp3	1	2			300	300301			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510216-510102-510152	510216-510105-510102-510152-220009	1	{500004:14}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220206	60120206	1	1
202207	第2章困难2-2	1	1	102314-202206					[18,[3]]	2002				201701-201702-201703-201704	2_tiantai	2107	sound/battle_sound/battle_003.mp3	2	2			300	300302			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				循环	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510209-510102-510152	510209-220023-510102-510152-220009	1	{500004:14}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220207	60120207	1	1
202208	第2章困难2-3	1	1	102314-202207					[46,[4]]	2002				201801-201802-201803-201804	2_xuexiaocaochang	2108	sound/battle_sound/battle_004.mp3	3	2			300	300303			icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510210-510102-510152	510210-570002-510102-510152-220009	1	{500004:14}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220208	60120208	1	1
202209	第2章困难2-4	1	1	102314-202208					[22,[3]]	2002				201901-201902-201903-201904	2_hedao	2109	sound/battle_sound/battle_001.mp3	4	2			300	300304			icon/fuben/levelIcon/Dungeon/xinshouguanqia_1.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png				常规+定时+常规	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510211-510102-510152	510211-510220-510102-510152-220009	1	{500004:14}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220209	60120209	1	1
202210	第2章困难2-5	1	1	102314-202209					[50,[4]]	2002				202001-202002-202003-202004	2_bingfengjiedao	2110	sound/battle_sound/battle_002.mp3	5	2			300	300305			icon/fuben/levelIcon/Dating/zhihuibu.png		scene/bg/bg_fuben_zhengchangditie.png	scene/bg/bg_zhunbei_zhengchangditie.png	8005	3	300905		1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510306-510102-510152	510212-510306-510102-510152-220009	1	{500004:14}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220210	60120210	1	1
202311	第2章困难3-1	1	1	102314-202210					[29,[5,6]]	2003				202101-202102-202103-202104	2_tiantai	2111	sound/battle_sound/battle_003.mp3	1	2			300	300301			icon/fuben/levelIcon/Dating/jiaoshiyibanpohuai.png		scene/bg/bg_fuben_pohuaiputongjiedao.png	scene/bg/bg_zhunbei_pohuaiputongjiedao.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510213-510102-510152	510213-510105-510102-510152-220009	1	{500004:14}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220211	60120211	1	1
202312	第2章困难3-2	1	1	102314-202311					[44,[4]]	2003				202201-202202-202203-202204	2_xuexiaocaochang	2112	sound/battle_sound/battle_004.mp3	2	2			300	300302			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_3.png		scene/bg/bg_fuben_pohuaixiaowai.png	scene/bg/bg_zhunbei_pohuaixiaowai.png				循环	1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510214-510102-510152	510214-220024-510102-510152-220009	1	{500004:14}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220212	60120212	1	1
202313	第2章困难3-3	1	1	102314-202312					[20,[3]]	2003				202301-202302-202303-202304	2_hedao	2113	sound/battle_sound/battle_001.mp3	3	2			300	300303			icon/fuben/levelIcon/Dungeon/pohuaijiaoshi_1.png		scene/bg/bg_fuben_xuexiao.png	scene/bg/bg_zhunbei_xuexiao.png					1	[[3]]	300801	300816	2-6-11	15-30-110101	300052-300056-300061	510215-510102-510152	510215-570002-510102-510152-220009	1	{500004:14}	3	1	{570031:1}	2	1001	1	{1:0,2:2,3:3}	60220213	60120213	1	1
