	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
70505110	2101003	2	{}		100		回想起刚刚十香一个失手就可能飞上天的危险场景……	1	{}			{}	{}					70505111		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70505111	2101003	2	{}		100		不过说起来十香应该不会怕在天空滞留。	1	{}			{}	{}					70505112		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70505112	2101003	2	{}		100	夜刀神十香	「哦， %s 你是怕我脱手飞出去吗？」	1	{}			{}	{}					70505113		1								2	{}	1.4										{}											{}										1.2		{}			sound/role/shixiang/TOUKA_S_08.mp3														{}	{}					{}	{}		{}		
70505113	2101003	2	{}		100		十香突然明白了什么，然后笑出了声。	1	{}			{}	{}					70606101		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506101	2101003	2	{}		100		我逐渐放轻了力量，秋千的幅度逐渐小了下来	1	{}			{}	{}					70506102	1	10107			id_pose_1		id_look_1			2	{}	1.4										{}											{}							scene/bg/bg_gongyuan.png			1.2	-1	{}	sound/bgm/date_002.mp3																{}	{}					{}	{}		{}		
70506102	2101003	2	{}		100		中途十香就感受到了这一点。	1	{}			{}	{}					70506103		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506103	2101003	2	{}		100	夜刀神十香	「好嘛，我知道 %s 是为了我好。」	1	{}			{}	{}					70506104		1			id_pose_6		id_look_2	103_eff	id_gas	2	{}	1.4										{}											{}										1.2		{}			sound/role/shixiang/TOUKA_S_14.mp3														{}	{}					{}	{}		{}		
70506104	2101003	2	{}		100		尽管嘴上这么说，她还是倔强地嘟着嘴。	1	{}			{}	{}					70506105		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506105	2101003	2	{}		100	1	「这样也挺不错的，别做那么危险的事嘛。」	1	{}			{}	{}					70506106		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506106	2101003	2	{}		100		我坐在另外的秋千上，双脚摆动着幅度。	1	{}			{}	{}					70506107		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506107	2101003	2	{}		100	夜刀神十香	「有时候也想尽兴一次嘛……」	1	{}			{}	{}					70506108		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506108	2101003	2	{}		100		十香扭过头去，摆出不想理我的姿态。	1	{}			{}	{}					70506109		1			id_pose_6		id_look_5			2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506109	2101003	2	{}		100	1	「刚刚不是已经很高了吗，我都不敢那么玩呢。」	1	{}			{}	{}					70506110		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506110	2101003	2	{}		100		我的脑袋冒出黑线，出于好心怎么会这个样子呢？	1	{}			{}	{}					70506111		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506111	2101003	2	{}		100	夜刀神十香	「好啦好啦，没有埋怨 %s 。」	1	{}			{}	{}					70506112		1			id_pose_9		id_look_1			2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506112	2101003	2	{}		100		她用脚滑动了两下，秋千又借力而起。	1	{}			{}	{}					70606101		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506201	2101003	2	{}		100	1	「那我继续了，你可要小心了。」	1	{}			{}	{}					70506202	1	10107			id_pose_1		id_look_1			2	{}	1.4										{}											{}							scene/bg/bg_gongyuan.png			1.2	-1	{}	sound/bgm/date_002.mp3																{}	{}					{}	{}		{}		
70506202	2101003	2	{}		100		十香的秋千已经飞得很高了。	1	{}			{}	{}					70506203		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506203	2101003	2	{}		100	夜刀神十香	「唔姆，在上面看得好远。」	1	{}			{}	{}					70506204		1			id_pose_5		id_look_3			2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506204	2101003	2	{}		100		她的声音伴随着高速移动的风压。	1	{}			{}	{}					70506205		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506205	2101003	2	{}		100	1	「已经快接近临界线了。」	1	{}			{}	{}					70506206		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506206	2101003	2	{}		100		看着几乎已经和地面垂直的十香，不担心那是假的。	1	{}			{}	{}					70506207		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506207	2101003	2	{}		100	夜刀神十香	「好像听到什么声音？啊……」	1	{}			{}	{}					70506208		1			id_pose_10		id_look_7			2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506208	2101003	2	{}		100		秋千的绳索设定初衷当然不是为了进行这么大幅度	1	{}			{}	{}					70506209		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506209	2101003	2	{}		100		的摆动，我看着固定的关节冒出了火花。	1	{}			{}	{}					70506210		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506210	2101003	2	{}		100	1	「十香危险！」	1	{}			{}	{}					70506211		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506211	2101003	2	{}		100		其中一个关节轰然断裂，十香还在空中的身体猛然	1	{}			{}	{}					70506212		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506212	2101003	2	{}		100		停滞，失去平衡被甩飞了出去。	1	{}			{}	{}					70506213		1			id_pose_10		id_look_11			2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506213	2101003	2	{}		100	夜刀神十香	「呼…… %s 说得没错呢。」	1	{}			{}	{}					70506214		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506214	2101003	2	{}		100		十香停在了半空中，一副心有余悸的模样。	1	{}			{}	{}					70506215		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506215	2101003	2	{}		100	1	「没事吧，十香。」	1	{}			{}	{}					70506216		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506216	2101003	2	{}		100		她缓缓落地，我急忙去确认她的安危。	1	{}			{}	{}					70506217		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70506217	2101003	2	{}		100	夜刀神十香	「我可是[精灵]， 但%s 一直在担心我呢，我真的很高兴！」	1	{}			{}	{}					70506218		1			id_pose_9					2	{}	1.4										{}											{}										1.2		{}			sound/role/shixiang/TOUKA_S_20.mp3														{}	{}					{}	{}		{}		
70506218	2101003	2	{}		100		她抱住了我，满脸娇羞的模样	1	{}			{}	{}					70506219		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70506219	2101003	2	{}		100		我永远喜欢十香。	1	{}			{}	{}						2	1								2	{}	1										{}											{}										1		{}										10							{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10},{"id":500018,"num":5}]}}	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":10},{"id":500018,"num":3}]}}				2	{}	{}		{}		
70506301	2101003	2	{}		100	1	「十香，那么高不害怕吗？」	1	{}			{}	{}					70506302	1	10107			id_pose_1		id_look_1			2	{}	1										{}											{}							scene/bg/bg_gongyuan.png			1	-1	{}	sound/bgm/date_002.mp3																{}	{}					{}	{}		{}		
70506302	2101003	2	{}		100		我没有回应十香的请求。	1	{}			{}	{}					70506303		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70506303	2101003	2	{}		100	夜刀神十香	「为什么要害怕啊……」	1	{}			{}	{}					70506304		1			id_pose_10		id_look_7			2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70506304	2101003	2	{}		100		伴随着一次加力，十香又飞上了高空。	1	{}			{}	{}					70506305		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70506305	2101003	2	{}		100	1	「普通人飞这么高，都会害怕的。」	1	{}			{}	{}					70506306		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70506306	2101003	2	{}		100		我指了指一旁围观的小孩子。	1	{}			{}	{}					70506307		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70506307	2101003	2	{}		100	夜刀神十香	「但是我没有感觉到那种情绪啊。」	1	{}			{}	{}					70506308		1			id_pose_10		id_look_3			2	{}	1										{}											{}										1		{}			sound/role/shixiang/TOUKA_S_13.mp3														{}	{}					{}	{}		{}		
70506308	2101003	2	{}		100		她松开了手，单薄的身体在秋千上随意晃动。	1	{}			{}	{}					70506309		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70506309	2101003	2	{}		100	1	「……别胡闹了，好好抓住绳索啊。」	1	{}			{}	{}					70506310		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70506310	2101003	2	{}		100		我有些焦急，但是秋千移动速度太快。	1	{}			{}	{}					70607101		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70506401	2101003	2	{}		100	1	「真是羡慕十香呢……」	1	{}			{}	{}					70506402	7	10107			id_pose_1		id_look_1			2	{}	1										{}											{}							scene/bg/bg_gongyuan.png			1	-1	{}	sound/bgm/date_003.mp3																{}	{}					{}	{}		{}		
70506402	2101003	2	{}		100		不知为何，突然也想玩秋千了。	1	{}			{}	{}					70506403		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70506403	2101003	2	{}		100	夜刀神十香	「啊…… %s 好过分，居然自己玩起来了！」	1	{}			{}	{}					70506404		1			id_pose_3		id_look_13	103_eff	id_angry	2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70506404	2101003	2	{}		100		在我无视十香后，她愤怒地回击道。	1	{}			{}	{}					70506405		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70506405	2101003	2	{}		100	1	「看到十香很开心，我也想试试有什么魔力嘛。」	1	{}			{}	{}					70506406		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70506406	2101003	2	{}		100		我连忙停了下来，有些尴尬。	1	{}			{}	{}					70506407		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70506407	2101003	2	{}		100	夜刀神十香	「 %s 也有开心的权利呀，抓稳了哦~」	1	{}			{}	{}					70506408		1								2	{}	1										{}											{}										1		{}			sound/role/shixiang/TOUKA_S_17.mp3														{}	{}					{}	{}		{}		
70506408	2101003	2	{}		100		十香按住了我的坐板，然后开始推动秋千。	1	{}			{}	{}					70506409		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70506409	2101003	2	{}		100	1	「哇，不要推这么高嘛！」	1	{}			{}	{}					70506410		1			id_pose_3		id_look_8			2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70506410	2101003	2	{}		100		我虽然嘴上这么说，但还是很高兴	1	{}			{}	{}					70506411		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70506411	2101003	2	{}		100		今天的记忆，是很美好的回忆呢。十香会想起我的吧。	1	{}			{}	{}						2										{}											{}											{}										1		{}										5							{"fix":{"items":[{"id":500007,"num":30},{"id":500008,"num":10},{"id":500018,"num":5}]}}	{"fix":{"items":[{"id":500007,"num":20},{"id":500008,"num":10},{"id":500018,"num":3}]}}				3	{}	{}		{}		
70507101	2101003	2	{}		100	1	「即便如此，依然还是很危险的。」	1	{}			{}	{}					70507102	1	10107			id_pose_1		id_look_1			2	{}	1										{}											{}							scene/bg/bg_gongyuan.png			1	-1	{}	sound/bgm/date_003.mp3																{}	{}					{}	{}		{}		
70507102	2101003	2	{}		100		看着十香重新回到秋千上，我忍不住提醒。	1	{}			{}	{}					70507103		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70507103	2101003	2	{}		100	夜刀神十香	「我知道你关心我， %s 。」	1	{}			{}	{}					70507104		1			id_pose_10					2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70507104	2101003	2	{}		100		她再次把秋千荡上了天际。	1	{}			{}	{}					70507105		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70507105	2101003	2	{}		100	1	「那就听下我的话嘛，别这么让人心惊胆战了。」	1	{}			{}	{}					70507106		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70507106	2101003	2	{}		100		高速移动的秋千，风压刮得我脸疼。	1	{}			{}	{}					70507107		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70507107	2101003	2	{}		100	夜刀神十香	「第一次玩，让我尽兴一下嘛。」	1	{}			{}	{}					70507108		1			id_pose_6		id_look_4			2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70507108	2101003	2	{}		100		角度再次提升到75度以上，几乎可以绕圈了。	1	{}			{}	{}					70507109		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70507109	2101003	2	{}		100	1	「你听，锁链已经发出异响了。」	1	{}			{}	{}					70507110		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70507110	2101003	2	{}		100		很明显秋千并没有这项机能，已经超负荷运载了。	1	{}			{}	{}					70507111		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70507111	2101003	2	{}		100	夜刀神十香	「 %s ，你是在质疑我的能力吗？」	1	{}			{}	{}					70507112		1			id_pose_6		id_look_6			2	{}	1.4										{}											{}										1.2		{}			sound/role/shixiang/TOUKA_S_15.mp3														{}	{}					{}	{}		{}		
70507112	2101003	2	{}		100		十香没有停下动作，反而在询问我。	1	{}			{}	{}					70606101		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70507201	2101003	2	{}		100	1	「既然你执意这么做，我也不好说什么……」	1	{}			{}	{}					70507202	1	10107			id_pose_1		id_look_1			2	{}	1										{}											{}							scene/bg/bg_gongyuan.png			1	-1	{}	sound/bgm/date_003.mp3																{}	{}					{}	{}		{}		
70507202	2101003	2	{}		100		看着十香再度回到秋千上，我轻轻说道。	1	{}			{}	{}					70507203		1								2	{}	1										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507203	2101003	2	{}		100	夜刀神十香	「 %s ……生气了吗？」	1	{}			{}	{}					70507204					id_pose_9			103_eff	id_surprise		{}											{}											{}										1		{}			sound/role/shixiang/TOUKA_S_20.mp3														{}	{}					{}	{}		{}		
70507204	2101003	2	{}		100		十香准备前往高空的动作缓了下来。	1	{}			{}	{}					70507205					id_pose_9		id_look_7				{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507205	2101003	2	{}		100	1	「没有哦。」	1	{}			{}	{}					70507206											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507206	2101003	2	{}		100		十香终于是听进去了我的话，我长舒一口气。	1	{}			{}	{}					70507207											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507207	2101003	2	{}		100	夜刀神十香	「生气了吗？」	1	{}			{}	{}					70507208					id_pose_9						{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507208	2101003	2	{}		100		在我刚准备缓口气的时候，她马上猛蹬秋千。	1	{}			{}	{}					70507209											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507209	2101003	2	{}		100	1	「没有哦。」	1	{}			{}	{}					70507210											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507210	2101003	2	{}		100		我的内心毫无波动。	1	{}			{}	{}					70507211											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507211	2101003	2	{}		100	夜刀神十香	「生气了吗？」	1	{}			{}	{}					70507212					id_pose_9						{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507212	2101003	2	{}		100		她再度加力，然后从秋千上方绕了一圈。	1	{}			{}	{}					70507213					id_pose_9		id_look_1				{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507213	2101003	2	{}		100	1	「……我走了。」	1	{}			{}	{}					70507214											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507214	2101003	2	{}		100		我的脑袋上全是黑线，怕是再过一会就会爆发。	1	{}			{}	{}					70608101											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507301	2101003	2	{}		100	1	「别再开玩笑了，十香！」	1	{}			{}	{}					70507302	1	10107			id_pose_1		id_look_1			2	{}	1.2										{}											{}							scene/bg/bg_gongyuan.png			1	-1	{}	sound/bgm/date_002.mp3																{}	{}					{}	{}		{}		
70507302	2101003	2	{}		100		我有些生气地对她说道。	1	{}			{}	{}					70507303		1								2	{}	1.2										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507303	2101003	2	{}		100	夜刀神十香	「唔姆…… %s 为什么这么生气啊」	1	{}			{}	{}					70507304		1			id_pose_9		id_look_7			2	{}	1.2										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507304	2101003	2	{}		100		十香停了下来，她有些不解地看着我。	1	{}			{}	{}					70507305		1								2	{}	1.2										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507305	2101003	2	{}		100	1	「不要拿性命开玩笑啊，这是很重要的东西！」	1	{}			{}	{}					70507306		1								2	{}	1.2										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507306	2101003	2	{}		100		我努力向她诉说着，希望能传达我的感情。	1	{}			{}	{}					70507307		1								2	{}	1.2										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507307	2101003	2	{}		100	夜刀神十香	「我不任性了…… %s 不要生气好不好。」	1	{}			{}	{}					70507308		1								2	{}	1.2										{}											{}										1		{}			sound/role/shixiang/TOUKA_S_17.mp3														{}	{}					{}	{}		{}		
70507308	2101003	2	{}		100		十香连忙从秋千上下来，拉住我的衣袖。	1	{}			{}	{}					70507309		1								2	{}	1.2										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507309	2101003	2	{}		100	1	「我也不想生气……只是十香别再坚持了。」	1	{}			{}	{}					70507310		1								2	{}	1.2										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507310	2101003	2	{}		100		我摇了摇头，感觉十分心累。	1	{}			{}	{}					70507311		1								2	{}	1.2										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507311	2101003	2	{}		100	夜刀神十香	「我，我都听 %s 的！」	1	{}			{}	{}					70507312		1			id_pose_10		id_look_8			2	{}	1.2										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70507312	2101003	2	{}		100		十香拉住了我的衣角，委屈地哀求我。	1	{}			{}	{}					1070601101		1								2	{}	1.2										{}											{}										1		{}																	{}	{}					{}	{}		{}		
1070601101	2101003	2	{}		100			1	{}			{}	{}					70601101											{}											{}											{}							scene/bg/bg_gongyuan.png			1	-1	{}																	{}	{}					{}	{}		{}		
70601101	2101003	2	{}		100	1	「哭得这么伤心，发生什么事啦？」	1	{}			{}	{}					70601102		10107			id_pose_1		id_look_1			2	{}	1.2										{}											{}										1		{}	sound/bgm/date_002.mp3																{}	{}					{}	{}		{}		
70601102	2101003	2	{}		100		尽管知道事情的结果，还是要询问一下。	1	{}			{}	{}					70601103											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
70601103	2101003	2	{}		100	小孩子	「呜呜呜……我们的城堡倒了。」	1	{}			{}	{}					70601104											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
70601104	2101003	2	{}		100		小孩伤心欲绝地指着那堆废墟一样的砂砾。	1	{}			{}	{}					70601105											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
70601105	2101003	2	{}		100	1	「这样吗，我来试试怎么样？」	1	{}			{}	{}					70601106											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
70601106	2101003	2	{}		100		承受不了几个孩子期待的目光，我决定亲自动手。	1	{}			{}	{}					70601107											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
70601107	2101003	2	{}		100	夜刀神十香	「 %s ，你那样好像不对哦……」	1	{}			{}	{}					70601108		10107			id_pose_10		id_look_3			2	{}	1.2										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70601108	2101003	2	{}		100		眼看着我手里的城堡在往奇怪的方向发展，十香忍不住了。	1	{}			{}	{}					70601109		1								2	{}	1.2										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70601109	2101003	2	{}		100	1	「原来是这个样子的吗？」	1	{}			{}	{}					70601110		1								2	{}	1.2										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70601110	2101003	2	{}		100		显然十香观察得比较仔细，没过多久就还原的差不多了。	1	{}			{}	{}					70601111											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
70601111	2101003	2	{}		100	小孩子	「谢谢哥哥姐姐！」	1	{}			{}	{}					70601112											{}											{}											{}										1		{}																	{}	{}					{}	{}		{}		
70601112	2101003	2	{}		100		看着已经还原得差不多的城堡，小孩们欢呼着。	1	{}			{}	{}					70601113		1			id_pose_9		id_look_4			2	{}	1.2										{}											{}										1		{}																	{}	{}					{}	{}		{}		
70601113	2101003	2	{}		100	夜刀神十香	「怎么样，我是不是很棒啊 %s ！」	1	{}			{}	{}					70503214		1								2	{}	1.2										{}											{}										1		{}										5							{}	{}					{}	{}		{}		
70602101	2101003	2	{}		100		「十香，你的衣服……」	1	{}			{}	{}					70602102	3	10107			id_pose_1		id_look_1			2	{}	1.4										{}											{}							scene/bg/bg_gongyuan.png			1.2	-1	{}	sound/bgm/date_002.mp3																{}	{}					{}	{}		{}		
70602102	2101003	2	{}		100		我把视线移开，指了指她身上的衣服。	1	{}			{}	{}					70602103		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70602103	2101003	2	{}		100	夜刀神十香	「啊…… %s 快走开！」	1	{}			{}	{}					70602104		1			id_pose_10		id_look_8	103_eff	id_angry	2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70602104	2101003	2	{}		100		十香的衣服早就被雨水淋湿，里面穿了什么一清二楚。	1	{}			{}	{}					70602105		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70602105	2101003	2	{}		100	1	「我不是故意的……」	1	{}			{}	{}					70602106		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70602106	2101003	2	{}		100		我背对着她，把外套脱了下来，示意十香穿上。	1	{}			{}	{}					70602107		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70602107	2101003	2	{}		100	夜刀神十香	「唔姆，不要了，反正都这个样子了……」	1	{}			{}	{}					70602108		1								2	{}	1.4										{}											{}										1.2		{}			sound/role/shixiang/TOUKA_S_14.mp3														{}	{}					{}	{}		{}		
70602108	2101003	2	{}		100		十香扭过头去，淡薄的雾气里看到她脸红的样子。	1	{}			{}	{}					70602109		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70602109	2101003	2	{}		100	1	「真的没问题吗……」	1	{}			{}	{}					70602110		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70602110	2101003	2	{}		100		十香可能还没有意识到问题的严重性。	1	{}			{}	{}					70602111		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70602111	2101003	2	{}		100	夜刀神十香	「说了没事就是没事啦！」	1	{}			{}	{}					70602112		1			id_pose_9		id_look_12	103_eff	id_gas	2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70602112	2101003	2	{}		100		她跑回了树下，蹲坐在花坛上面。	1	{}			{}	{}					70701101		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70602201	2101003	2	{}		100	1	「哦哦，没什么的，十香。」	1	{}			{}	{}					70602202	3	10107			id_pose_1		id_look_1			2	{}	1.4										{}											{}							scene/bg/bg_gongyuan.png			1.2	-1	{}	sound/bgm/date_002.mp3																{}	{}					{}	{}		{}		
70602202	2101003	2	{}		100		我努力让自己看起来不那么奇怪。	1	{}			{}	{}					70602203		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70602203	2101003	2	{}		100	夜刀神十香	「…… %s 很可疑哦。」	1	{}			{}	{}					70602204		1			id_pose_7		id_look_13	103_eff	id_idea	2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70602204	2101003	2	{}		100		她眯起眼睛盯着我，脸上写满了怀疑。	1	{}			{}	{}					70602205		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70602205	2101003	2	{}		100	1	「真的没什么的。」	1	{}			{}	{}					70602206		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70602206	2101003	2	{}		100		我摆出很诚挚的姿态，希望琴里没有觉察。	1	{}			{}	{}					70602207		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70602207	2101003	2	{}		100	夜刀神十香	「不会吧……衣服为什么变成这个样子了？」	1	{}			{}	{}					70602208		1								2	{}	1.4										{}											{}										1.2		{}			sound/role/shixiang/TOUKA_S_20.mp3														{}	{}					{}	{}		{}		
70602208	2101003	2	{}		100		可能偶尔的偷瞄被十香抓住了，十香最终发现了	1	{}			{}	{}					70602209		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70602209	2101003	2	{}		100		我一直隐瞒的事情。	1	{}			{}	{}					70602210		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70602210	2101003	2	{}		100	夜刀神十香	「 %s 你这个变态！」	1	{}			{}	{}					70602211		1			id_pose_7		id_look_13	103_eff	id_surprise	2	{}	1.4										{}											{}										1.2		{}			sound/role/shixiang/TOUKA_S_03.mp3														{}	{}					{}	{}		{}		
70602211	2101003	2	{}		100		她捂住了胸口，飞快冲进了大雨之中。	1	{}			{}	{}					70602212		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70602212	2101003	2	{}		100	1	「等等！十香！」	1	{}			{}	{}					70602213		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
70602213	2101003	2	{}		100		被发现的负罪感和愧疚感一起涌上心头	1	{}			{}	{}					70602214		1								2	{}	1.4										{}											{}										1.2		{}																	{}	{}					{}	{}		{}		
