id	任务类型（1主线任务 2日常任务 3成就 4活动任务 5活跃度奖励 6七日签到 7次日奖励 8 十香活动任务）	重置类型（1.不会重置2.每天重置）	内容类型（1.指定副本关卡 2.其他）	客户端排序	任务名称	任务名称2	icon	icon底板颜色	icon气泡颜色	颜色备注	任务描述	任务描述2	任务类型标签（主线使用）	接取条件id（关联事件表）	接取参数	完成条件id（关联事件表）	完成参数	需要进度	完成奖励	任务描述3	跳转界面	完成结果（1.被后置任务替换。2.保留此任务，出现后置任务）	继承进度的任务id	是否开启	有效时间(单位为天，-1为永久生效）
20185	1	1	1	185	1310185	暴风者八舞·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第九章1-3	1330001	10001	{"pre_task_id":20184}	9007	{"dunId":205104}	1	{500005:18,500001:1200}		16	1		1	-1
20186	1	1	1	186	1310186	暴风者八舞·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第九章2-1	1330001	10001	{"pre_task_id":20185}	9007	{"dunId":205105}	1	{500005:18,500001:1200}		16	1		1	-1
20187	1	1	1	187	1310187	暴风者八舞·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第九章2-2	1330001	10001	{"pre_task_id":20186}	9007	{"dunId":205206}	1	{500005:18,500001:1200}		16	1		1	-1
20188	1	1	1	188	1310188	暴风者八舞·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第九章2-3	1330001	10001	{"pre_task_id":20187}	9007	{"dunId":205207}	1	{500005:18,500001:1200}		16	1		1	-1
20189	1	1	1	189	1310189	暴风者八舞·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第九章3-1	1330001	10001	{"pre_task_id":20188}	9007	{"dunId":205208}	1	{500005:18,500001:1200}		16	1		1	-1
20190	1	1	1	190	1310190	暴风者八舞·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第九章3-2	1330001	10001	{"pre_task_id":20189}	9007	{"dunId":205209}	1	{500005:18,500001:1200}		16	1		1	-1
20191	1	1	1	191	1310191	暴风者八舞·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第九章3-3	1330001	10001	{"pre_task_id":20190}	9007	{"dunId":205210}	1	{500005:18,500001:1200}		16	1		1	-1
20192	1	1	1	192	1310192	暴风者八舞·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第六章F	1330002	10001	{"pre_task_id":20191}	9007	{"dunId":205311}	1	{500005:18,500001:1200}		16	1		1	-1
20193	1	1	1	193	1310193	暴风者八舞·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第六章F	1330002	10001	{"pre_task_id":20192}	9007	{"dunId":205212}	1	{500005:18,500001:1200}		16	1		1	-1
20194	1	1	1	194	1310194	暴风者八舞·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第六章F	1330002	10001	{"pre_task_id":20193}	9007	{"dunId":205313}	1	{500005:18,500001:1200}		16	1		1	-1
20195	1	1	1	195	1310195	暴风者八舞·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第六章F	1330002	10001	{"pre_task_id":20194}	9007	{"dunId":205314}	1	{500005:18,500001:1200}		16	1		1	-1
20196	1	1	1	196	1310196	暴风者八舞·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第六章F	1330002	10001	{"pre_task_id":20195}	9007	{"dunId":205315}	1	{500005:18,500001:1200}		16	1		1	-1
20197	1	1	1	197	1310197	暴风者八舞·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第六章F	1330002	10001	{"pre_task_id":20196}	9007	{"dunId":205416}	1	{500005:18,500001:1200}		16	1		1	-1
20198	1	1	1	198	1310198	暴风者八舞·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第七章F	1330002	10001	{"pre_task_id":20197}	9007	{"dunId":205417}	1	{500005:18,500001:1200}		16	1		1	-1
20199	1	1	1	199	1310199	暴风者八舞·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第七章F	1330002	10001	{"pre_task_id":20198}	9007	{"dunId":205418}	1	{500005:18,500001:1200}		16	1		1	-1
20200	1	1	1	200	1310200	暴风者八舞·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第七章F	1330002	10001	{"pre_task_id":20199}	9007	{"dunId":205419}	1	{500005:18,500001:1200}		16	1		1	-1
20201	1	1	1	201	1310201	暴风者八舞·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第七章F	1330002	10001	{"pre_task_id":20200}	9007	{"dunId":205420}	1	{500005:18,500001:1200}		16	1		1	-1
20202	1	1	1	202	1310202	百合美九·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第七章F	1330002	10001	{"pre_task_id":20201}	9007	{"dunId":206101}	1	{500005:20,500001:1400}		16	1		1	-1
20203	1	1	1	203	1310203	百合美九·续	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成困难关卡第七章F	1330002	10001	{"pre_task_id":20202}	9007	{"dunId":206102}	1	{500005:20,500001:1400}		16	1		1	-1
20204	1	1	1	204	1310204	百合美九·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第八章F	1330002	10001	{"pre_task_id":20203}	9007	{"dunId":206103}	1	{500005:20,500001:1400}		16	1		1	-1
20205	1	1	1	205	1310205	百合美九·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第八章F	1330002	10001	{"pre_task_id":20204}	9007	{"dunId":206104}	1	{500005:20,500001:1400}		16	1		1	-1
20206	1	1	1	206	1310206	百合美九·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第八章F	1330002	10001	{"pre_task_id":20205}	9007	{"dunId":206105}	1	{500005:20,500001:1400}		16	1		1	-1
20207	1	1	1	207	1310207	百合美九·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第八章F	1330002	10001	{"pre_task_id":20206}	9007	{"dunId":206206}	1	{500005:20,500001:1400}		16	1		1	-1
20208	1	1	1	208	1310208	百合美九·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第八章F	1330002	10001	{"pre_task_id":20207}	9007	{"dunId":206207}	1	{500005:20,500001:1400}		16	1		1	-1
20209	1	1	1	209	1310209	百合美九·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第八章F	1330002	10001	{"pre_task_id":20208}	9007	{"dunId":206208}	1	{500005:20,500001:1400}		16	1		1	-1
20210	1	1	1	210	1310210	百合美九·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第九章F	1330002	10001	{"pre_task_id":20209}	9007	{"dunId":206209}	1	{500005:20,500001:1400}		16	1		1	-1
20211	1	1	1	211	1310211	百合美九·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第九章F	1330002	10001	{"pre_task_id":20210}	9007	{"dunId":206210}	1	{500005:20,500001:1400}		16	1		1	-1
20212	1	1	1	212	1310212	百合美九·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第九章F	1330002	10001	{"pre_task_id":20211}	9007	{"dunId":206311}	1	{500005:20,500001:1400}		16	1		1	-1
20213	1	1	1	213	1310213	百合美九·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第九章F	1330002	10001	{"pre_task_id":20212}	9007	{"dunId":206212}	1	{500005:20,500001:1400}		16	1		1	-1
20214	1	1	1	214	1310214	百合美九·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第九章F	1330002	10001	{"pre_task_id":20213}	9007	{"dunId":206313}	1	{500005:20,500001:1400}		16	1		1	-1
20215	1	1	1	215	1310215	百合美九·续	ui/task/chapter_1.png	{"r":243,"g":163,"b":99}	{"r":235,"g":124,"b":75}		1320001	完成困难关卡第九章F	1330002	10001	{"pre_task_id":20214}	9007	{"dunId":206314}	1	{500005:20,500001:1400}		16	1		1	-1
20216	1	1	1	216	1310216	百合美九·续	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章困难难度f1-1副本	1330002	10001	{"pre_task_id":20215}	9007	{"dunId":206315}	1	{500005:20,500001:1400}		16	1		1	-1
20217	1	1	1	217	1310217	百合美九·续	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章困难难度f1-2副本	1330002	10001	{"pre_task_id":20216}	9007	{"dunId":206416}	1	{500005:20,500001:1400}		16	1		1	-1
20218	1	1	1	218	1310218	百合美九·续	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章困难难度f1-3副本	1330002	10001	{"pre_task_id":20217}	9007	{"dunId":206417}	1	{500005:20,500001:1400}		16	1		1	-1
20219	1	1	1	219	1310219	百合美九·续	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章困难难度f1-4副本	1330002	10001	{"pre_task_id":20218}	9007	{"dunId":206418}	1	{500005:20,500001:1400}		16	1		1	-1
20220	1	1	1	220	1310220	百合美九·续	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章困难难度f1-5副本	1330001	10001	{"pre_task_id":20219}	9007	{"dunId":206419}	1	{500005:20,500001:1400}		16	1		1	-1
20221	1	1	1	221	1310221	百合美九·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章困难难度f2-1副本	1330002	10001	{"pre_task_id":20220}	9007	{"dunId":206420}	1	{500005:20,500001:1400}		16	1		1	-1
20222	1	1	1	222	1310222	美九真相·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章困难难度f2-2副本	1330002	10001	{"pre_task_id":20221}	9007	{"dunId":207101}	1	{500005:22,500001:1600}		16	1		1	-1
20223	1	1	1	223	1310223	美九真相·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章困难难度f2-3副本	1330002	10001	{"pre_task_id":20222}	9007	{"dunId":207102}	1	{500005:22,500001:1600}		16	1		1	-1
20224	1	1	1	224	1310224	美九真相·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章困难难度f2-4副本	1330002	10001	{"pre_task_id":20223}	9007	{"dunId":207103}	1	{500005:22,500001:1600}		16	1		1	-1
20225	1	1	1	225	1310225	美九真相·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章困难难度f3-1副本	1330002	10001	{"pre_task_id":20224}	9007	{"dunId":207104}	1	{500005:22,500001:1600}		16	1		1	-1
20226	1	1	1	226	1310226	美九真相·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章困难难度f3-2副本	1330002	10001	{"pre_task_id":20225}	9007	{"dunId":207105}	1	{500005:22,500001:1600}		16	1		1	-1
20227	1	1	1	227	1310227	美九真相·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章困难难度f3-3副本	1330002	10001	{"pre_task_id":20226}	9007	{"dunId":207206}	1	{500005:22,500001:1600}		16	1		1	-1
20228	1	1	1	228	1310228	美九真相·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章困难难度f3-4副本	1330002	10001	{"pre_task_id":20227}	9007	{"dunId":207207}	1	{500005:22,500001:1600}		16	1		1	-1
20229	1	1	1	229	1310229	美九真相·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章困难难度f4-1副本	1330002	10001	{"pre_task_id":20228}	9007	{"dunId":207208}	1	{500005:22,500001:1600}		16	1		1	-1
20230	1	1	1	230	1310230	美九真相·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章困难难度f4-2副本	1330002	10001	{"pre_task_id":20229}	9007	{"dunId":207209}	1	{500005:22,500001:1600}		16	1		1	-1
20231	1	1	1	231	1310231	美九真相·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章困难难度f4-3副本	1330002	10001	{"pre_task_id":20230}	9007	{"dunId":207210}	1	{500005:22,500001:1600}		16	1		1	-1
20232	1	1	1	232	1310232	美九真相·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章困难难度f4-4副本	1330002	10001	{"pre_task_id":20231}	9007	{"dunId":207311}	1	{500005:22,500001:1600}		16	1		1	-1
20233	1	1	1	233	1310233	美九真相·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章困难难度f4-5副本	1330002	10001	{"pre_task_id":20232}	9007	{"dunId":207212}	1	{500005:22,500001:1600}		16	1		1	-1
20234	1	1	1	234	1310234	美九真相·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章困难难度f4-6副本	1330002	10001	{"pre_task_id":20233}	9007	{"dunId":207313}	1	{500005:22,500001:1600}		16	1		1	-1
20235	1	1	1	235	1310235	美九真相·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章困难难度f5-1副本	1330002	10001	{"pre_task_id":20234}	9007	{"dunId":207314}	1	{500005:22,500001:1600}		16	1		1	-1
20236	1	1	1	236	1310236	美九真相·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章困难难度f5-2副本	1330002	10001	{"pre_task_id":20235}	9007	{"dunId":207315}	1	{500005:22,500001:1600}		16	1		1	-1
20237	1	1	1	237	1310237	美九真相·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章困难难度f5-3副本	1330002	10001	{"pre_task_id":20236}	9007	{"dunId":207416}	1	{500005:22,500001:1600}		16	1		1	-1
20238	1	1	1	238	1310238	美九真相·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章困难难度f5-4副本	1330002	10001	{"pre_task_id":20237}	9007	{"dunId":207417}	1	{500005:22,500001:1600}		16	1		1	-1
20239	1	1	1	239	1310239	美九真相·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章困难难度f5-5副本	1330002	10001	{"pre_task_id":20238}	9007	{"dunId":207418}	1	{500005:22,500001:1600}		16	1		1	-1
20240	1	1	1	240	1310240	美九真相·续	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章困难难度f5-6副本	1330002	10001	{"pre_task_id":20239}	9007	{"dunId":207419}	1	{500005:22,500001:1600}		16	1		1	-1
20241	1	1	1	241	1310241	美九真相·续	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章噩梦难度1-1副本	1330001	10001	{"pre_task_id":20240}	9007	{"dunId":207420}	1	{500005:22,500001:1600}		16	1		1	-1
20242	1	1	1	242	1310242	美九真相·续	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章噩梦难度1-2副本	1330001	10001	{"pre_task_id":20241}	9007	{"dunId":207521}	1	{500005:22,500001:1600}		16	1		1	-1
20243	1	1	1	243	1310243	美九真相·续	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章噩梦难度1-1副本	1330001	10001	{"pre_task_id":20242}	9007	{"dunId":207522}	1	{500005:22,500001:1600}		16	1		1	-1
20244	1	1	1	244	1310244	美九真相·续	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章噩梦难度1-2副本	1330001	10001	{"pre_task_id":20243}	9007	{"dunId":207523}	1	{500005:22,500001:1600}		16	1		1	-1
20245	1	1	1	245	1310245	美九真相·续	ui/task/chapter_1.png	{"r":163,"g":86,"b":250}	{"r":97,"g":41,"b":167}		1320001	通关第一章噩梦难度1-3副本	1330001	10001	{"pre_task_id":20244}	9007	{"dunId":207524}	1	{500005:22,500001:1600}		16	1		1	-1
20246	1	1	1	246	1310246	美九真相·续	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章噩梦难度2-1副本	1330001	10001	{"pre_task_id":20245}	9007	{"dunId":207525}	1	{500005:22,500001:1600}		16	1		1	-1
20247	1	1	1	247	1310247	陌路人十香·续°	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章噩梦难度2-2副本	1330001	10001	{"pre_task_id":20039}	9007	{"dunId":301101}	1	{500005:15,500001:600}		16	1		1	-1
20248	1	1	1	248	1310248	陌路人十香·续°	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章噩梦难度2-3副本	1330001	10001	{"pre_task_id":20247}	9007	{"dunId":301102}	1	{500005:15,500001:600}		16	1		1	-1
20249	1	1	1	249	1310249	陌路人十香·续°	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章噩梦难度2-1副本	1330001	10001	{"pre_task_id":20248}	9007	{"dunId":301103}	1	{500005:15,500001:600}		16	1		1	-1
20250	1	1	1	250	1310250	陌路人十香·续°	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章噩梦难度2-2副本	1330001	10001	{"pre_task_id":20249}	9007	{"dunId":301204}	1	{500005:15,500001:600}		16	1		1	-1
20251	1	1	1	251	1310251	陌路人十香·续°	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第二章噩梦难度2-3副本	1330001	10001	{"pre_task_id":20250}	9007	{"dunId":301205}	1	{500005:15,500001:600}		16	1		1	-1
20252	1	1	1	252	1310252	陌路人十香·续°	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章噩梦难度3-1副本	1330001	10001	{"pre_task_id":20251}	9007	{"dunId":301206}	1	{500005:15,500001:600}		16	1		1	-1
20253	1	1	1	253	1310253	手偶少女·续°	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章噩梦难度3-2副本	1330001	10001	{"pre_task_id":20252}	9007	{"dunId":302101}	1	{500005:18,500001:900}		16	1		1	-1
20254	1	1	1	254	1310254	手偶少女·续°	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章噩梦难度3-3副本	1330001	10001	{"pre_task_id":20253}	9007	{"dunId":302102}	1	{500005:18,500001:900}		16	1		1	-1
20255	1	1	1	255	1310255	手偶少女·续°	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章噩梦难度3-1副本	1330001	10001	{"pre_task_id":20254}	9007	{"dunId":302103}	1	{500005:18,500001:900}		16	1		1	-1
20256	1	1	1	256	1310256	手偶少女·续°	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章噩梦难度3-2副本	1330001	10001	{"pre_task_id":20255}	9007	{"dunId":302204}	1	{500005:18,500001:900}		16	1		1	-1
20257	1	1	1	257	1310257	手偶少女·续°	ui/task/chapter_1.png	{"r":125,"g":188,"b":134}	{"r":74,"g":139,"b":103}		1320001	通关第三章噩梦难度3-3副本	1330001	10001	{"pre_task_id":20256}	9007	{"dunId":302205}	1	{500005:18,500001:900}		16	1		1	-1
20258	1	1	1	258	1310258	手偶少女·续°	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章噩梦难度4-1副本	1330001	10001	{"pre_task_id":20257}	9007	{"dunId":302206}	1	{500005:18,500001:900}		16	1		1	-1
20259	1	1	1	259	1310259	手偶少女·续°	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章噩梦难度4-2副本	1330001	10001	{"pre_task_id":20258}	9007	{"dunId":302307}	1	{500005:18,500001:900}		16	1		1	-1
20260	1	1	1	260	1310260	手偶少女·续°	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章噩梦难度4-3副本	1330001	10001	{"pre_task_id":20259}	9007	{"dunId":302308}	1	{500005:18,500001:900}		16	1		1	-1
20261	1	1	1	261	1310261	手偶少女·续°	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章噩梦难度4-1副本	1330001	10001	{"pre_task_id":20260}	9007	{"dunId":302309}	1	{500005:18,500001:900}		16	1		1	-1
20262	1	1	1	262	1310262	杀手狂三·续°	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章噩梦难度4-2副本	1330001	10001	{"pre_task_id":20261}	9007	{"dunId":303101}	1	{500005:21,500001:1200}		16	1		1	-1
20263	1	1	1	263	1310263	杀手狂三·续°	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章噩梦难度4-3副本	1330001	10001	{"pre_task_id":20262}	9007	{"dunId":303102}	1	{500005:21,500001:1200}		16	1		1	-1
20264	1	1	1	264	1310264	杀手狂三·续°	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章噩梦难度4-1副本	1330001	10001	{"pre_task_id":20263}	9007	{"dunId":303103}	1	{500005:21,500001:1200}		16	1		1	-1
20265	1	1	1	265	1310265	杀手狂三·续°	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章噩梦难度4-2副本	1330001	10001	{"pre_task_id":20264}	9007	{"dunId":303204}	1	{500005:21,500001:1200}		16	1		1	-1
20266	1	1	1	266	1310266	杀手狂三·续°	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第四章噩梦难度4-3副本	1330001	10001	{"pre_task_id":20265}	9007	{"dunId":303205}	1	{500005:21,500001:1200}		16	1		1	-1
20267	1	1	1	267	1310267	杀手狂三·续°	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章噩梦难度5-1副本	1330001	10001	{"pre_task_id":20266}	9007	{"dunId":303206}	1	{500005:21,500001:1200}		16	1		1	-1
20268	1	1	1	268	1310268	杀手狂三·续°	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章噩梦难度5-2副本	1330001	10001	{"pre_task_id":20267}	9007	{"dunId":303307}	1	{500005:21,500001:1200}		16	1		1	-1
20269	1	1	1	269	1310269	杀手狂三·续°	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章噩梦难度5-3副本	1330001	10001	{"pre_task_id":20268}	9007	{"dunId":303308}	1	{500005:21,500001:1200}		16	1		1	-1
20270	1	1	1	270	1310270	杀手狂三·续°	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章噩梦难度5-1副本	1330001	10001	{"pre_task_id":20269}	9007	{"dunId":303309}	1	{500005:21,500001:1200}		16	1		1	-1
20271	1	1	1	271	1310271	五河妹妹·续°	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章噩梦难度5-2副本	1330001	10001	{"pre_task_id":20270}	9007	{"dunId":304101}	1	{500005:24,500001:1500}		16	1		1	-1
20272	1	1	1	272	1310272	五河妹妹·续°	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章噩梦难度5-3副本	1330001	10001	{"pre_task_id":20271}	9007	{"dunId":304102}	1	{500005:24,500001:1500}		16	1		1	-1
20273	1	1	1	273	1310273	五河妹妹·续°	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章噩梦难度5-1副本	1330001	10001	{"pre_task_id":20272}	9007	{"dunId":304103}	1	{500005:24,500001:1500}		16	1		1	-1
20274	1	1	1	274	1310274	五河妹妹·续°	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章噩梦难度5-2副本	1330001	10001	{"pre_task_id":20273}	9007	{"dunId":304204}	1	{500005:24,500001:1500}		16	1		1	-1
20275	1	1	1	275	1310275	五河妹妹·续°	ui/task/chapter_1.png	{"r":199,"g":61,"b":70}	{"r":128,"g":31,"b":38}		1320001	通关第五章噩梦难度5-3副本	1330001	10001	{"pre_task_id":20274}	9007	{"dunId":304205}	1	{500005:24,500001:1500}		16	1		1	-1
20276	1	1	1	276	1310276	五河妹妹·续°	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成噩梦关卡第六章1-1	1330001	10001	{"pre_task_id":20275}	9007	{"dunId":304206}	1	{500005:24,500001:1500}		16	1		1	-1
20277	1	1	1	277	1310277	五河妹妹·续°	ui/task/chapter_1.png	{"r":237,"g":112,"b":122}	{"r":213,"g":53,"b":92}		1320001	完成噩梦关卡第六章1-2	1330001	10001	{"pre_task_id":20276}	9007	{"dunId":304307}	1	{500005:24,500001:1500}		16	1		1	-1
