buffid	名称	描述	覆盖标记	buff强度	是否可以在场下触发	触发对象	事件类型	次要触发条件类型	循环时间	调用属性	调用事件	调用状态	属性对比类型	属性值	属性对比结果（1高于 2低于）	对象状态	对象属性id	对象属性对比类型	属性值	属性对比结果	调用技能	使用的技能类型	触发概率	cd时间	效果id
10520313	天使buff-狂三-F技能-位置3-buff1-等级3	使用F技能后，闪避率+60%，持续3s，不可叠加																							20520313
10530111	天使buff-狂三-S技能-位置1-buff1-等级1	造成伤害时，对浮空的敌人额外造成7%的伤害			0	1	3		0		400					11							10000	0	20530111
10530112	天使buff-狂三-S技能-位置1-buff1-等级2	造成伤害时，对浮空的敌人额外造成13%的伤害			0	1	3		0		400					11							10000	0	20530112
10530113	天使buff-狂三-S技能-位置1-buff1-等级3	造成伤害时，对浮空的敌人额外造成20%的伤害			0	1	3		0		400					11							10000	0	20530113
10540611	天使buff-狂三-必杀技-位置6-buff1-等级1	必杀技命中时，会减少敌人3%的防御，持续5s，可叠加5次			0	1	3		0		306												10000	0	20540611
10540612	天使buff-狂三-必杀技-位置6-buff1-等级2	必杀技命中时，会减少敌人5%的防御，持续5s，可叠加5次			0	1	3		0		306												10000	0	20540612
10540613	天使buff-狂三-必杀技-位置6-buff1-等级3	必杀技命中时，会减少敌人8%的防御，持续5s，可叠加5次			0	1	3		0		306												10000	0	20540613
10540711	天使buff-狂三-必杀技-位置7-buff1-等级1	必杀技命中时恢复1%生命值			0	1	3		0		306												10000	0	20540711
10540712	天使buff-狂三-必杀技-位置7-buff1-等级2	必杀技命中时恢复3%生命值			0	1	3		0		306												10000	0	20540712
10540713	天使buff-狂三-必杀技-位置7-buff1-等级3	必杀技命中时恢复5%生命值			0	1	3		0		306												10000	0	20540713
10570111	天使buff-狂三-被动-位置1-buff1-等级1	击杀敌人后恢复5点能量			0	1	3		0		9												10000	0	20570111
10570211	天使buff-狂三-被动-位置2-buff1-等级1	暴击时，恢复2点能量			0	1	3		0		500												10000	0	20570211
10570311	天使buff-狂三-被动-位置3-buff1-等级1	攻击命中时，有20%概率释放残影技能			0	1	3		0		300												2000	0	20570311
10570411	天使buff-狂三-被动-位置4-buff1-等级1	使用F技能时，移动速度+15%，攻击速度+20%，持续5s			0	1	3		0		202												10000	0	20570411-20570421
10570421	天使buff-狂三-被动-位置4-buff2-等级1	使用S技能时，移动速度+15%，攻击速度+20%，持续5s			0	1	3		0		203												10000	0	20570411-20570421
10570431	天使buff-狂三-被动-位置4-buff3-等级1	使用出场技能时，移动速度+15%，攻击速度+20%，持续5s			0	1	3		0		204												10000	0	20570411-20570421
10570441	天使buff-狂三-被动-位置4-buff4-等级1	使用必杀技时，移动速度+15%，攻击速度+20%，持续5s			0	1	3		0		206												10000	0	20570411-20570421
10570451	天使buff-狂三-被动-位置4-buff5-等级1	使用觉醒时，移动速度+15%，攻击速度+20%，持续5s			0	1	3		0		207												10000	0	20570411-20570421
10570511	天使buff-狂三-被动-位置5-buff1-等级1	瞄准生命值低于30%的敌人时，F技能暴击率、S技能暴击率、出场技暴击率、必杀技暴击率和觉醒暴击率+20%			0	1	3		0		250						2007	1	3000	2			10000	0	20570511-20570521-20570531-20570541-20570551
10570811	天使buff-狂三-被动-位置8-buff1-等级1	瞄准处于负面影响状态的敌人时，F技能伤害、S技能伤害、出场技伤害、必杀技伤害和觉醒伤害+15%			0	1	3		0		250					37							10000	0	20570811-20570821-20570831-20570841-20570851
10570911	天使buff-狂三-被动-位置9-buff1-等级1	使用领域技能后，有10%概率给敌人减少30%移动速度			0	1	5		0														1000	0	20570911
10570921	天使buff-狂三-被动-位置9-buff2-等级1	使用领域技能后，有10%概率给敌人减少15%防御力			0	1	5		0														1000	0	20570921
10570931	天使buff-狂三-被动-位置9-buff3-等级1	使用领域技能后，有10%概率给敌人眩晕2s			0	1	5		0														1000	0	20570931
10570941	天使buff-狂三-被动-位置9-buff4-等级1	使用领域技能后，有10%概率给敌人每秒减少10%攻击力的生命值			0	1	5		0														1000	0	20570941-20570971
10570951	天使buff-狂三-被动-位置9-buff5-等级1	使用领域技能后，有10%概率给敌人附加感电状态，并增加敌人的感电伤害值，持续持续5s			0	1	5		0														1000	0	20570951-20570961
10571011	天使buff-狂三-被动-位置10-buff1-等级1	使用领域技能后，使所有敌人进入静止状态5s			0	1	5		0														10000	0	20571011
10571111	天使buff-狂三-被动-位置11-buff1-等级1	暴击后，减少全部技能1s的冷却时间。触发间隔5s			0	1	3		0		500												10000	5000	20571111
10571211	天使buff-狂三-被动-位置12-buff1-等级1	释放领域技能时，增加6012-6013-6014-6015的概率为100%，持续15s(覆盖6004）	7	2	0	1	5		0														10000	0	20571211
10571311	天使buff-狂三-被动-位置13-buff1-等级1	当能量>50时，如果受到致命伤害，不会死亡，当前能量-50，立即恢复20%生命值。			0	1	3	2	0	56			1	49	1								10000	0	20571311-20571321-20571331
10571411	天使buff-狂三-被动-位置14-buff1-等级1	能量上限提升+30，每秒恢复1点能量			1	1	1		0														10000	0	20571411-20571421
10571511	天使buff-狂三-被动-位置15-buff1-等级1	使用F技能时，恢复8%生命值			0	1	3		0		202												10000	0	20571511
10571521	天使buff-狂三-被动-位置15-buff2-等级1	使用S技能时，恢复8%生命值			0	1	3		0		203												10000	0	20571511
10571531	天使buff-狂三-被动-位置15-buff3-等级1	使用出场技能时，恢复8%生命值			0	1	3		0		204												10000	0	20571511
10571541	天使buff-狂三-被动-位置15-buff4-等级1	使用必杀技时，恢复8%生命值			0	1	3		0		206												10000	0	20571511
10571551	天使buff-狂三-被动-位置15-buff5-等级1	使用觉醒时，恢复8%生命值			0	1	3		0		207												10000	0	20571511
10571611	天使buff-狂三-被动-位置16-buff1-等级1	击杀敌人时，攻击力+1%，持续20s，最多叠加20次			0	1	3		0		9												10000	0	20571611
10610811	天使buff-琴里-普攻-位置8-buff1-等级1	提高buff6010  4%的触发概率			1	1	1		0														10000	0	20610811
10610812	天使buff-琴里-普攻-位置8-buff1-等级2	提高buff6010  8%的触发概率			1	1	1		0														10000	0	20610812
10610813	天使buff-琴里-普攻-位置8-buff1-等级3	提高buff6010  12%的触发概率			1	1	1		0														10000	0	20610813
10610814	天使buff-琴里-普攻-位置8-buff1-等级4	提高buff6010  15%的触发概率			1	1	1		0														10000	0	20610814
10610821	天使buff-琴里-普攻-位置8-buff2-等级1	处于2形态时，普攻命中时有4%几率附加燃烧效果，每秒受到我方攻击力10%的伤害，持续8s，可叠加5次			0	1	3	6	0		301	63											400	0	60014-60015
10610822	天使buff-琴里-普攻-位置8-buff2-等级2	处于2形态时，普攻命中时有8%几率附加燃烧效果，每秒受到我方攻击力10%的伤害，持续8s，可叠加5次			0	1	3	6	0		301	63											800	0	60014-60015
10610823	天使buff-琴里-普攻-位置8-buff2-等级3	处于2形态时，普攻命中时有12%几率附加燃烧效果，每秒受到我方攻击力10%的伤害，持续8s，可叠加5次			0	1	3	6	0		301	63											1200	0	60014-60015
10610824	天使buff-琴里-普攻-位置8-buff2-等级4	处于2形态时，普攻命中时有15%几率附加燃烧效果，每秒受到我方攻击力10%的伤害，持续8s，可叠加5次			0	1	3	6	0		301	63											1500	0	60014-60015
10620311	天使buff-琴里-F技能-位置3-buff1-等级1	提高buff6011  4%的触发概率			1	1	1		0														10000	0	20620311
10620312	天使buff-琴里-F技能-位置3-buff1-等级2	提高buff6011  8%的触发概率			1	1	1		0														10000	0	20620312
10620313	天使buff-琴里-F技能-位置3-buff1-等级3	提高buff6011  12%的触发概率			1	1	1		0														10000	0	20620313
10620314	天使buff-琴里-F技能-位置3-buff1-等级4	提高buff6011  15%的触发概率			1	1	1		0														10000	0	20620314
10620321	天使buff-琴里-F技能-位置3-buff2-等级1	处于2形态且F技能命中时，有4%几率附加燃烧效果，每秒受到我方攻击力10%的伤害，持续8s，可叠加5次			0	1	3	6	0		302	63											400	0	60014-60015
10620322	天使buff-琴里-F技能-位置3-buff2-等级2	处于2形态且F技能命中时，有8%几率附加燃烧效果，每秒受到我方攻击力10%的伤害，持续8s，可叠加5次			0	1	3	6	0		302	63											800	0	60014-60015
10620323	天使buff-琴里-F技能-位置3-buff2-等级3	处于2形态且F技能命中时，有12%几率附加燃烧效果，每秒受到我方攻击力10%的伤害，持续8s，可叠加5次			0	1	3	6	0		302	63											1200	0	60014-60015
10620324	天使buff-琴里-F技能-位置3-buff2-等级4	处于2形态且F技能命中时，有15%几率附加燃烧效果，每秒受到我方攻击力10%的伤害，持续8s，可叠加5次			0	1	3	6	0		302	63											1500	0	60014-60015
10630511	天使buff-琴里-S技能-位置5-buff1-等级1	S技能命中后有10%概率恢复自己5%生命值			0	1	3		0		303												1000	0	20630511
10630512	天使buff-琴里-S技能-位置5-buff1-等级2	S技能命中后有20%概率恢复自己5%生命值			0	1	3		0		303												2000	0	20630511
10630513	天使buff-琴里-S技能-位置5-buff1-等级3	S技能命中后有30%概率恢复自己5%生命值			0	1	3		0		303												3000	0	20630511
10630514	天使buff-琴里-S技能-位置5-buff1-等级4	S技能命中后有40%概率恢复自己5%生命值			0	1	3		0		303												4000	0	20630511
10630811	天使buff-琴里-S技能-位置8-buff1-等级1	敌人数量大于1时，每个敌人将提高自己1%的S技能伤害加成			0	1	2		0	2013			1	1	1								10000	0	20630811
10630812	天使buff-琴里-S技能-位置8-buff1-等级2	敌人数量大于1时，每个敌人将提高自己2%的S技能伤害加成			0	1	2		0	2013			1	1	1								10000	0	20630812
10630813	天使buff-琴里-S技能-位置8-buff1-等级3	敌人数量大于1时，每个敌人将提高自己3%的S技能伤害加成			0	1	2		0	2013			1	1	1								10000	0	20630813
10630911	天使buff-琴里-S技能-位置9-buff1-等级1	S技能命中后，减少敌人5%防御力，持续6s			0	1	3		0		303												10000	0	20630911
10630912	天使buff-琴里-S技能-位置9-buff1-等级2	S技能命中后，减少敌人8%防御力，持续6s			0	1	3		0		303												10000	0	20630912
10630913	天使buff-琴里-S技能-位置9-buff1-等级3	S技能命中后，减少敌人12%防御力，持续6s			0	1	3		0		303												10000	0	20630913
10630914	天使buff-琴里-S技能-位置9-buff1-等级4	S技能命中后，减少敌人15%防御力，持续6s			0	1	3		0		303												10000	0	20630914
10670111	天使buff-琴里-被动-位置1-buff1-等级1	普攻命中后，增加自己30%的防御力，持续3s			0	1	3		0		301												10000	0	20670111
10670311	天使buff-琴里-被动-位置3-buff1-等级1	处于1形态且使用F技能时，恢复5%生命值			0	1	3	6	0		202	62											10000	0	20670311
10670321	天使buff-琴里-被动-位置3-buff2-等级1	处于1形态且使用S技能时，恢复5%生命值			0	1	3	6	0		203	62											10000	0	20670311
10670341	天使buff-琴里-被动-位置3-buff3-等级1	处于1形态且使用必杀技时，恢复5%生命值			0	1	3	6	0		206	62											10000	0	20670311
10670351	天使buff-琴里-被动-位置3-buff4-等级1	处于1形态且使用觉醒时，恢复5%生命值			0	1	3	6	0		207	62											10000	0	20670311
10670411	天使buff-琴里-被动-位置4-buff1-等级1	提高buff6010，6011  15%的触发概率			1	1	1		0														10000	0	20670411
10670421	天使buff-琴里-被动-位置4-buff2-等级1	处于1形态且S技能命中时，有15%几率附加燃烧效果，每秒受到我方攻击力10%的伤害，持续8s，可叠加5次			0	1	3	6	0		303	62											1500	0	60014-60015
10670431	天使buff-琴里-被动-位置4-buff3-等级1	处于1形态且必杀技命中时，有15%几率附加燃烧效果，每秒受到我方攻击力10%的伤害，持续8s，可叠加5次			0	1	3	6	0		306	62											1500	0	60014-60015
10670441	天使buff-琴里-被动-位置4-buff4-等级1	处于1形态且觉醒命中时，有15%几率附加燃烧效果，每秒受到我方攻击力10%的伤害，持续8s，可叠加5次			0	1	3	6	0		607	62											1500	0	60014-60015
10670511	天使buff-琴里-被动-位置5-buff1-等级1	被处于点燃状态的敌人攻击时，有30%概率恢复3%生命值			0	1	3		0		350					33							3000	0	20670511
10670611	天使buff-琴里-被动-位置6-buff1-等级1	攻击处于点燃状态的敌人时，有15%几率提高10%的攻击速度和10%的移动速度，持续5s			0	1	3		0		300					33							1500	0	20670611-20670621
10670711	天使buff-琴里-被动-位置7-buff1-等级1	处于2形态时，每5s触发一次+3%攻击力的效果，最多叠加6次。2形态移除时终止			0	1	4	6	5000														10000	0	20670711
10670811	天使buff-琴里-被动-位置8-buff1-等级1	处于2形态时，普攻命中时恢复1点能量			0	1	3	6	0		301	63											10000	0	20670811
10670821	天使buff-琴里-被动-位置8-buff2-等级1	处于2形态时，普攻暴击命中时恢复2点能量			0	1	3	6	0		501	63											10000	0	20670821
10670911	天使buff-琴里-被动-位置9-buff1-等级1	从1形态变身到2形态时，先增加30点能量上限，再立即增加30点当前能量。2形态移除时终止。			0	1	3		0		10												10000	0	20670911-20670921
10671011	天使buff-琴里-被动-位置10-buff1-等级1	处于2形态且使用F技能时，增加15%的F技能伤害/S技能伤害/出场技伤害/必杀技伤害/觉醒伤害。持续3s，可叠加4次			0	1	3	6	0		202	63											10000	0	20671011-20671021-20671031-20671041-20671051
10671021	天使buff-琴里-被动-位置10-buff2-等级1	处于2形态且使用S技能时，增加15%的F技能伤害/S技能伤害/出场技伤害/必杀技伤害/觉醒伤害。持续3s，可叠加4次			0	1	3	6	0		203	63											10000	0	20671011-20671021-20671031-20671041-20671051
10671031	天使buff-琴里-被动-位置10-buff3-等级1	处于2形态且使用必杀技时，增加15%的F技能伤害/S技能伤害/出场技伤害/必杀技伤害/觉醒伤害。持续3s，可叠加4次			0	1	3	6	0		206	63											10000	0	20671011-20671021-20671031-20671041-20671051
10671041	天使buff-琴里-被动-位置10-buff4-等级1	处于2形态且使用觉醒时，增加15%的F技能伤害/S技能伤害/出场技伤害/必杀技伤害/觉醒伤害。持续3s，可叠加4次			0	1	3	6	0		207	63											10000	0	20671011-20671021-20671031-20671041-20671051
10671211	天使buff-琴里-被动-位置12-buff1-等级1	处于2形态且F技能暴击时，额外附加一次30%的伤害。			0	1	3	6	0		502	63											10000	0	20671211
10671221	天使buff-琴里-被动-位置12-buff2-等级1	处于2形态且S技能暴击时，额外附加一次30%的伤害。			0	1	3	6	0		503	63											10000	0	20671211
10671231	天使buff-琴里-被动-位置12-buff3-等级1	处于2形态且必杀技暴击时，额外附加一次30%的伤害。			0	1	3	6	0		506	63											10000	0	20671211
10671241	天使buff-琴里-被动-位置12-buff4-等级1	处于2形态且觉醒暴击时，额外附加一次30%的伤害。			0	1	3	6	0		507	63											10000	0	20671211
10671311	天使buff-琴里-被动-位置13-buff1-等级1	能量大于0时触发，每点能量增加0.3%的伤害加成			1	1	2		0	56			1	1	1								10000	0	20671311
10671411	天使buff-琴里-被动-位置14-buff1-等级1	死亡后复活，并在5s类恢复30%的生命，触发间隔60s			0	1	3		0		4												10000	60000	20671411-20671421
10671511	天使buff-琴里-被动-位置15-buff1-等级1	生命值+20%，生命恢复效率+20%			1	1	1		0														10000	0	20671511-20671521
10671611	天使buff-琴里-被动-位置16-buff1-等级1	每3s恢复5点能量			1	1	1		0														10000	0	20671611
10710111	天使buff-真那-普攻-位置1-buff1-等级1	6017的概率增加10%			1	1	1		0														10000	0	20710111
10710112	天使buff-真那-普攻-位置1-buff1-等级2	6017的概率增加15%			1	1	1		0														10000	0	20710112
10710113	天使buff-真那-普攻-位置1-buff1-等级3	6017的概率增加20%			1	1	1		0														10000	0	20710113
10720111	天使buff-真那-F技能-位置1-buff1-等级1	使用F技能后，受伤减免+10%，持续5s			0	1	3		0		202												10000	0	20720111
10720112	天使buff-真那-F技能-位置1-buff1-等级2	使用F技能后，受伤减免+15%，持续5s			0	1	3		0		202												10000	0	20720112
10720113	天使buff-真那-F技能-位置1-buff1-等级3	使用F技能后，受伤减免+20%，持续5s			0	1	3		0		202												10000	0	20720113
10720511	天使buff-真那-F技能-位置5-buff1-等级1	F技能造成伤害时，如果敌人护盾值大于1，则追加一次10%的额外伤害。			0	1	3		0		402						53	1	1	1			10000	0	20720511
10720512	天使buff-真那-F技能-位置5-buff1-等级2	F技能造成伤害时，如果敌人护盾值大于1，则追加一次15%的额外伤害。			0	1	3		0		402						53	1	1	1			10000	0	20720512
10720513	天使buff-真那-F技能-位置5-buff1-等级3	F技能造成伤害时，如果敌人护盾值大于1，则追加一次20%的额外伤害。			0	1	3		0		402						53	1	1	1			10000	0	20720513
10720514	天使buff-真那-F技能-位置5-buff1-等级4	F技能造成伤害时，如果敌人护盾值大于1，则追加一次25%的额外伤害。			0	1	3		0		402						53	1	1	1			10000	0	20720514
10730411	天使buff-真那-S技能-位置4-buff1-等级1	S技能命中后，减少敌人10%防御力，持续6s			0	1	3		0		303												10000	0	20730411
10730412	天使buff-真那-S技能-位置4-buff1-等级2	S技能命中后，减少敌人15%防御力，持续6s			0	1	3		0		303												10000	0	20730412
10730413	天使buff-真那-S技能-位置4-buff1-等级3	S技能命中后，减少敌人20%防御力，持续6s			0	1	3		0		303												10000	0	20730413
10730414	天使buff-真那-S技能-位置4-buff1-等级4	S技能命中后，减少敌人25%防御力，持续6s			0	1	3		0		303												10000	0	20730414
10740811	天使buff-真那-必杀技-位置8-buff1-等级1	必杀技命中时必定眩晕敌人0.5s			0	1	3		0		306												10000	0	20740811
10740812	天使buff-真那-必杀技-位置8-buff1-等级2	必杀技命中时必定眩晕敌人1s			0	1	3		0		306												10000	0	20740812
10740813	天使buff-真那-必杀技-位置8-buff1-等级3	必杀技命中时必定眩晕敌人1.5s			0	1	3		0		306												10000	0	20740813
10770111	天使buff-真那-被动-位置1-buff1-等级1	能量值大于1时触发，每点能量增加0.5%暴击率			1	1	2		0	56			1	1	1								10000	0	20770111
10770121	天使buff-真那-被动-位置1-buff2-等级1	能量值每秒-2			1	1	1		0														10000	0	20770121
10770211	天使buff-真那-被动-位置2-buf1-等级1	连击数>9时，攻击速度5%，连击数小于10时终止			0	1	2		0	2004			1	9	9								10000	0	20770211
10770221	天使buff-真那-被动-位置2-buf2-等级1	连击数>19时，攻击速度5%，连击数小于20时终止			0	1	2		0	2004			1	19	19								10000	0	20770221
10770231	天使buff-真那-被动-位置2-buf3-等级1	连击数>29时，攻击速度5%，连击数小于30时终止			0	1	2		0	2004			1	29	29								10000	0	20770231
10770241	天使buff-真那-被动-位置2-buf4-等级1	连击数>39时，攻击速度5%，连击数小于40时终止			0	1	2		0	2004			1	39	39								10000	0	20770241
10770411	天使buff-真那-被动-位置4-buff1-等级1	6018-6019-6020的概率+30%			1	1	1		0														10000	0	20770411
10770511	天使buff-真那-被动-位置5-buff1-等级1	击杀处于感电状态的敌人时，释放爆炸特效			0	1	3		0		9					34							10000	0	20770511
10770521	天使buff-真那-被动-位置5-buff2-等级1	爆炸特效触发，为目标附加感电状态，且增加目标的感电伤害值，增加真那攻击力的30%			0	1	5		0														10000	0	20770521-20770531
10770611	天使buff-真那-被动-位置6-buff1-等级1	瞄准处于感电状态的敌人时，每点能量增加0.5%的伤害加成。			0	1	3		0		250					34							10000	0	20770611
10770711	天使buff-真那-被动-位置7-buff1-等级1	能量>49时触发，能量-50，暴击伤害+100%，F技能暴击率、S技能暴击率，必杀技暴击率、觉醒暴击率+40%，6s			0	1	2		0	56			1	49	4								10000	0	20770711-20770721-20770731-20770741-20770751-20770761
10770811	天使buff-真那-被动-位置8-buff1-等级1	瞄准生命值高于70%的敌人时，暴击伤害+60%			0	1	3		0		250						2007	1	7000	1			10000	0	20770911
10770911	天使buff-真那-被动-位置9-buff1-等级1	使用F技能有30%的概率增加5点能量			0	1	3		0		202												3000	0	20770911
10770921	天使buff-真那-被动-位置9-buff1-等级1	使用S技能有30%的概率增加5点能量			0	1	3		0		203												3000	0	20770911
10770931	天使buff-真那-被动-位置9-buff1-等级1	使用出场技能有30%的概率增加5点能量			0	1	3		0		204												3000	0	20770911
10770941	天使buff-真那-被动-位置9-buff1-等级1	使用必杀技有30%的概率增加5点能量			0	1	3		0		206												3000	0	20770911
10770951	天使buff-真那-被动-位置9-buff1-等级1	使用觉醒技有30%的概率增加5点能量			0	1	3		0		207												3000	0	20770911
10771011	天使buff-真那-被动-位置10-buff1-等级1	命中目标时，增加2%暴击率，持续5s，可叠加10次			0	1	3		0		300												10000	0	20771011
10771211	天使buff-真那-被动-位置12-buff1-等级1	暴击后，F技能伤害/S技能伤害/出场技伤害/必杀技伤害/觉醒技能伤害+25%			0	1	3		0		500												10000	0	20771211-20771221-20771231-20771241-20771251
10771311	天使buff-真那-被动-位置13-buff1-等级1	雷属性伤害加成+20%			1	1	1		0														10000	0	20771311
10771411	天使buff-真那-被动-位置14-buff1-等级1	击杀敌人时，恢复5点能量			0	1	3		0		9												10000	0	20771411
10771511	天使buff-真那-被动-位置15-buff1-等级1	击杀敌人后，攻击速度+20%，移动速度+10%			0	1	3		0		9												10000	0	20771511-20771521
10771611	天使buff-真那-被动-位置16-buff1-等级1	每秒循环触发，每次增加5%暴击率，最多可叠加20次，暴击后移除。			0	1	4		1000														10000	0	20771611
