效果ID	描述（策划看）	表名(1skill,2skillAction,3skillEffect,4skillHurt)	字段名	数据ID	改变方式（1加减，2替换,3乘除）	参数类型	参数1(字符串)	参数2(字符串数组)	参数3(布尔值)	参数4(数值)	参数5(数值数组)	帧事件触发（skillAction表中动作连招字段）
1062188	真那-技能1-命中率-1级	4	hurtValue505	6215	1	4				500		
1062189	真那-技能1-命中率-1级	4	hurtValue505	6220	1	4				500		
1062190	真那-技能1-命中率-1级	4	hurtValue505	6231	1	4				500		
1062191	真那-技能1-命中率-1级	4	hurtValue505	6232	1	4				500		
1062192	真那-技能1-命中率-1级	4	hurtValue505	6233	1	4				500		
1062193	真那-技能1-命中率-1级	4	hurtValue505	6234	1	4				500		
1062194	真那-技能1-命中率-1级	4	hurtValue505	6235	1	4				500		
1062195	真那-技能1-命中率-1级	4	hurtValue505	6240	1	4				500		
1062196	真那-技能1-命中率-1级	4	hurtValue505	6250	1	4				500		
1062197	真那-技能1-命中率-1级	4	hurtValue505	6261	1	4				500		
1062198	真那-技能1-命中率-1级	4	hurtValue505	6262	1	4				500		
1062199	真那-技能1-命中率-1级	4	hurtValue505	6263	1	4				500		
1062200	真那-技能1-命中率-1级	4	hurtValue505	6264	1	4				500		
1062201	真那-技能1-命中率-1级	4	hurtValue505	6265	1	4				500		
1062202	真那-技能1-命中率-1级	4	hurtValue505	6270	1	4				500		
1062203	真那-技能1-命中率-1级	4	hurtValue505	6280	1	4				500		
1062204	真那-技能1-暴击率-1级	4	hurtValue507	6201	1	4				200		
1062205	真那-技能1-暴击率-1级	4	hurtValue507	6202	1	4				200		
1062206	真那-技能1-暴击率-1级	4	hurtValue507	6203	1	4				200		
1062207	真那-技能1-暴击率-1级	4	hurtValue507	6204	1	4				200		
1062208	真那-技能1-暴击率-1级	4	hurtValue507	6205	1	4				200		
1062209	真那-技能1-暴击率-1级	4	hurtValue507	6211	1	4				200		
1062210	真那-技能1-暴击率-1级	4	hurtValue507	6212	1	4				200		
1062211	真那-技能1-暴击率-1级	4	hurtValue507	6213	1	4				200		
1062212	真那-技能1-暴击率-1级	4	hurtValue507	6214	1	4				200		
1062213	真那-技能1-暴击率-1级	4	hurtValue507	6215	1	4				200		
1062214	真那-技能1-暴击率-1级	4	hurtValue507	6220	1	4				200		
1062215	真那-技能1-暴击率-1级	4	hurtValue507	6231	1	4				200		
1062216	真那-技能1-暴击率-1级	4	hurtValue507	6232	1	4				200		
1062217	真那-技能1-暴击率-1级	4	hurtValue507	6233	1	4				200		
1062218	真那-技能1-暴击率-1级	4	hurtValue507	6234	1	4				200		
1062219	真那-技能1-暴击率-1级	4	hurtValue507	6235	1	4				200		
1062220	真那-技能1-暴击率-1级	4	hurtValue507	6240	1	4				200		
1062221	真那-技能1-暴击率-1级	4	hurtValue507	6250	1	4				200		
1062222	真那-技能1-暴击率-1级	4	hurtValue507	6261	1	4				200		
1062223	真那-技能1-暴击率-1级	4	hurtValue507	6262	1	4				200		
1062224	真那-技能1-暴击率-1级	4	hurtValue507	6263	1	4				200		
1062225	真那-技能1-暴击率-1级	4	hurtValue507	6264	1	4				200		
1062226	真那-技能1-暴击率-1级	4	hurtValue507	6265	1	4				200		
1062227	真那-技能1-暴击率-1级	4	hurtValue507	6270	1	4				200		
1062228	真那-技能1-暴击率-1级	4	hurtValue507	6280	1	4				200		
1062229	真那-技能1-命中率-2级	4	hurtValue505	6201	1	4				1000		
1062230	真那-技能1-命中率-2级	4	hurtValue505	6202	1	4				1000		
1062231	真那-技能1-命中率-2级	4	hurtValue505	6203	1	4				1000		
1062232	真那-技能1-命中率-2级	4	hurtValue505	6204	1	4				1000		
1062233	真那-技能1-命中率-2级	4	hurtValue505	6205	1	4				1000		
1062234	真那-技能1-命中率-2级	4	hurtValue505	6211	1	4				1000		
1062235	真那-技能1-命中率-2级	4	hurtValue505	6212	1	4				1000		
1062236	真那-技能1-命中率-2级	4	hurtValue505	6213	1	4				1000		
1062237	真那-技能1-命中率-2级	4	hurtValue505	6214	1	4				1000		
1062238	真那-技能1-命中率-2级	4	hurtValue505	6215	1	4				1000		
1062239	真那-技能1-命中率-2级	4	hurtValue505	6220	1	4				1000		
1062240	真那-技能1-命中率-2级	4	hurtValue505	6231	1	4				1000		
1062241	真那-技能1-命中率-2级	4	hurtValue505	6232	1	4				1000		
1062242	真那-技能1-命中率-2级	4	hurtValue505	6233	1	4				1000		
1062243	真那-技能1-命中率-2级	4	hurtValue505	6234	1	4				1000		
1062244	真那-技能1-命中率-2级	4	hurtValue505	6235	1	4				1000		
1062245	真那-技能1-命中率-2级	4	hurtValue505	6240	1	4				1000		
1062246	真那-技能1-命中率-2级	4	hurtValue505	6250	1	4				1000		
1062247	真那-技能1-命中率-2级	4	hurtValue505	6261	1	4				1000		
1062248	真那-技能1-命中率-2级	4	hurtValue505	6262	1	4				1000		
1062249	真那-技能1-命中率-2级	4	hurtValue505	6263	1	4				1000		
1062250	真那-技能1-命中率-2级	4	hurtValue505	6264	1	4				1000		
1062251	真那-技能1-命中率-2级	4	hurtValue505	6265	1	4				1000		
1062252	真那-技能1-命中率-2级	4	hurtValue505	6270	1	4				1000		
1062253	真那-技能1-命中率-2级	4	hurtValue505	6280	1	4				1000		
1062254	真那-技能1-暴击率-2级	4	hurtValue507	6201	1	4				300		
1062255	真那-技能1-暴击率-2级	4	hurtValue507	6202	1	4				300		
1062256	真那-技能1-暴击率-2级	4	hurtValue507	6203	1	4				300		
1062257	真那-技能1-暴击率-2级	4	hurtValue507	6204	1	4				300		
1062258	真那-技能1-暴击率-2级	4	hurtValue507	6205	1	4				300		
1062259	真那-技能1-暴击率-2级	4	hurtValue507	6211	1	4				300		
1062260	真那-技能1-暴击率-2级	4	hurtValue507	6212	1	4				300		
1062261	真那-技能1-暴击率-2级	4	hurtValue507	6213	1	4				300		
1062262	真那-技能1-暴击率-2级	4	hurtValue507	6214	1	4				300		
1062263	真那-技能1-暴击率-2级	4	hurtValue507	6215	1	4				300		
1062264	真那-技能1-暴击率-2级	4	hurtValue507	6220	1	4				300		
1062265	真那-技能1-暴击率-2级	4	hurtValue507	6231	1	4				300		
1062266	真那-技能1-暴击率-2级	4	hurtValue507	6232	1	4				300		
1062267	真那-技能1-暴击率-2级	4	hurtValue507	6233	1	4				300		
1062268	真那-技能1-暴击率-2级	4	hurtValue507	6234	1	4				300		
1062269	真那-技能1-暴击率-2级	4	hurtValue507	6235	1	4				300		
1062270	真那-技能1-暴击率-2级	4	hurtValue507	6240	1	4				300		
1062271	真那-技能1-暴击率-2级	4	hurtValue507	6250	1	4				300		
1062272	真那-技能1-暴击率-2级	4	hurtValue507	6261	1	4				300		
1062273	真那-技能1-暴击率-2级	4	hurtValue507	6262	1	4				300		
1062274	真那-技能1-暴击率-2级	4	hurtValue507	6263	1	4				300		
1062275	真那-技能1-暴击率-2级	4	hurtValue507	6264	1	4				300		
1062276	真那-技能1-暴击率-2级	4	hurtValue507	6265	1	4				300		
1062277	真那-技能1-暴击率-2级	4	hurtValue507	6270	1	4				300		
1062278	真那-技能1-暴击率-2级	4	hurtValue507	6280	1	4				300		
1062279	真那-技能1-命中率-3级	4	hurtValue505	6201	1	4				1500		
1062280	真那-技能1-命中率-3级	4	hurtValue505	6202	1	4				1500		
1062281	真那-技能1-命中率-3级	4	hurtValue505	6203	1	4				1500		
1062282	真那-技能1-命中率-3级	4	hurtValue505	6204	1	4				1500		
1062283	真那-技能1-命中率-3级	4	hurtValue505	6205	1	4				1500		
1062284	真那-技能1-命中率-3级	4	hurtValue505	6211	1	4				1500		
1062285	真那-技能1-命中率-3级	4	hurtValue505	6212	1	4				1500		
1062286	真那-技能1-命中率-3级	4	hurtValue505	6213	1	4				1500		
1062287	真那-技能1-命中率-3级	4	hurtValue505	6214	1	4				1500		
1062288	真那-技能1-命中率-3级	4	hurtValue505	6215	1	4				1500		
1062289	真那-技能1-命中率-3级	4	hurtValue505	6220	1	4				1500		
1062290	真那-技能1-命中率-3级	4	hurtValue505	6231	1	4				1500		
1062291	真那-技能1-命中率-3级	4	hurtValue505	6232	1	4				1500		
1062292	真那-技能1-命中率-3级	4	hurtValue505	6233	1	4				1500		
1062293	真那-技能1-命中率-3级	4	hurtValue505	6234	1	4				1500		
1062294	真那-技能1-命中率-3级	4	hurtValue505	6235	1	4				1500		
1062295	真那-技能1-命中率-3级	4	hurtValue505	6240	1	4				1500		
1062296	真那-技能1-命中率-3级	4	hurtValue505	6250	1	4				1500		
1062297	真那-技能1-命中率-3级	4	hurtValue505	6261	1	4				1500		
1062298	真那-技能1-命中率-3级	4	hurtValue505	6262	1	4				1500		
1062299	真那-技能1-命中率-3级	4	hurtValue505	6263	1	4				1500		
1062300	真那-技能1-命中率-3级	4	hurtValue505	6264	1	4				1500		
1062301	真那-技能1-命中率-3级	4	hurtValue505	6265	1	4				1500		
1062302	真那-技能1-命中率-3级	4	hurtValue505	6270	1	4				1500		
1062303	真那-技能1-命中率-3级	4	hurtValue505	6280	1	4				1500		
1062304	真那-技能1-暴击率-3级	4	hurtValue507	6201	1	4				400		
1062305	真那-技能1-暴击率-3级	4	hurtValue507	6202	1	4				400		
1062306	真那-技能1-暴击率-3级	4	hurtValue507	6203	1	4				400		
1062307	真那-技能1-暴击率-3级	4	hurtValue507	6204	1	4				400		
1062308	真那-技能1-暴击率-3级	4	hurtValue507	6205	1	4				400		
1062309	真那-技能1-暴击率-3级	4	hurtValue507	6211	1	4				400		
1062310	真那-技能1-暴击率-3级	4	hurtValue507	6212	1	4				400		
1062311	真那-技能1-暴击率-3级	4	hurtValue507	6213	1	4				400		
1062312	真那-技能1-暴击率-3级	4	hurtValue507	6214	1	4				400		
1062313	真那-技能1-暴击率-3级	4	hurtValue507	6215	1	4				400		
1062314	真那-技能1-暴击率-3级	4	hurtValue507	6220	1	4				400		
1062315	真那-技能1-暴击率-3级	4	hurtValue507	6231	1	4				400		
1062316	真那-技能1-暴击率-3级	4	hurtValue507	6232	1	4				400		
1062317	真那-技能1-暴击率-3级	4	hurtValue507	6233	1	4				400		
1062318	真那-技能1-暴击率-3级	4	hurtValue507	6234	1	4				400		
1062319	真那-技能1-暴击率-3级	4	hurtValue507	6235	1	4				400		
1062320	真那-技能1-暴击率-3级	4	hurtValue507	6240	1	4				400		
1062321	真那-技能1-暴击率-3级	4	hurtValue507	6250	1	4				400		
1062322	真那-技能1-暴击率-3级	4	hurtValue507	6261	1	4				400		
1062323	真那-技能1-暴击率-3级	4	hurtValue507	6262	1	4				400		
1062324	真那-技能1-暴击率-3级	4	hurtValue507	6263	1	4				400		
1062325	真那-技能1-暴击率-3级	4	hurtValue507	6264	1	4				400		
1062326	真那-技能1-暴击率-3级	4	hurtValue507	6265	1	4				400		
1062327	真那-技能1-暴击率-3级	4	hurtValue507	6270	1	4				400		
1062328	真那-技能1-暴击率-3级	4	hurtValue507	6280	1	4				400		
1062329	真那-技能1-命中率-4级	4	hurtValue505	6201	1	4				2000		
1062330	真那-技能1-命中率-4级	4	hurtValue505	6202	1	4				2000		
1062331	真那-技能1-命中率-4级	4	hurtValue505	6203	1	4				2000		
1062332	真那-技能1-命中率-4级	4	hurtValue505	6204	1	4				2000		
1062333	真那-技能1-命中率-4级	4	hurtValue505	6205	1	4				2000		
1062334	真那-技能1-命中率-4级	4	hurtValue505	6211	1	4				2000		
1062335	真那-技能1-命中率-4级	4	hurtValue505	6212	1	4				2000		
1062336	真那-技能1-命中率-4级	4	hurtValue505	6213	1	4				2000		
1062337	真那-技能1-命中率-4级	4	hurtValue505	6214	1	4				2000		
1062338	真那-技能1-命中率-4级	4	hurtValue505	6215	1	4				2000		
1062339	真那-技能1-命中率-4级	4	hurtValue505	6220	1	4				2000		
1062340	真那-技能1-命中率-4级	4	hurtValue505	6231	1	4				2000		
1062341	真那-技能1-命中率-4级	4	hurtValue505	6232	1	4				2000		
1062342	真那-技能1-命中率-4级	4	hurtValue505	6233	1	4				2000		
1062343	真那-技能1-命中率-4级	4	hurtValue505	6234	1	4				2000		
1062344	真那-技能1-命中率-4级	4	hurtValue505	6235	1	4				2000		
1062345	真那-技能1-命中率-4级	4	hurtValue505	6240	1	4				2000		
1062346	真那-技能1-命中率-4级	4	hurtValue505	6250	1	4				2000		
1062347	真那-技能1-命中率-4级	4	hurtValue505	6261	1	4				2000		
1062348	真那-技能1-命中率-4级	4	hurtValue505	6262	1	4				2000		
1062349	真那-技能1-命中率-4级	4	hurtValue505	6263	1	4				2000		
1062350	真那-技能1-命中率-4级	4	hurtValue505	6264	1	4				2000		
1062351	真那-技能1-命中率-4级	4	hurtValue505	6265	1	4				2000		
1062352	真那-技能1-命中率-4级	4	hurtValue505	6270	1	4				2000		
1062353	真那-技能1-命中率-4级	4	hurtValue505	6280	1	4				2000		
1062354	真那-技能1-暴击率-4级	4	hurtValue507	6201	1	4				500		
1062355	真那-技能1-暴击率-4级	4	hurtValue507	6202	1	4				500		
1062356	真那-技能1-暴击率-4级	4	hurtValue507	6203	1	4				500		
1062357	真那-技能1-暴击率-4级	4	hurtValue507	6204	1	4				500		
1062358	真那-技能1-暴击率-4级	4	hurtValue507	6205	1	4				500		
1062359	真那-技能1-暴击率-4级	4	hurtValue507	6211	1	4				500		
1062360	真那-技能1-暴击率-4级	4	hurtValue507	6212	1	4				500		
1062361	真那-技能1-暴击率-4级	4	hurtValue507	6213	1	4				500		
1062362	真那-技能1-暴击率-4级	4	hurtValue507	6214	1	4				500		
1062363	真那-技能1-暴击率-4级	4	hurtValue507	6215	1	4				500		
1062364	真那-技能1-暴击率-4级	4	hurtValue507	6220	1	4				500		
1062365	真那-技能1-暴击率-4级	4	hurtValue507	6231	1	4				500		
1062366	真那-技能1-暴击率-4级	4	hurtValue507	6232	1	4				500		
1062367	真那-技能1-暴击率-4级	4	hurtValue507	6233	1	4				500		
1062368	真那-技能1-暴击率-4级	4	hurtValue507	6234	1	4				500		
1062369	真那-技能1-暴击率-4级	4	hurtValue507	6235	1	4				500		
1062370	真那-技能1-暴击率-4级	4	hurtValue507	6240	1	4				500		
1062371	真那-技能1-暴击率-4级	4	hurtValue507	6250	1	4				500		
1062372	真那-技能1-暴击率-4级	4	hurtValue507	6261	1	4				500		
1062373	真那-技能1-暴击率-4级	4	hurtValue507	6262	1	4				500		
1062374	真那-技能1-暴击率-4级	4	hurtValue507	6263	1	4				500		
1062375	真那-技能1-暴击率-4级	4	hurtValue507	6264	1	4				500		
1062376	真那-技能1-暴击率-4级	4	hurtValue507	6265	1	4				500		
1062377	真那-技能1-暴击率-4级	4	hurtValue507	6270	1	4				500		
1062378	真那-技能1-暴击率-4级	4	hurtValue507	6280	1	4				500		
1062801	真那-技能效果-技能1-1级	1	first	100620	2	4				6021		
1062802	真那-技能效果-技能1-2级	1	first	100620	2	4				6023		
1062803	真那-技能效果-技能1-3级	1	first	100620	2	4				6026		
1063001	真那-技能2-技能伤-1级	4	hurtScale	6700	1	4				0.05		
1063002	真那-技能2-技能伤-1级	4	hurtScale	6710	1	4				0.05		
1063003	真那-技能2-技能伤-1级	4	hurtScale	6720	1	4				0.05		
1063004	真那-技能2-技能伤-1级	4	hurtScale	6730	1	4				0.05		
1063005	真那-技能2-技能伤-1级	4	hurtScale	6740	1	4				0.05		
1063006	真那-技能2-技能伤-1级	4	hurtScale	6750	1	4				0.05		
1063007	真那-技能2-技能伤-1级	4	hurtScale	6760	1	4				0.05		
1063008	真那-技能2-技能伤-1级	4	hurtScale	6761	1	4				0.05		
1063009	真那-技能2-技能伤-1级	4	hurtScale	6770	1	4				0.05		
1063010	真那-技能2-技能伤-1级	4	hurtScale	6771	1	4				0.05		
1063011	真那-技能2-技能伤-2级	4	hurtScale	6700	1	4				0.1		
1063012	真那-技能2-技能伤-2级	4	hurtScale	6710	1	4				0.1		
1063013	真那-技能2-技能伤-2级	4	hurtScale	6720	1	4				0.1		
1063014	真那-技能2-技能伤-2级	4	hurtScale	6730	1	4				0.1		
1063015	真那-技能2-技能伤-2级	4	hurtScale	6740	1	4				0.1		
1063016	真那-技能2-技能伤-2级	4	hurtScale	6750	1	4				0.1		
1063017	真那-技能2-技能伤-2级	4	hurtScale	6760	1	4				0.1		
1063018	真那-技能2-技能伤-2级	4	hurtScale	6761	1	4				0.1		
1063019	真那-技能2-技能伤-2级	4	hurtScale	6770	1	4				0.1		
1063020	真那-技能2-技能伤-2级	4	hurtScale	6771	1	4				0.1		
1063021	真那-技能2-技能伤-3级	4	hurtScale	6700	1	4				0.15		
1063022	真那-技能2-技能伤-3级	4	hurtScale	6710	1	4				0.15		
1063023	真那-技能2-技能伤-3级	4	hurtScale	6720	1	4				0.15		
1063024	真那-技能2-技能伤-3级	4	hurtScale	6730	1	4				0.15		
1063025	真那-技能2-技能伤-3级	4	hurtScale	6740	1	4				0.15		
1063026	真那-技能2-技能伤-3级	4	hurtScale	6750	1	4				0.15		
1063027	真那-技能2-技能伤-3级	4	hurtScale	6760	1	4				0.15		
1063028	真那-技能2-技能伤-3级	4	hurtScale	6761	1	4				0.15		
1063029	真那-技能2-技能伤-3级	4	hurtScale	6770	1	4				0.15		
1063030	真那-技能2-技能伤-3级	4	hurtScale	6771	1	4				0.15		
1063031	真那-技能2-技能伤-4级	4	hurtScale	6700	1	4				0.2		
1063032	真那-技能2-技能伤-4级	4	hurtScale	6710	1	4				0.2		
1063033	真那-技能2-技能伤-4级	4	hurtScale	6720	1	4				0.2		
1063034	真那-技能2-技能伤-4级	4	hurtScale	6730	1	4				0.2		
1063035	真那-技能2-技能伤-4级	4	hurtScale	6740	1	4				0.2		
1063036	真那-技能2-技能伤-4级	4	hurtScale	6750	1	4				0.2		
1063037	真那-技能2-技能伤-4级	4	hurtScale	6760	1	4				0.2		
1063038	真那-技能2-技能伤-4级	4	hurtScale	6761	1	4				0.2		
1063039	真那-技能2-技能伤-4级	4	hurtScale	6770	1	4				0.2		
1063040	真那-技能2-技能伤-4级	4	hurtScale	6771	1	4				0.2		
1063041	真那-技能2-穿透率-1级	4	hurtValue503	6700	1	4				300		
1063042	真那-技能2-穿透率-1级	4	hurtValue503	6710	1	4				300		
1063043	真那-技能2-穿透率-1级	4	hurtValue503	6720	1	4				300		
1063044	真那-技能2-穿透率-1级	4	hurtValue503	6730	1	4				300		
1063045	真那-技能2-穿透率-1级	4	hurtValue503	6740	1	4				300		
1063046	真那-技能2-穿透率-1级	4	hurtValue503	6750	1	4				300		
1063047	真那-技能2-穿透率-1级	4	hurtValue503	6760	1	4				300		
1063048	真那-技能2-穿透率-1级	4	hurtValue503	6761	1	4				300		
1063049	真那-技能2-穿透率-1级	4	hurtValue503	6770	1	4				300		
1063050	真那-技能2-穿透率-1级	4	hurtValue503	6771	1	4				300		
1063051	真那-技能2-穿透率-2级	4	hurtValue503	6700	1	4				500		
1063052	真那-技能2-穿透率-2级	4	hurtValue503	6710	1	4				500		
1063053	真那-技能2-穿透率-2级	4	hurtValue503	6720	1	4				500		
1063054	真那-技能2-穿透率-2级	4	hurtValue503	6730	1	4				500		
1063055	真那-技能2-穿透率-2级	4	hurtValue503	6740	1	4				500		
1063056	真那-技能2-穿透率-2级	4	hurtValue503	6750	1	4				500		
1063057	真那-技能2-穿透率-2级	4	hurtValue503	6760	1	4				500		
1063058	真那-技能2-穿透率-2级	4	hurtValue503	6761	1	4				500		
1063059	真那-技能2-穿透率-2级	4	hurtValue503	6770	1	4				500		
1063060	真那-技能2-穿透率-2级	4	hurtValue503	6771	1	4				500		
1063061	真那-技能2-穿透率-3级	4	hurtValue503	6700	1	4				700		
1063062	真那-技能2-穿透率-3级	4	hurtValue503	6710	1	4				700		
1063063	真那-技能2-穿透率-3级	4	hurtValue503	6720	1	4				700		
1063064	真那-技能2-穿透率-3级	4	hurtValue503	6730	1	4				700		
1063065	真那-技能2-穿透率-3级	4	hurtValue503	6740	1	4				700		
1063066	真那-技能2-穿透率-3级	4	hurtValue503	6750	1	4				700		
1063067	真那-技能2-穿透率-3级	4	hurtValue503	6760	1	4				700		
1063068	真那-技能2-穿透率-3级	4	hurtValue503	6761	1	4				700		
1063069	真那-技能2-穿透率-3级	4	hurtValue503	6770	1	4				700		
1063070	真那-技能2-穿透率-3级	4	hurtValue503	6771	1	4				700		
1063071	真那-技能2-穿透率-4级	4	hurtValue503	6700	1	4				1000		
1063072	真那-技能2-穿透率-4级	4	hurtValue503	6710	1	4				1000		
1063073	真那-技能2-穿透率-4级	4	hurtValue503	6720	1	4				1000		
1063074	真那-技能2-穿透率-4级	4	hurtValue503	6730	1	4				1000		
1063075	真那-技能2-穿透率-4级	4	hurtValue503	6740	1	4				1000		
1063076	真那-技能2-穿透率-4级	4	hurtValue503	6750	1	4				1000		
1063077	真那-技能2-穿透率-4级	4	hurtValue503	6760	1	4				1000		
1063078	真那-技能2-穿透率-4级	4	hurtValue503	6761	1	4				1000		
1063079	真那-技能2-穿透率-4级	4	hurtValue503	6770	1	4				1000		
1063080	真那-技能2-穿透率-4级	4	hurtValue503	6771	1	4				1000		
1063081	真那-技能2-命中减防-1级	4	targetValue502	6700	1	4				-1000		
1063082	真那-技能2-命中减防-1级	4	targetValue502	6710	1	4				-1000		
1063083	真那-技能2-命中减防-1级	4	targetValue502	6720	1	4				-1000		
1063084	真那-技能2-命中减防-1级	4	targetValue502	6730	1	4				-1000		
1063085	真那-技能2-命中减防-1级	4	targetValue502	6740	1	4				-1000		
1063086	真那-技能2-命中减防-1级	4	targetValue502	6750	1	4				-1000		
1063087	真那-技能2-命中减防-1级	4	targetValue502	6760	1	4				-1000		
1063088	真那-技能2-命中减防-1级	4	targetValue502	6761	1	4				-1000		
1063089	真那-技能2-命中减防-1级	4	targetValue502	6770	1	4				-1000		
1063090	真那-技能2-命中减防-1级	4	targetValue502	6771	1	4				-1000		
1063091	真那-技能2-命中减防-2级	4	targetValue502	6700	1	4				-1500		
1063092	真那-技能2-命中减防-2级	4	targetValue502	6710	1	4				-1500		
1063093	真那-技能2-命中减防-2级	4	targetValue502	6720	1	4				-1500		
1063094	真那-技能2-命中减防-2级	4	targetValue502	6730	1	4				-1500		
1063095	真那-技能2-命中减防-2级	4	targetValue502	6740	1	4				-1500		
1063096	真那-技能2-命中减防-2级	4	targetValue502	6750	1	4				-1500		
1063097	真那-技能2-命中减防-2级	4	targetValue502	6760	1	4				-1500		
1063098	真那-技能2-命中减防-2级	4	targetValue502	6761	1	4				-1500		
1063099	真那-技能2-命中减防-2级	4	targetValue502	6770	1	4				-1500		
1063100	真那-技能2-命中减防-2级	4	targetValue502	6771	1	4				-1500		
1063101	真那-技能2-命中减防-3级	4	targetValue502	6700	1	4				-2000		
1063102	真那-技能2-命中减防-3级	4	targetValue502	6710	1	4				-2000		
1063103	真那-技能2-命中减防-3级	4	targetValue502	6720	1	4				-2000		
1063104	真那-技能2-命中减防-3级	4	targetValue502	6730	1	4				-2000		
1063105	真那-技能2-命中减防-3级	4	targetValue502	6740	1	4				-2000		
1063106	真那-技能2-命中减防-3级	4	targetValue502	6750	1	4				-2000		
1063107	真那-技能2-命中减防-3级	4	targetValue502	6760	1	4				-2000		
1063108	真那-技能2-命中减防-3级	4	targetValue502	6761	1	4				-2000		
1063109	真那-技能2-命中减防-3级	4	targetValue502	6770	1	4				-2000		
1063110	真那-技能2-命中减防-3级	4	targetValue502	6771	1	4				-2000		
1063111	真那-技能2-命中减防-4级	4	targetValue502	6700	1	4				-2500		
1063112	真那-技能2-命中减防-4级	4	targetValue502	6710	1	4				-2500		
1063113	真那-技能2-命中减防-4级	4	targetValue502	6720	1	4				-2500		
1063114	真那-技能2-命中减防-4级	4	targetValue502	6730	1	4				-2500		
1063115	真那-技能2-命中减防-4级	4	targetValue502	6740	1	4				-2500		
1063116	真那-技能2-命中减防-4级	4	targetValue502	6750	1	4				-2500		
1063117	真那-技能2-命中减防-4级	4	targetValue502	6760	1	4				-2500		
1063118	真那-技能2-命中减防-4级	4	targetValue502	6761	1	4				-2500		
1063119	真那-技能2-命中减防-4级	4	targetValue502	6770	1	4				-2500		
1063120	真那-技能2-命中减防-4级	4	targetValue502	6771	1	4				-2500		
1063121	真那-技能2-精英伤-1级	4	hurtValue655	6700	1	4				400		
1063122	真那-技能2-精英伤-1级	4	hurtValue655	6710	1	4				400		
1063123	真那-技能2-精英伤-1级	4	hurtValue655	6720	1	4				400		
1063124	真那-技能2-精英伤-1级	4	hurtValue655	6730	1	4				400		
1063125	真那-技能2-精英伤-1级	4	hurtValue655	6740	1	4				400		
1063126	真那-技能2-精英伤-1级	4	hurtValue655	6750	1	4				400		
1063127	真那-技能2-精英伤-1级	4	hurtValue655	6760	1	4				400		
1063128	真那-技能2-精英伤-1级	4	hurtValue655	6761	1	4				400		
1063129	真那-技能2-精英伤-1级	4	hurtValue655	6770	1	4				400		
1063130	真那-技能2-精英伤-1级	4	hurtValue655	6771	1	4				400		
1063131	真那-技能2-精英伤-2级	4	hurtValue655	6700	1	4				800		
1063132	真那-技能2-精英伤-2级	4	hurtValue655	6710	1	4				800		
1063133	真那-技能2-精英伤-2级	4	hurtValue655	6720	1	4				800		
1063134	真那-技能2-精英伤-2级	4	hurtValue655	6730	1	4				800		
1063135	真那-技能2-精英伤-2级	4	hurtValue655	6740	1	4				800		
1063136	真那-技能2-精英伤-2级	4	hurtValue655	6750	1	4				800		
1063137	真那-技能2-精英伤-2级	4	hurtValue655	6760	1	4				800		
1063138	真那-技能2-精英伤-2级	4	hurtValue655	6761	1	4				800		
1063139	真那-技能2-精英伤-2级	4	hurtValue655	6770	1	4				800		
1063140	真那-技能2-精英伤-2级	4	hurtValue655	6771	1	4				800		
1063141	真那-技能2-精英伤-3级	4	hurtValue655	6700	1	4				1200		
1063142	真那-技能2-精英伤-3级	4	hurtValue655	6710	1	4				1200		
1063143	真那-技能2-精英伤-3级	4	hurtValue655	6720	1	4				1200		
1063144	真那-技能2-精英伤-3级	4	hurtValue655	6730	1	4				1200		
1063145	真那-技能2-精英伤-3级	4	hurtValue655	6740	1	4				1200		
1063146	真那-技能2-精英伤-3级	4	hurtValue655	6750	1	4				1200		
1063147	真那-技能2-精英伤-3级	4	hurtValue655	6760	1	4				1200		
1063148	真那-技能2-精英伤-3级	4	hurtValue655	6761	1	4				1200		
1063149	真那-技能2-精英伤-3级	4	hurtValue655	6770	1	4				1200		
1063150	真那-技能2-精英伤-3级	4	hurtValue655	6771	1	4				1200		
1063151	真那-技能2-攻速-1级	2	actionSpeed	6070	1	4				1000		
1063152	真那-技能2-攻速-1级	2	actionSpeed	6071	1	4				1000		
1063153	真那-技能2-攻速-1级	2	actionSpeed	6072	1	4				1000		
1063154	真那-技能2-攻速-1级	2	actionSpeed	6073	1	4				1000		
1063155	真那-技能2-攻速-1级	2	actionSpeed	6074	1	4				1000		
1063156	真那-技能2-攻速-1级	2	actionSpeed	6075	1	4				1000		
1063157	真那-技能2-攻速-1级	2	actionSpeed	6170	1	4				1000		
1063158	真那-技能2-攻速-1级	2	actionSpeed	6171	1	4				1000		
1063159	真那-技能2-攻速-1级	2	actionSpeed	6172	1	4				1000		
1063160	真那-技能2-攻速-1级	2	actionSpeed	6173	1	4				1000		
1063161	真那-技能2-攻速-1级	2	actionSpeed	6174	1	4				1000		
1063162	真那-技能2-攻速-1级	2	actionSpeed	6175	1	4				1000		
1063163	真那-技能2-攻速-1级	2	actionSpeed	6176	1	4				1000		
1063164	真那-技能2-攻速-1级	2	actionSpeed	6177	1	4				1000		
1063165	真那-技能2-攻速-1级	2	actionSpeed	6178	1	4				1000		
1063166	真那-技能2-攻速-1级	2	actionSpeed	6179	1	4				1000		
1063167	真那-技能2-攻速-2级	2	actionSpeed	6070	1	4				2000		
1063168	真那-技能2-攻速-2级	2	actionSpeed	6071	1	4				2000		
