	剧本号	约会类型(1主线2日常4特殊5外传）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	跳转（选项）	注释	添加标记	删除标记	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物路径2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2	外传结局	解锁结局	事件结算内容	外传结算内容（初次达成）	外传结算内容（多次达成）	额外奖励
401528	101010415	1	{}		100	山吹亚衣 	“怎么会这么多啊？”	1	{}				{}				401529													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401529	101010415	1	{}		100		1	1	{}				{}				401530													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401530	101010415	1	{}		100		毕竟是同学，我还是上去问问要不要帮忙吧。	1	{}				{}				401531													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401531	101010415	1	{}		100			1	{}				{}				401532													{}											{}											{}							scene/bg/bg_wanoudian1.png			1.5	-1	{"x":-284,"y":160}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401532	101010415	1	{}		100	1	“亚衣同学，需要帮忙吗！”	1	{}				{}				401533													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401533	101010415	1	{}		100			1	{}				{}				401534													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401534	101010415	1	{}		100	山吹亚衣 	“嗯？是%s君啊，这点东西还没到需要帮忙的程度。”	1	{}				{}				401535													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401535	101010415	1	{}		100	1	“这……这样吗？”	1	{}				{}				401536													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401536	101010415	1	{}		100	山吹亚衣 	“%s君如果想做的话，不是应该直接上去搬吗？”	1	{}				{}				401537													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401537	101010415	1	{}		100	1	“那、那个……”	1	{}				{}				401538													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401538	101010415	1	{}		100	山吹亚衣 	“嘛，还是谢谢你的好意，能挪一下脚吗？”	1	{}				{}				401539													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401539	101010415	1	{}		100		亚衣自己开始搬起了货物，一脸轻松的样子，看来是真的不需要帮忙。	1	{}				{}				401540													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401540	101010415	1			100		1	1	{}				{}																	{}											{}											{}												{}												1	1				{}	{}					{}	{}							{"items":{543002:1},"sign":[132]}	{}	{}	{}
401601	101010416	1	{}		100			1	{}				{}				401602	4												{}											{}											{}							scene/bg/bg_shangchang.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401602	101010416	1	{}		100		商场里，童装促销的表演还在进行。	1	{}				{}				401603													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401603	101010416	1	{}		100	1	“这场木偶剧的内容是芭比公主的故事啊？”	1	{}				{}				401604													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401604	101010416	1	{}		100	1	“而且刚刚好赶上了散场的时间，接下来就是派送礼物了吧？”	1	{}				{}				401605													{}											{}											{}												{}	sound/bgm/date_002.mp3																{}	{}					{}	{}							{}	{}	{}	{}
401605	101010416	1	{}		100		果然，当木偶剧闭幕的同时，楼上忽然有人撒下数十个芭比娃娃。	1	{}				{}				401606													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401606	101010416	1	{}		100		而其中一个则刚好落在了我的手里，造型是身穿蓝色长裙的海洋公主。	1	{}				{}				401607													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401607	101010416	1			100		1	1	{}				{}																	{}											{}											{}												{}												1	1				{}	{}					{}	{}							{"items":{543005:1}}	{}	{}	{}
401701	101010417	1	{}		100		16:00前来到水上乐园	1	{}				{}				401702	4												{}											{}											{}							scene/bg/bg_shuishangleyuan.png	1		1.3	-1	{}																	{}	{}					{}	{}							{}	{}	{}	{}
401702	101010417	1	{}		100		1	1	{}				{}				401703													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401703	101010417	1	{}		100		这段时间已经在附近来回调查了好几圈，这次我又来了水上乐园的附近。	1	{}				{}				401704													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401704	101010417	1	{}		100		乐园围墙上贴着一张巨幅广告，内容是儿童戏水区正在免费开放。	1	{}				{}				401705													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401705	101010417	1			100		等等……那边那个看广告的男孩……	1	{}				{}				401706													{}											{}											{}												{}																	{}	{}					{}	{"quality":{101101:1,101102:-2,101103:2},"sign":[120]}							{}	{}	{}	{}
401706	101010417	1	{}		100			1	{}				{}				401707													{}											{}											{}							scene/bg/bg_shuishangleyuan.png	1		1.5	-1	{"x":-284,"y":-160}	sound/bgm/date_001.mp3											1	1				{}	{}					{}	{}							{}	{}	{}	{}
401707	101010417	1	{}		100		是他！是那个出走的男孩！	1	{}				{}				401708													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401708	101010417	1	{}		100	1	“喂！别跑了！”	1	{}				{}				401709													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401709	101010417	1	{}		100		我刚要追上去，男孩却对我做了个鬼脸，钻进了儿童区的入口。	1	{}				{}				401710													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401710	101010417	1	{}		100		我马上跟了上去，却被工作人员给拦在了外面。	1	{}				{}				401711													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401711	101010417	1			100	1	“那个，麻烦放行一下，我想进去找个人！”	1	{}				{}				401712													{}											{}											{}												{}																	{}	{}					{}	{"quality":{101101:-2,101102:3,101103:-1},"sign":[120]}							{}	{}	{}	{}
401712	101010417	1	{}		100	工作人员	“对不起，陪同人员请在外面等候哦，或者等到16:00散场的时候再过来。”	1	{}				{}				401713													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401713	101010417	1	{}		100		没办法，就算是有急事，但也不能轻易打破这里的规定，那么，只能等了……	1	{}				{}				401714													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401714	101010417	1	{}		100		16:00来到水上乐园	1	{}				{}				401715													{}											{}											{}							scene/bg/bg_shuishangleyuan.png	1		1.3	-1	{}																	{}	{}					{}	{}							{}	{}	{}	{}
401715	101010417	1	{}		100		1	1	{}				{}				401716													{}											{}											{}										1.3		{"x":0,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401716	101010417	1	{}		100		好不容易等到儿童戏水区散场，一大群小孩子推挤着走了出来。	1	{}				{}				401717													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401717	101010417	1	{}		100		在吵吵嚷嚷，眼花缭乱的情况下，我却还是一眼看到了那个邋遢的出走男孩。	1	{}				{}				401718-401724-401731													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401718	101010417	1			100		直接拦住小男孩的去路	1	{}				{}				401719													{}											{}											{}												{}																	{}	{}					{}	{"quality":{101101:2,101102:-1,101103:1},"sign":[120]}							{}	{}	{}	{}
401719	101010417	1	{}		100			1	{}				{}				401720													{}											{}											{}							scene/bg/bg_shuishangleyuan.png			1.5	-1	{"x":-284,"y":-160}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401720	101010417	1	{}		100		利用狭窄的通道，我张开双臂拦住了男孩的去路，这样他就不可能逃跑了。	1	{}				{}				401721													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401721	101010417	1	{}		100	1	“这次你跑不掉了，跟我回去吧，我会帮你找到家长的。”	1	{}				{}				401722													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401722	101010417	1	{}		100	男孩	“我才不想回去！”	1	{}				{}				401723													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401723	101010417	1	{}		100		男孩似乎被我的话激怒了，狠狠地踩了我一脚，然后乘机从未身边溜了过去。	1	{}				{}				401724													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401724	101010417	1	{}		100		跟上去看看再说	1	{}				{}				401725													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401725	101010417	1	{}		100			1	{}				{}				401726													{}											{}											{}							scene/bg/bg_shuishangleyuan.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401726	101010417	1	{}		100		就假装没看见他，等他离开了再跟上去看看好了。	1	{}				{}				401727													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401727	101010417	1	{}		100		但没想到我欲擒故纵的陷阱完全失败……	1	{}				{}				401728													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401728	101010417	1	{}		100			1	{}				{}				401729													{}											{}											{}							scene/bg/bg_gouwuzhongxin.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401729	101010417	1	{}		100		男孩走出出口后，发现我跟在后面，就旋风般地钻进了一条狭窄巷子。	1	{}				{}				401730													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401730	101010417	1	{}		100		等我急冲冲的跟上去时，对面竟然走过来一个肥胖的路人大叔，完全挡住了我的去路。	1	{}				{}				401731													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401731	101010417	1	{}		100		表示自己没有恶意	1	{}				{}				401732													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401732	101010417	1	{}		100			1	{}				{}				401733													{}											{}											{}							scene/bg/bg_shuishangleyuan.png			1.5	-1	{"x":-284,"y":-160}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401733	101010417	1	{}		100		我尽量露出一个温柔的微笑。	1	{}				{}				401734													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401734	101010417	1	{}		100	1	“喂！我都跟到这里了，你不打算和我谈谈吗？”	1	{}				{}				401735													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401735	101010417	1	{}		100		男孩用警惕的眼神望着我，许久之后，仿佛大人般地叹了口气。	1	{}				{}				401736													{}											{}											{}												{}	sound/bgm/date_001.mp3																{}	{}					{}	{}							{}	{}	{}	{}
401736	101010417	1	{}		100	男孩	“你想怎么样？”	1	{}				{}				401737													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401737	101010417	1	{}		100	1	“放心吧，我不会逼你回家，只是想和你谈谈。”	1	{}				{}				401738													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401738	101010417	1	{}		100	1	“我知道你肚子饿了，如果相信我的话，一会儿在面包店见，如何？”	1	{}				{}				401739													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401739	101010417	1	{}		100		气氛有些尴尬。	1	{}				{}				401740													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401740	101010417	1	{}		100		男孩在短暂的思考后，做了个鬼脸，旋风般地向大街上奔去。	1	{}				{}				401741													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401741	101010417	1	{}		100		他会来面包店的吧？我不确定地叹了口气。	1	{}				{}				401742													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401742	101010417	1	{}		100		1	1	{}				{}																	{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401801	101010418	1	{}		100			1	{}				{}				401802	4												{}											{}											{}							scene/bg/bg_meishijie.png	1		1.75	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401802	101010418	1	{}		100		闲逛一圈无果后，再次不经意间经过玩偶店。	1	{}				{}				401803													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401803	101010418	1	{}		100		透过橱窗，我看见亚衣愁眉苦脸地抱着一个海豚玩偶发愁。	1	{}				{}				100401804													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
100401804	101010418	1	{}		100			1	{}				{}				401804													{}											{}											{}							scene/bg/bg_wanoudian1.png	1		1.3	-1	{"x":0,"y":0}																	{}	{}					{}	{}							{}	{}	{}	{}
401804	101010418	1	{}		100	1	“亚衣同学。”	1	{}				{}				401805													{}											{}											{}												{}	sound/bgm/date_009.mp3																{}	{}					{}	{}							{}	{}	{}	{}
401805	101010418	1	{}		100			1	{}				{}				401806													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401806	101010418	1	{}		100	山吹亚衣 	“哦？是%s君啊，你很悠闲嘛。”	1	{}				{}				401807													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401807	101010418	1	{}		100	1	“哈哈，没有啦，只是看到亚衣同学在苦恼，所以想看看能不能帮上忙。”	1	{}				{}				401808													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401808	101010418	1	{}		100	山吹亚衣 	“苦恼吗？”	1	{}				{}				401809													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401809	101010418	1	{}		100	山吹亚衣 	“只是刚才不小心弄破了一只娃娃，不知道会不会被扣酬劳。”	1	{}				{}				401810													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401810	101010418	1	{}		100	1	“那个，我先看看破损情况吧，说不定能补上”	1	{}				{}				401811													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401811	101010418	1	{}		100	山吹亚衣 	“欸？那样就最好不过了，就是这一只。”	1	{}				{}				401812													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401812	101010418	1	{}		100			1	{}				{}				401813													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401813	101010418	1	{}		100		亚衣手上的娃娃被划开一道大口子，连装填的棉花都曝露了出来。	1	{}				{}				401814-401822-401832													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401814	101010418	1			100		亲自上手缝补	1	{}				{}				401815													{}											{}											{}												{}																	{}	{}					{}	{"quality":{101101:2,101102:1,101103:1}}							{}	{}	{}	{}
401815	101010418	1	{}		100		我自告奋勇地包揽了缝补的工作。	1	{}				{}				401816													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401816	101010418	1	{}		100		在我一阵手忙脚乱的缝补之下，最终破口被缝上了。	1	{}				{}				401817													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401817	101010418	1	{}		100		但是美观度的话……	1	{}				{}				401818													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401818	101010418	1	{}		100			1	{}				{}				401819													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401819	101010418	1	{}		100	山吹亚衣 	“这种程度的话，没办法出售了。”	1	{}				{}				401820													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401820	101010418	1	{}		100	1	“对、对不起！”	1	{}				{}				401821													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401821	101010418	1	{}		100	山吹亚衣 	“算了，%s君也是一片好心嘛。”	1	{}				{}																	{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401822	101010418	1			100		努力按住破口	1	{}				{}				401823													{}											{}											{}												{}																	{}	{}					{}	{"quality":{101101:-1,101102:2,101103:-1}}							{}	{}	{}	{}
401823	101010418	1	{}		100	1	“看样子要两个人合作才行。”	1	{}				{}				401824													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401824	101010418	1	{}		100			1	{}				{}				401825													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401825	101010418	1	{}		100	山吹亚衣 	“哦？要怎么做？”	1	{}				{}				401826													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401826	101010418	1	{}		100	1	“我来努力按住破口，亚衣同学用针线来缝补。”	1	{}				{}				401827													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401827	101010418	1	{}		100	山吹亚衣 	“是这样子吗？”	1	{}				{}				401828													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401828	101010418	1	{}		100			1	{}				{}				401829													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401829	101010418	1	{}		100		亚衣拿出针线开始缝补，而我则卖力地压住破口。	1	{}				{}				401830													{}											{}											{}												{}	sound/bgm/date_009.mp3																{}	{}					{}	{}							{}	{}	{}	{}
401830	101010418	1	{}		100		但是因为棉花弹性实在太好，我的按压动作总是受到阻碍。	1	{}				{}				401831													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401831	101010418	1	{}		100		最终，在两人合力下，娃娃虽然补上了，但美观程度却差强人意。	1	{}				{}																	{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401832	101010418	1			100		帮忙压住棉花	1	{}				{}				401833													{}											{}											{}												{}																	{}	{}					{}	{"quality":{101101:2,101102:1,101103:1},"items":{543006:1}}							{}	{}	{}	{}
401833	101010418	1	{}		100	1	“看样子要两个人合作才行。”	1	{}				{}				401834													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401834	101010418	1	{}		100			1	{}				{}				401835													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401835	101010418	1	{}		100	山吹亚衣 	“哦？要怎么做？”	1	{}				{}				401836													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401836	101010418	1	{}		100	1	“我来努力压住棉花，亚衣同学用针线来缝补。”	1	{}				{}				401837													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401837	101010418	1	{}		100	山吹亚衣 	“是这样子吗？”	1	{}				{}				401838													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401838	101010418	1	{}		100			1	{}				{}				401839													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401839	101010418	1	{}		100		亚衣拿出针线开始缝补，而我则卖力地压住棉花。	1	{}				{}				401840													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401840	101010418	1	{}		100		最终，在两人努力下，破口完美地被补上，完全看不出伤痕。	1	{}				{}				401841													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401841	101010418	1	{}		100			1	{}				{}				401842													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401842	101010418	1	{}		100	山吹亚衣 	“这次真是要感谢%s君，这样就不会被扣酬劳了。”	1	{}				{}				401843													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401843	101010418	1	{}		100	1	“小意思啦，我也没帮上什么忙。”	1	{}				{}				401844													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401844	101010418	1	{}		100	山吹亚衣 	“为了报答%s君，这卷彩色棉线就送给你吧。”	1	{}				{}				401845													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401845	101010418	1	{}		100		1	1	{}				{}																	{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401901	101010401	1	{}		100			1	{}				{}				401902	4												{}											{}											{}							scene/bg/bg_youlechang.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401902	101010401	1	{}		100		在体验了恐怖的游乐项目后，十香立刻扑向了一旁的章鱼烧店铺。	1	{}				{}				401903													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401903	101010401	1	{}		100		填饱肚子后，我们又体验了气球射击、卡丁车、摩天轮。	1	{}				{}				401904													{}											{}											{}												{}	sound/bgm/date_009.mp3																{}	{}					{}	{}							{}	{}	{}	{}
401904	101010401	1	{}		100		约会倒是很开心，但如果天气再凉快一点就好了。	1	{}				{}				401905													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401905	101010401	1	{}		100			1	{}				{}				401906													{}											{}											{}							scene/bg/bg_youlechang.png	1		1.3	-1	{"x":51,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401906	101010401	1	{}		100		1	1	{}				{}				401907													{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401907	101010401	1	{}		100	夜刀神十香	“姆……%s今天不高兴吗？”	1	{}				{}				401908				10104	3		id_pose_12		id_look_2			2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401908	101010401	1	{}		100	1	“没、没有啊，和十香约会很开心哦。”	1	{}				{}				401909				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401909	101010401	1	{}		100	夜刀神十香	“那为什么%s都没有怎么笑呢？”	1	{}				{}				401910				1			id_pose_12		id_look_2				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401910	101010401	1	{}		100	1	“哈……哈哈哈，是这样吗？”	1	{}				{}				401911				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401911	101010401	1	{}		100	夜刀神十香	“……好勉强哦。”	1	{}				{}				401912				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401912	101010401	1	{}		100	1	“是吗？哈哈，其实我只是走得有点累了。”	1	{}				{}				401913				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401913	101010401	1	{}		100	夜刀神十香	“%s太虚弱了，需要看医生吗，还是需要我的特别招待呢？”	1	{}				{}				401914				1			id_normal_13						{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401914	101010401	1	{}		100	1	“什！——什么特别招待啊！别用奇怪的词语啦。”	1	{}				{}				401915				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401915	101010401	1	{}		100	1	“而且也没有到看医生的地步啦，只是需要找个地方休息一下，补充一下水分。”	1	{}				{}				401916				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401916	101010401	1	{}		100		十香忽然伸出柔软的舌头在我的脸上舔了一下。	1	{}				{}				401917				1									{}	1.6										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401917	101010401	1	{}		100	夜刀神十香	“补充水分，是这个意思吗？”	1	{}				{}				401918				1			id_normal_6						{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401918	101010401	1	{}		100	1	“呜哇哇，啊呀呀！”	1	{}				{}				401919				1									{}											{}											{}												{}	sound/bgm/date_017.mp3																{}	{}					{}	{}							{}	{}	{}	{}
401919	101010401	1	{}		100	夜刀神十香	“%s怎么了吗？脸这么红，是发烧了吗？”	1	{}				{}				401920				1			id_pose_10		id_look_11				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401920	101010401	1	{}		100	1	“没、没事啦，总之我们去前面的冷饮店坐一下吧！”	1	{}				{}				401921				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401921	101010401	1	{}		100		1	1	{}				{}				401922						3							{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401922	101010401	1	{}		100			1	{}				{}				401923													{}											{}											{}							scene/bg/bg_jiejiao.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
401923	101010401	1	{}		100		我拉着十香往冷饮店走去。	1	{}				{}				401924													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401924	101010401	1	{}		100		等等……冷饮店人怎么这么多？	1	{}				{}				401925													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401925	101010401	1	{}		100	服务生	“冷饮、冰淇淋，第二份半价！”	1	{}				{}				401926													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401926	101010401	1	{}		100		因为冷饮店半价的关系，人们争先恐后的往前挤。	1	{}				{}				401927													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401927	101010401	1	{}		100	1	“什么情况啊！十香，抓紧我的手！”	1	{}				{}				401928													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401928	101010401	1	{}		100	1	“十香？人呢？”	1	{}				{}				401929													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401929	101010401	1	{}		100		在明白了前面的情况后，我回身去找十香，却发现人已经不见了！	1	{}				{}				401930													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401930	101010401	1	{}		100		这时候，耳机里适时传来了琴里的怒吼。	1	{}				{}				401931													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
401931	101010401	1	{}		100	五河琴里	“笨蛋！秃子！你在干什么啊！目标出现了，十香的恐惧值又要突破极限了！——”	1	{}				{}				401932													{}											{}											{}				effect/dianhua/dianhua	dianhua							{}																	{}	{}					{}	{}							{}	{}	{}	{}
401932	101010401	1	{}		100		1	1	{}				{}																	{}											{}											{}												{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
402001	101010402	1	{}		100			1	{}				{}				402002	4												{}											{}											{}							scene/bg/bg_youlechang.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}							{}	{}	{}	{}
402002	101010402	1	{}		100		在体验了恐怖的游乐项目后，十香立刻扑向了一旁的章鱼烧店铺。	1	{}				{}				402003													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
402003	101010402	1	{}		100		填饱肚子后，我们又体验了气球射击、卡丁车、摩天轮。	1	{}				{}				402004													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
402004	101010402	1	{}		100		约会倒是很开心，但如果天气再凉快一点就好了。	1	{}				{}				402005													{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
402005	101010402	1	{}		100		1	1	{}				{}				402006													{}											{}											{}												{}	sound/bgm/date_021.mp3											1	1				{}	{}					{}	{}							{}	{}	{}	{}
402006	101010402	1	{}		100	夜刀神十香	“姆……%s今天不高兴吗？”	1	{}				{}				402007				10104	3		id_pose_12		id_look_2			2	{}	1.3										{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
402007	101010402	1	{}		100	1	“没、没有啊，和十香约会很开心哦。”	1	{}				{}				402008				1									{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
402008	101010402	1	{}		100	夜刀神十香	“那为什么%s都没有怎么笑呢？”	1	{}				{}				402009				1			id_pose_12		id_look_2				{}											{}											{}												{}																	{}	{}					{}	{}							{}	{}	{}	{}
