	剧本号	约会类型(1主线2日常4特殊）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物模型2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效路径	特效动画	循环特效路径	循环特效动画	1-5章增加音效与BGM	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	自动下一句	是否回忆	是否旁白	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2
3002033	3002	7	{}		100		……结婚？！琴里你在说什么啊！	1	{}			{}	{}				1	3002034-3002036-3002038		1								4	{}		1								5	{}											{}															{}						sound/dating_sound/dating_005.mp3										{}	{}					{}	{}		{}		
3002034	3002	7	{}		100		结婚是不可能的，这辈子都不可能！	1	{}			{}	{}					3002035		1								4	{}		1								5	{}											{}															{}																{}	{}					{}	{}		{}		
3002035	3002	7	{}		100		 	1	{}			{}	{}					3002043				3							{}				3							{}											{}										scene/bg/bg_keting.png	-1			-1	{}												1	1			{}	{}					{}	{}		{}		
3002036	3002	7	{}		100		我怎么会丧心病狂到和琴里结婚啊！	1	{}			{}	{}					3002037		1								4	{}		1								5	{}											{}															{}																{}	{}					{}	{}		{}		
3002037	3002	7	{}		100		 	1	{}			{}	{}					3002043				3							{}				3							{}											{}										scene/bg/bg_keting.png	-1			-1	{}												1	1			{}	{}					{}	{}		{}		
3002038	3002	7	{}		100		能和琴里结婚当然好啊~	1	{}			{}	{}					3002039		1								4	{}		1								5	{}											{}															{}																{}	{}					{}	{}		{}		
3002039	3002	7	{}		100		 	1	{}			{}	{}					3002041				3							{}				3							{}											{}										scene/bg/bg_keting.png	-1			-1	{}												1	1			{}	{}					{}	{}		{}		
3002041	3002	7	{}		100	五河琴里	笨蛋老哥你在说什么啊！真是的！你这个变态啊！	1	{}			{}	{}					3002042		1								4	{}		1			id_normal_4					5	{}											{}															{}			modle/bust/sounds/DP_03_Kotori22.mp3	1												{}	{}					{}	{}		{}		
3002042	3002	7	{}		100	1	刚刚不是你说的可以结婚嘛……	1	{}			{}	{}					3002043		1								4	{}		1								5	{}											{}															{}																{}	{}					{}	{}		{}		
3002043	3002	7	{}		100	1	总而言之你们两个都先冷静下！	1	{}			{}	{}					3002044		1								4	{}		1								5	{}											{}															{}																{}	{}					{}	{}		{}		
3002044	3002	7	{}		100		 	1	{}			{}	{}					3002045				3							{}				3							{}											{}															{}												1	1			{}	{}					{}	{}		{}		
3002045	3002	7	{}		100	1	啊对了！真那，你现在住在哪里呢？和家人住在一起吗？	1	{}			{}	{}					3002046		10604	3							2	{}	1.2									5	{}											{}															{}																{}	{}					{}	{}		{}		
3002046	3002	7	{}		100	崇宫真那	哎呀，这……这个问题很难解释……	1	{}			{}	{}					3002047		1			id_normal_9					2	{}										5	{}											{}															{}			modle/bust/sounds/DP_03_mana16.mp3	1												{}	{}					{}	{}		{}		
3002047	3002	7	{}		100		刚刚还情绪高涨的真那突然变得吞吞吐吐。	1	{}			{}	{}					3002048		1								2	{}										5	{}											{}															{}																{}	{}					{}	{}		{}		
3002048	3002	7	{}		100	崇宫真那	一定要说的话……就是在特殊的全寄宿制公司工作吧……	1	{}			{}	{}					3002049		1			id_normal_4					2	{}										5	{}											{}															{}			modle/bust/sounds/DP_03_mana17.mp3	1												{}	{}					{}	{}		{}		
3002049	3002	7	{}		100	1	工作？真那已经在工作了吗……但是看起来，真那应该和琴里差不多大，不用上学吗？	1	{}			{}	{}					3002050		1								2	{}										5	{}											{}															{}																{}	{}					{}	{}		{}		
3002050	3002	7	{}		100		真那的视线四处游移，看起来有点窘迫。	1	{}			{}	{}					3002051		1								2	{}										5	{}											{}															{}																{}	{}					{}	{}		{}		
3002051	3002	7	{}		100	崇宫真那	那个……就是……啊下次再说吧！我先告辞了，改日再来拜访！	1	{}			{}	{}					3002052		1			id_normal_12					2	{}										5	{}											{}															{}			modle/bust/sounds/DP_03_mana18.mp3	1												{}	{}					{}	{}		{}		
3002052	3002	7	{}		100		 	1	{}			{}	{}					3002053				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
3002053	3002	7	{}		100		说完后，真那不顾我的制止，一溜烟逃跑了。	1	{}			{}	{}					3002054											{}											{}											{}															{}						sound/dating_sound/dating_002.mp3										{}	{}					{}	{}		{}		
3002054	3002	7	{}		100		 	1	{}			{}	{}					3002055											{}											{}											{}										scene/bg/bg_jiaoshi.png	1		1.75	-1	{"x":0,"y":-240}												1	1			{}	{}					{}	{}		{}		
3002055	3002	7	{}		100	1	呼啊~~因为真那的关系，昨晚都没有怎么睡好，好困……	1	{}			{}	{}					3002056											{}											{}											{}															{}	sound/bgm/date_008.mp3	70														{}	{}					{}	{}		{}		
3002056	3002	7	{}		100	冈峰珠惠	嗯……今天上课点名的结果就是，只有狂三同学缺席……么……	1	{}			{}	{}					3002057											{}											{}											{}															{}			modle/bust/sounds/DP_03_Tamae6.mp3	1												{}	{}					{}	{}		{}		
3002057	3002	7	{}		100	冈峰珠惠	刚转来学校第二天就迟到，不要紧吧？会不会出了什么事情呢……	1	{}			{}	{}					3002058											{}											{}											{}															{}			modle/bust/sounds/DP_03_Tamae7.mp3	1												{}	{}					{}	{}		{}		
3002058	3002	7	{}		100		 	1	{}			{}	{}					3002059											{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
3002059	3002	7	{}		100		 	1	{}			{}	{}					3002060											{}											{}											{}										scene/bg/bg_jiaoshi.png	1		1.3	-1	{"x":0,"y":0}												1	1			{}	{}					{}	{}		{}		
3002060	3002	7	{}		100	鸢一折纸	不会再来学校了。	1	{}			{}	{}					3002061		10204	3		id_favor1_2					2	{}	1.2										{}											{}															{}	sound/bgm/date_014.mp3	70	modle/bust/sounds/DP_03_Tobiichi2.mp3	1												{}	{}					{}	{}		{}		
3002061	3002	7	{}		100	1	哎？	1	{}			{}	{}					3002062		1									{}											{}											{}															{}						sound/dating_sound/dating_005.mp3										{}	{}					{}	{}		{}		
3002062	3002	7	{}		100	鸢一折纸	时崎狂三，已经，不会再来学校了。	1	{}			{}	{}					3002063		1			id_favor2_1						{}											{}											{}															{}			modle/bust/sounds/DP_03_Tobiichi3.mp3	1												{}	{}					{}	{}		{}		
3002063	3002	7	{}		100	1	这是什么意思？	1	{}			{}	{}					3002064		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002064	3002	7	{}		100		面对我的追问，折纸并没有开口回应。	1	{}			{}	{}					3002065		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002065	3002	7	{}		100		只是她的视线比往常更加冰冷。	1	{}			{}	{}					3002066		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002066	3002	7	{}		100		 	1	{}			{}	{}					3002067				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
3002067	3002	7	{}		100		 	1	{}			{}	{}					3002068											{}											{}											{}										scene/bg/bg_jiaoshi.png	1		1.75	-1	{"x":-426,"y":0}												1	1			{}	{}					{}	{}		{}		
3002068	3002	7	{}		100	时崎狂三	啊啦~真是对不起，因为上学途中，忽然觉得有些不舒服，所以迟到了呢。	1	{}			{}	{}					3002069		10404	3		id_pose_2		id_look_8			2	{}	1.2										{}											{}															{}	sound/bgm/date_008.mp3	70	modle/bust/sounds/DP_03_Kurumi33.mp3	1												{}	{}					{}	{}		{}		
3002069	3002	7	{}		100	冈峰珠惠	诶？没事吧？要不要去保健室？	1	{}			{}	{}					3002070		1									{}											{}											{}															{}			modle/bust/sounds/DP_03_Tamae8.mp3	1												{}	{}					{}	{}		{}		
3002070	3002	7	{}		100	时崎狂三	不，已经没事了。不好意思，让您担心了。	1	{}			{}	{}					3002071		1			id_pose_2		id_look_6				{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi34.mp3	1												{}	{}					{}	{}		{}		
3002071	3002	7	{}		100		 	1	{}			{}	{}					3002072				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
3002072	3002	7	{}		100		 	1	{}			{}	{}					3002073											{}											{}											{}										scene/bg/bg_jiaoshi.png	1		1.3	-1	{"x":0,"y":0}												1	1			{}	{}					{}	{}		{}		
3002073	3002	7	{}		100	1	什么嘛，不是有好好来学校嘛……折纸？	1	{}			{}	{}					3002074											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002074	3002	7	{}		100	鸢一折纸	怎么可能？……	1	{}			{}	{}					3002075		10204	3		id_normal_2					2	{}	1.2										{}											{}															{}			modle/bust/sounds/DP_03_Tobiichi4.mp3	1												{}	{}					{}	{}		{}		
3002075	3002	7	{}		100	1	……折纸？你去做什么？	1	{}			{}	{}					3002076		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002076	3002	7	{}		100		 	1	{}			{}	{}					3002077				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
3002077	3002	7	{}		100		没有理会我，折纸转身出了教室。	1	{}			{}	{}					3002078											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002078	3002	7	{}		100	1	她看起来情绪不太对……还是出去看看吧。	1	{}			{}	{}					3002079											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002079	3002	7	{}		100		 	1	{}			{}	{}					3002080											{}											{}											{}										scene/bg/bg_xuexiaozoulang.png	1		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
3002080	3002	7	{}		100		我在走廊里寻找折纸，耳麦里突然传来琴里的命令。	1	{}			{}	{}					3002081											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002081	3002	7	{}		100	五河琴里	放学后立刻回Fraxinus，有[重要]的东西给你看。	1	{}			{}	{}					3002082											{}											{}											{}				effect/dianhua/dianhua	dianhua										{}			modle/bust/sounds/DP_03_Kotori23.mp3													{}	{}					{}	{}		{}		
3002082	3002	7	{}		100		琴里的语气很严肃，我也下意识紧张了起来。	1	{}			{}	{}					3002083											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002083	3002	7	{}		100	1	嗯，我知道了。	1	{}			{}	{}					3002084											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002084	3002	7	{}		100		 	1	{}			{}	{}					3002085											{}											{}											{}										scene/bg/bg_zhihuibu.png	1		1.3	-1	{}						sound/dating_sound/dating_024.mp3						1	1			{}	{}					{}	{}		{}		
3002085	3002	7	{}		100	1	琴里，我来了……要看的东西是什么？	1	{}			{}	{}					3002086											{}											{}											{}															{}	sound/bgm/date_014.mp3	70														{}	{}					{}	{}		{}		
3002086	3002	7	{}		100		 	1	{}			{}	{}					3002087											{}											{}											{}															{}												1	1			{}	{}		video/cg_kuangsanbeisha.mp4			{}	{}		{}		
3002087	3002	7	{}		100	1	……这是狂三？	1	{}			{}	{}					3002088											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002088	3002	7	{}		100	五河琴里	对，如你所见，昨天傍晚和你分开后，狂三被AST杀死了。	1	{}			{}	{}					3002089		10505	3		id_pose_10		id_look_10			2	{}	1.2										{}											{}															{}			modle/bust/sounds/DP_03_Kotori24.mp3	1												{}	{}					{}	{}		{}		
3002089	3002	7	{}		100	五河琴里	但是她早上完好无损地回到学校，非常诡异，我们必须采取对策才行。	1	{}			{}	{}				1	3002090-3002091-3002092		1			id_normal_1						{}											{}											{}															{}			modle/bust/sounds/DP_03_Kotori25.mp3	1												{}	{}					{}	{}		{}		
3002090	3002	7	{}		100		那么……就由我去和她约会，查明真相！	1	{}			{}	{}					3002094		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002091	3002	7	{}		100		不能再这样下去了，我要拯救她！	1	{}			{}	{}					3002094		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002092	3002	7	{}		100		太可怕了……这一切，到底是怎么回事啊？	1	{}			{}	{}					3002096		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002093	3002	7	{}		100	五河琴里	最好的办法，是让她迷恋上你。	1	{}			{}	{}					3002094		1			id_favor3_4						{}											{}											{}															{}			modle/bust/sounds/DP_03_Kotori26.mp3	1												{}	{}					{}	{}		{}		
3002094	3002	7	{}		100	五河琴里	一定要小心，狂三这家伙一点也不好对付啊。	1	{}			{}	{}					3002095		1			id_pose_5		id_look_11				{}											{}											{}															{}			modle/bust/sounds/DP_03_Kotori27.mp3	1												{}	{}					{}	{}		{}		
3002095	3002	7	{}		100	1	我知道的。	1	{}			{}	{}					3002096		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002096	3002	7	{}		100	五河琴里	必须得调查清楚她的秘密才行，你知道应该怎么做吧？	1	{}			{}	{}					3002097		1			id_pose_2		id_look_10				{}											{}											{}															{}			modle/bust/sounds/DP_03_Kotori28.mp3	1												{}	{}					{}	{}		{}		
3002097	3002	7	{}		100	1	明白！去约会吧！	1	{}			{}	{}					3002098		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002098	3002	7	{}		100		 	1	{}			{}	{}					3002099				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
3002099	3002	7	{}		100		 	1	{}			{}	{}					3002100											{}											{}											{}										scene/bg/bg_black.png	2		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
3002100	3002	7	{}		100		 	1	{}			{}	{}					3002101											{}											{}											{}										scene/bg/bg_jiaoshi.png	1		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
3002101	3002	7	{}		100	1	那个，狂三，明天你有时间吗？我想带你去参观市中心。	1	{}			{}	{}					3002102		10404	3		id_pose_6		id_look_4			2	{}	1.2										{}											{}															{}	sound/bgm/date_018.mp3	70														{}	{}					{}	{}		{}		
3002102	3002	7	{}		100	时崎狂三	明天吗？这是……在邀请我约会？	1	{}			{}	{}				1	3002103-3002104-3002105		1			id_pose_11		id_look_4				{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi35.mp3	1												{}	{}					{}	{}		{}		
3002103	3002	7	{}		100		是的！我想和狂三约会！	1	{}			{}	{}					3002106		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002104	3002	7	{}		100		也可以这么说吧，怎么样？	1	{}			{}	{}					3002107		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002105	3002	7	{}		100		只是想带你逛逛，方便一起吗？	1	{}			{}	{}					3002107		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002106	3002	7	{}		100	时崎狂三	呵呵~我也很期待呢，和你一起的约会。	1	{}			{}	{}					3002108		1			id_pose_8		id_look_1				{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi36.mp3	1												{}	{}					{}	{}		{}		
3002107	3002	7	{}		100	时崎狂三	当然好啊，我倍感荣幸。	1	{}			{}	{}					3002108		1			id_pose_6		id_look_4				{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi37.mp3	1												{}	{}					{}	{}		{}		
3002108	3002	7	{}		100	1	那么我们明天早上10点车站广场见。	1	{}			{}	{}					3002109		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002109	3002	7	{}		100	时崎狂三	可以哦，真令人期待啊。	1	{}			{}	{}					3002110		1			id_pose_11		id_look_5				{}											{}											{}															{}			modle/bust/sounds/DP_03_Kurumi38.mp3	1												{}	{}					{}	{}		{}		
3002110	3002	7	{}		100	1	那就这么说定了！	1	{}			{}	{}					3002111		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002111	3002	7	{}		100		 	1	{}			{}	{}					3002112				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
3002112	3002	7	{}		100		 	1	{}			{}	{}					3002113											{}											{}											{}										scene/bg/bg_keting.png	1		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
3002113	3002	7	{}		100		邀请狂三约会的过程很顺利，总算暂时舒了一口气。	1	{}			{}	{}					3002114											{}											{}											{}															{}	sound/bgm/date_008.mp3	70														{}	{}					{}	{}		{}		
3002114	3002	7	{}		100		一身轻松地回到家中，却发现十香有些奇怪。	1	{}			{}	{}					3002115		10104	3		id_pose_4		id_look_3			2	{}	1.2										{}											{}															{}																{}	{}					{}	{}		{}		
3002115	3002	7	{}		100	1	十香？你怎么了?	1	{}			{}	{}					3002116		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002116	3002	7	{}		100		 	1	{}			{}	{}					3002117				3							{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002117	3002	7	{}		100		 	1	{}			{}	{}				2	3002118											{}											{}											{}										scene/bg/bg_black.png	2		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
3002118	3002	7	{}		100		 	1	{}			{}	{}					3002119											{}											{}											{}											3				{}							date_cg_64									{}	{}					{}	{}		{}		
3002119	3002	7	{}		100		十香突然四肢伏地，摆出了雌豹狩猎的姿势。	1	{}			{}	{}					3002120											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002120	3002	7	{}		100	1	哎？！这这这……这是怎么回事啊？	1	{}			{}	{}					3002121											{}											{}											{}															{}						sound/dating_sound/dating_005.mp3										{}	{}					{}	{}		{}		
3002121	3002	7	{}		100		十香嘴里叼着一张入场券，瞪大眼睛盯着我，脸颊像是煮熟的番茄一样通红。	1	{}			{}	{}					3002122											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002122	3002	7	{}		100	夜刀神十香	唔……明天可以陪我去水族馆吗？	1	{}			{}	{}				1	3002123-3002124-3002125	6-暂时删去多选										{}											{}											{}															{}			modle/bust/sounds/DP_03_Tohka2.mp3	1												{}	{}					{}	{}		{}		
3002123	3002	7	{}		100		可以！没问题！	1	{}			{}	{}					3002131											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002124	3002	7	{}		100		……你、你先站起来再说！	1	{}			{}	{}					3002128											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002125	3002	7	{}		100		好啊好啊~一起约会吧！	1	{}			{}	{}					3002131											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002126	3002	7	{}		100		十香你……你先起来我们再商量。	1	{}			{}	{}					3002129											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002127	3002	7	{}		100		抱歉，我明天有事啊……	1	{}			{}	{}					3002129											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002128	3002	7	{}		100	夜刀神十香	不行不行！不答应就不起来！明天一起约会嘛~	1	{}			{}	{}					3002130											{}											{}											{}															{}			modle/bust/sounds/DP_03_Tohka3.mp3	1		sound/dating_sound/FB_eff11.mp3										{}	{}					{}	{}		{}		
3002129	3002	7	{}		100	夜刀神十香	不行不行！明天一定要和我约会啊，约会嘛~好久没去约会了。	1	{}			{}	{}					3002130											{}											{}											{}															{}			modle/bust/sounds/DP_03_Tohka4.mp3	1		sound/dating_sound/FB_eff11.mp3										{}	{}					{}	{}		{}		
3002130	3002	7	{}		100	1	哎……真是拿你没办法。好吧，明天带你去水族馆，但你得先好好站起来才行哦。	1	{}			{}	{}					3002131											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002131	3002	7	{}		100		 	1	{}			{}	{}					3002132											{}											{}											{}										scene/bg/bg_keting.png	-1			-1	{}												1	1			{}	{}					{}	{}		{}		
3002132	3002	7	{}		100	夜刀神十香	耶耶耶！那说好咯，明天10点车站广场见哦。约会~约会~约会啊~	1	{}			{}	{}					3002133		10104	3		id_normal_6		0			2	{}	1.2										{}											{}															{}			modle/bust/sounds/DP_03_Tohka5.mp3	1		sound/dating_sound/FB_eff06.mp3										{}	{}					{}	{}		{}		
3002133	3002	7	{}		100		留下这句话后，十香迅速撤离了客厅。	1	{}			{}	{}					3002134		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002134	3002	7	{}		100		 	1	{}			{}	{}					3002135				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
3002135	3002	7	{}		100		然而我的噩梦还没有结束……	1	{}			{}	{}					3002136											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002136	3002	7	{}		100	鸢一折纸	明天放假，不能让你单独一人。上午十一点，车站广场前等你。	1	{}			{}	{}					3002137											{}											{}											{}				effect/dianhua2/dianhua2	dianhua										{}			modle/bust/sounds/DP_03_Tobiichi5.mp3	1												{}	{}					{}	{}		{}		
3002137	3002	7	{}		100	1	什么？！折纸，你说什么？明天？！等等！你别挂电话啊！	1	{}			{}	{}					3002138											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3002138	3002	7	{}		100		完蛋了！明天死定了……	1	{}			{}	{}				1												{}											{}											{}															{}																{"fix":{"items":[{"id":500001,"min":105,"max":105},{"id":500005,"min":8,"max":8},{"id":500027,"min":5,"max":5},{"id":510309,"min":1,"max":1},{"id":510101,"min":1,"max":1},{"id":510151,"min":1,"max":1}]}}	{}					{}	{}		{}		
																																																																																													
3009001	3009	7	{}		100		 	1	{}			{}	{}					3009002											{}											{}											{}										scene/bg/bg_black.png	2		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
3009002	3009	7	{}		100		真那再次杀死了狂三……而这次，是我亲眼所见。	1	{}			{}	{}					3009003											{}											{}											{}															{}	sound/bgm/date_016.mp3	70														{}	{}					{}	{}		{}		
3009003	3009	7	{}		100		 	1	{}			{}	{}					3009004											{}											{}											{}										scene/bg/bg_gongyuan.png	1		1.75	-1	{"x":426,"y":0}												1	1			{}	{}					{}	{}		{}		
3009004	3009	7	{}		100		我无力地瘫坐在公园长椅上，大脑基本处于无法思考的停滞状态。	1	{}			{}	{}					3009005											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009005	3009	7	{}		100		只有过度嘶吼的喉咙，用痛感留住了我的一丝清明。	1	{}			{}	{}					3009006											{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009006	3009	7	{}		100	夜刀神十香	呜，终于找到你了！刚刚怎么又突然不见了！	1	{}			{}	{}					3009007		10107	3		id_pose_12		id_look_2			2	{}	1.2										{}											{}															{}			modle/bust/sounds/DP_03_Tohka28.mp3	1												{}	{}					{}	{}		{}		
3009007	3009	7	{}		100	夜刀神十香	哎……？怎么了？脸色看起来好差的样子，发生什么事情了吗？	1	{}			{}	{}				1	3009010-3009008-3009009		1									{}											{}											{}															{}			modle/bust/sounds/DP_03_Tohka29.mp3	1												{}	{}					{}	{}		{}		
3009008	3009	7	{}		100		我……唔，我没事。	1	{}			{}	{}					3009012		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009009	3009	7	{}		100		我看到……真那杀死了狂三。	1	{}			{}	{}					3009011		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009010	3009	7	{}		100		我只是受了一些伤，抱歉……让你担心了。	1	{}			{}	{}					3009012		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009011	3009	7	{}		100	夜刀神十香	什么？！真那？是你的妹妹——真那吗？她杀死了狂三……不会吧！狂三不是精灵吗？！	1	{}			{}	{}					3009013		1			id_normal_2		0				{}											{}											{}															{}			modle/bust/sounds/DP_03_Tohka30.mp3	1												{}	{}					{}	{}		{}		
3009012	3009	7	{}		100	夜刀神十香	呜……你的手在流血？疼吗……	1	{}			{}	{}					3009013		1			id_pose_12		id_look_2				{}											{}											{}															{}			modle/bust/sounds/DP_03_Tohka31.mp3	1												{}	{}					{}	{}		{}		
3009013	3009	7	{}		100	1	十香……抱歉啊，我想一个人冷静一会儿。	1	{}			{}	{}					3009014		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009014	3009	7	{}		100		 	1	{}			{}	{}					3009015				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
3009015	3009	7	{}		100		 	1	{}			{}	{}					3009016											{}											{}											{}										scene/bg/bg_black.png	2		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
3009016	3009	7	{}		100		身体被一种奇怪的漂浮物质所包围，反应过来的时候，我已经在Fraxinus了。	1	{}			{}	{}					3009017											{}											{}											{}															{}						sound/dating_sound/dating_024.mp3										{}	{}					{}	{}		{}		
3009017	3009	7	{}		100		 	1	{}			{}	{}					3009018											{}											{}											{}										scene/bg/bg_zhihuibu.png	1		1.3	-1	{"x":0,"y":0}												1	1			{}	{}					{}	{}		{}		
3009018	3009	7	{}		100	五河琴里	幸好……你平安无事。	1	{}			{}	{}					3009019		10505	3		id_pose_5		id_look_2			2	{}	1.2										{}											{}															{}			modle/bust/sounds/DP_03_Kotori38.mp3	1												{}	{}					{}	{}		{}		
3009019	3009	7	{}		100	1	琴里……我做不到，我真……不可能的，我没办法——拯救狂三。	1	{}			{}	{}					3009020		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009020	3009	7	{}		100		低沉嘶哑的声音……啊，这是我发出来的声音吗？	1	{}			{}	{}					3009021		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009021	3009	7	{}		100		作为回应的，是琴里坚定的回答。	1	{}			{}	{}					3009022		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009022	3009	7	{}		100	五河琴里	不要因为这些挫折就退缩，如果你放弃，狂三会杀死更多人！	1	{}			{}	{}					3009023		1			id_normal_1						{}											{}											{}															{}			modle/bust/sounds/DP_03_Kotori39.mp3	1												{}	{}					{}	{}		{}		
3009023	3009	7	{}		100	1	……先让我冷静一会儿吧。	1	{}			{}	{}					3009024		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009024	3009	7	{}		100		 	1	{}			{}	{}					3009025				3							{}											{}											{}															{}												1	1			{}	{}					{}	{}		{}		
3009025	3009	7	{}		100		 	1	{}			{}	{}					3009026											{}											{}											{}										scene/bg/bg_shidaowoshi.png	1		1.3	-1	{}												1	1			{}	{}					{}	{}		{}		
3009026	3009	7	{}		100		浑浑噩噩地回到家中，脑海中挥之不去的是狂三死前的惨状。	1	{}			{}	{}					3009027											{}											{}											{}															{}						sound/dating_sound/dating_008.mp3										{}	{}					{}	{}		{}		
3009027	3009	7	{}		100	夜刀神十香	我可以……在你这里待一会儿吗？	1	{}			{}	{}					3009028		10104	3		id_pose_10		id_look_2			2	{}	1.2										{}											{}															{}			modle/bust/sounds/DP_03_Tohka32.mp3	1												{}	{}					{}	{}		{}		
3009028	3009	7	{}		100	1	十香……嗯，陪我一会儿吧。	1	{}			{}	{}					3009029		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009029	3009	7	{}		100	夜刀神十香	令音已经把事情都告诉我了，狂三她……其实和我一样啊。	1	{}			{}	{}					3009030		1			id_pose_12		id_look_2				{}											{}											{}															{}			modle/bust/sounds/DP_03_Tohka33.mp3	1												{}	{}					{}	{}		{}		
3009030	3009	7	{}		100	1	嗯？怎么会这么说？	1	{}			{}	{}					3009031		1									{}											{}											{}															{}																{}	{}					{}	{}		{}		
3009031	3009	7	{}		100	夜刀神十香	我身边有你陪伴着，但是狂三却是孤身一人。	1	{}			{}	{}					3009032		1			id_favor3_3		0				{}											{}											{}															{}			modle/bust/sounds/DP_03_Tohka34.mp3	1												{}	{}					{}	{}		{}		
