ID	节点类型(1.条件类型节点，2.行为类型节点，3.条件节点，4.行为节点，5.根节点)	节点描述	子节点	循环时间间隔	条件节点优先级	触发条件具体类型	触发条件并且关系	触发条件参数	行为类型节点	行为权重	脚本名	是否可以打断
5050311	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5050312	2	行为并且关系	5050313				1					
5050313	4	释放闪避技能						[420640,220,[-600,-10,1200,200]]		100	act_useSkill	
												
5050333	1	条件类型节点：1S循环	5050334	70000	5				5050335			0
5050334	3	判断条件：与敌人的距离				1		[70000]				
5050335	2	行为并且关系	5050336				1					
5050336	4	释放闪避技能						[420630,100,[-300,-20,600,40]]		100	act_useSkill	
												
												
5050329	1	条件类型节点：1S循环	5050330	0	1				5050331			0
5050330	3	判断条件：进入战斗时间				1		[0]				
5050331	2	行为并且关系	5050332				1					
5050332	4	释放技能								100	act_patrol	
												
												
5050401	5	根节点	5050402-5050406-5050429-5050433									
												
5050402	1	条件类型节点：1S循环	5050403	3000	2				5050404			0
5050403	3	判断条件：进入战斗时间				1		[0]				
5050404	2	行为并且关系	5050405-5050437				0					
5050405	4	释放技能						[430690,50,[-160,-50,320,100]]		100	act_useSkill	
5050437	4	释放技能						[430610,50,[-160,-50,320,100]]		100	act_useSkill	
												
5050406	1	条件类型节点：1S循环	5050407	15000	3				5050408			0
5050407	3	判断条件：进入战斗时间				4		[15000]				
5050408	2	行为并且关系	5050409-5050438				0					
5050409	4	释放技能						[430620,100,[-500,-50,1000,100]]		100	act_useSkill	
5050438	4	释放技能						[430700,50,[-160,-50,320,100]]		100	act_useSkill	
												
5050410	1	条件类型节点：1S循环	5050411	1000	4				5050412			0
5050411	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5050412	2	行为并且关系	5050413				1					
5050413	4	释放闪避技能						[430640,220,[-600,-10,1200,200]]		100	act_useSkill	
												
5050433	1	条件类型节点：1S循环	5050434	70000	5				5050435			0
5050434	3	判断条件：与敌人的距离				1		[70000]				
5050435	2	行为并且关系	5050436				1					
5050436	4	释放闪避技能						[430630,100,[-300,-20,600,40]]		100	act_useSkill	
												
												
5050429	1	条件类型节点：1S循环	5050430	0	1				5050431			0
5050430	3	判断条件：进入战斗时间				1		[0]				
5050431	2	行为并且关系	5050432				1					
5050432	4	释放技能								100	act_patrol	
												
												
5070101	5	根节点	5070102-5070106-5070129									
			\									
5070102	1	条件类型节点：1S循环	5070103	2500	2				5070104			0
5070103	3	判断条件：进入战斗时间				1		[0]				
5070104	2	行为并且关系	5070105-5070134				0					
5070105	4	释放技能						[400780,50,[-200,-20,400,40]]		7	act_useSkill	
5070134	4	释放技能						[400710,50,[-200,-20,400,40]]		4	act_useSkill	
												
5070106	1	条件类型节点：1S循环	5070107	15000	3				5070108			0
5070107	3	判断条件：进入战斗时间				1		[15000]				
5070108	2	行为并且关系	5070109-5070133				0					
5070109	4	释放技能						[400720,100,[-300,-20,600,40]]		6	act_useSkill	
5070133	4	释放技能						[400790,50,[-200,-20,400,40]]		4	act_useSkill	
												
												
5070110	1	条件类型节点：1S循环	5070111	5000	4				5070112			0
5070111	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5070112	2	行为并且关系	5070113				1					
5070113	4	释放闪避技能						[400740,220,[-600,-100,1200,200]]		100	act_useSkill	
												
5070129	1	条件类型节点：1S循环	5070130	0	1				5070131			0
5070130	3	判断条件：进入战斗时间				1		[0]				
5070131	2	行为并且关系	5070132				1					
5070132	4	释放技能								100	act_patrol	
												
												
5070201	5	根节点	5070202-5070206-5070229									
												
5070202	1	条件类型节点：1S循环	5070203	2500	2				5070204			0
5070203	3	判断条件：进入战斗时间				1		[0]				
5070204	2	行为并且关系	5070205-5070233				0					
5070205	4	释放技能						[410780,50,[-200,-20,400,40]]		7	act_useSkill	
5070233	4	释放技能						[410710,50,[-200,-20,400,40]]		4	act_useSkill	
												
5070206	1	条件类型节点：1S循环	5070207	15000	3				5070208			0
5070207	3	判断条件：进入战斗时间				1		[15000]				
5070208	2	行为并且关系	5070209-5070234				0					
5070209	4	释放技能						[410720,100,[-300,-20,600,40]]		6	act_useSkill	
5070234	4	释放技能						[410790,50,[-200,-20,400,40]]		4	act_useSkill	
												
5070210	1	条件类型节点：1S循环	5070211	5000	4				5070212			0
5070211	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5070212	2	行为并且关系	5070213				1					
5070213	4	释放闪避技能						[410740,220,[-600,-100,1200,200]]		100	act_useSkill	
												
5070229	1	条件类型节点：1S循环	5070230	0	1				5070231			0
5070230	3	判断条件：进入战斗时间				1		[0]				
5070231	2	行为并且关系	5070232				1					
5070232	4	释放技能								100	act_patrol	
												
												
5070301	5	根节点	5070302-5070306-5070329-5070333									
												
5070302	1	条件类型节点：1S循环	5070303	2500	2				5070304			0
5070303	3	判断条件：进入战斗时间				1		[0]				
5070304	2	行为并且关系	5070305-5070337				0					
5070305	4	释放技能						[420780,50,[-200,-20,400,40]]		7	act_useSkill	
5070337	4	释放技能						[420710,50,[-200,-20,400,40]]		4	act_useSkill	
												
5070306	1	条件类型节点：1S循环	5070307	15000	3				5070308			0
5070307	3	判断条件：进入战斗时间				1		[15000]				
5070308	2	行为并且关系	5070309-5070338				0					
5070309	4	释放技能						[420720,100,[-300,-20,600,40]]		6	act_useSkill	
5070338	4	释放技能						[420790,50,[-200,-20,400,40]]		4	act_useSkill	
												
5070310	1	条件类型节点：1S循环	5070311	5000	4				5070312			0
5070311	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5070312	2	行为并且关系	5070313				1					
5070313	4	释放闪避技能						[420740,220,[-600,-100,1200,200]]		100	act_useSkill	
												
5070333	1	条件类型节点：1S循环	5070334	70000	5				5070335			0
5070334	3	判断条件：与敌人的距离				1		[70000]				
5070335	2	行为并且关系	5070336				1					
5070336	4	释放闪避技能						[420730,100,[-300,-20,600,40]]		100	act_useSkill	
												
												
5070329	1	条件类型节点：1S循环	5070330	0	1				5070331			0
5070330	3	判断条件：进入战斗时间				1		[0]				
5070331	2	行为并且关系	5070332				1					
5070332	4	释放技能								100	act_patrol	
												
												
5070401	5	根节点	5070402-5070406-5070429-5070433									
												
5070402	1	条件类型节点：1S循环	5070403	2500	2				5070404			0
5070403	3	判断条件：进入战斗时间				1		[0]				
5070404	2	行为并且关系	5070405-5070436				0					
5070405	4	释放技能						[430780,50,[-200,-20,400,40]]		7	act_useSkill	
5070436	4	释放技能						[430710,50,[-200,-20,400,40]]		4	act_useSkill	
												
5070406	1	条件类型节点：1S循环	5070407	15000	3				5070408			0
5070407	3	判断条件：进入战斗时间				1		[15000]				
5070408	2	行为并且关系	5070409-5070437				0					
5070409	4	释放技能						[430720,100,[-300,-20,600,40]]		6	act_useSkill	
5070437	4	释放技能						[430790,50,[-200,-20,400,40]]		4	act_useSkill	
												
5070410	1	条件类型节点：1S循环	5070411	5000	4				5070412			0
5070411	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5070412	2	行为并且关系	5070413				1					
5070413	4	释放闪避技能						[430740,220,[-600,-100,1200,200]]		100	act_useSkill	
												
5070433	1	条件类型节点：1S循环	5070434	70000	5				5070435			0
5070434	3	判断条件：与敌人的距离				1		[70000]				
5070435	2	行为并且关系	5070436				1					
5070436	4	释放闪避技能						[430730,100,[-300,-20,600,40]]		100	act_useSkill	
												
												
5070429	1	条件类型节点：1S循环	5070430	0	1				5070431			0
5070430	3	判断条件：进入战斗时间				1		[0]				
5070431	2	行为并且关系	5070432				1					
5070432	4	释放技能								100	act_patrol	
												
												
												
												
6500001	5	根节点	6500002-6500006-6500010-6500033									
												
6500002	1	条件类型节点：1S循环	6500003	0	2				6500004			0
6500003	3	判断条件：进入战斗时间				1		[0]				
6500004	2	行为并且关系	6500005-6500037				0					
6500005	4	释放技能						[430810,150,[-200,-20,400,40]]		7	act_useSkill	
6500037	4	释放技能						[430860,150,[-200,-20,400,40]]		4	act_useSkill	
												
6500006	1	条件类型节点：1S循环	6500007	15000	3				6500008			0
6500007	3	判断条件：进入战斗时间				1		[15000]				
6500008	2	行为并且关系	6500009-6500038				0					
6500009	4	释放技能						[430820,150,[-300,-20,600,40]]		6	act_useSkill	
6500038	4	释放技能						[430870,150,[-200,-20,400,40]]		4	act_useSkill	
												
6500010	1	条件类型节点：1S循环	6500011	5000	4				6500012			0
6500011	3	判断条件：与敌人的距离				5		[220,600,1,200]				
6500012	2	行为并且关系	6500013				1					
6500013	4	释放闪避技能						[430840,220,[-600,-100,1200,200]]		100	act_useSkill	
												
6500033	1	条件类型节点：1S循环	6500034	70000	5				6500035			0
6500034	3	判断条件：与敌人的距离				1		[70000]				
6500035	2	行为并且关系	6500036				1					
6500036	4	释放闪避技能						[430830,100,[-300,-20,600,40]]		100	act_useSkill	
												
6500029	1	条件类型节点：1S循环	6500030	0	1				6500031			0
6500030	3	判断条件：进入战斗时间				1		[0]				
6500031	2	行为并且关系	6500032				1					
6500032	4	释放技能								100	act_patrol	
												
												
5070501	5	根节点	5070502-5070506-5070533-5070510									
												
5070502	1	条件类型节点：1S循环	5070503	0	2				5070504			0
5070503	3	判断条件：进入战斗时间				1		[0]				
5070504	2	行为并且关系	5070505-5070536				0					
5070505	4	释放技能						[440780,50,[-200,-20,400,40]]		7	act_useSkill	
5070536	4	释放技能						[440710,50,[-200,-20,400,40]]		4	act_useSkill	
												
5070506	1	条件类型节点：1S循环	5070507	15000	3				5070508			0
5070507	3	判断条件：进入战斗时间				1		[15000]				
5070508	2	行为并且关系	5070509-5070537				0					
5070509	4	释放技能						[440720,100,[-300,-20,600,40]]		6	act_useSkill	
5070537	4	释放技能						[440790,50,[-200,-20,400,40]]		4	act_useSkill	
												
5070510	1	条件类型节点：1S循环	5070511	5000	4				5070512			0
5070511	3	判断条件：与敌人的距离				5		[220,600,1,200]				
5070512	2	行为并且关系	5070513				1					
5070513	4	释放闪避技能						[440740,220,[-600,-100,1200,200]]		100	act_useSkill	
												
5070533	1	条件类型节点：1S循环	5070534	70000	5				5070535			0
5070534	3	判断条件：与敌人的距离				1		[70000]				
5070535	2	行为并且关系	5070536				1					
5070536	4	释放闪避技能						[440730,100,[-300,-20,600,40]]		100	act_useSkill	
												
												
5070529	1	条件类型节点：1S循环	5070530	0	1				5070531			0
5070530	3	判断条件：进入战斗时间				1		[0]				
5070531	2	行为并且关系	5070532				1					
5070532	4	释放技能								100	act_patrol	
												
												
												
												
												
												
												
												
4000201	5	根节点	4000202									
												0
4000202	1	条件类型节点：1S循环	4000203	10000	2				4000204			0
4000203	3	判断条件：进入战斗时间				1		[0]				
4000204	2	行为并且关系	4000205				1					
4000205	4	释放技能						[320060]		100	act_directUseSkill	
												
4000206	1	条件类型节点：1S循环	4000207	10000	1				4000208			0
4000207	3	判断条件：进入战斗时间				1		[14000]				
4000208	2	行为并且关系	4000209				1					
4000209	4	释放技能						[320070]		100	act_directUseSkill	
												
												
												
												
												
												
												
400101	5	根节点	400102-400106-400110-400114-400715-400720-400725-400730-410715-410720-410725-410730-411715-411720-411725-411730-421715-421720-421725-421730									
												
400102	1	条件类型节点：1S循环	400103	6000	1				400104			0
400103	3	判断条件：进入战斗时间				1		[7000]				
400104	2	行为并且关系	400105				1					
400105	4	释放技能						[320020]		100	act_directUseSkill	
												
400106	1	条件类型节点：1S循环	400107	6000	1				400108			0
400107	3	判断条件：进入战斗时间				1		[13450]				
400108	2	行为并且关系	400109				1					
400109	4	释放技能						[320010]		100	act_directUseSkill	
												
400110	1	条件类型节点：1S循环	400111	20000	2				400112			0
400111	3	判断条件：与敌人的距离				1		[20000]				
400112	2	行为并且关系	400113				1					
400113	4	释放闪避技能						[320030]		100	act_directUseSkill	
												
												
400114	1	条件类型节点：1S循环	400115	25000	3				400116			0
400115	3	判断条件：与敌人的距离				1		[26000]				
400116	2	行为并且关系	400117				1					
400117	4	释放闪避技能						[320040]		100	act_directUseSkill	
												
												
400118	1	条件类型节点：1S循环	400119	10000	4				400120			0
400119	3	判断条件：进入战斗时间				4		[5000]				
400120	2	行为并且关系	400121				1					
400121	4	释放技能						[320010]		100	act_directUseSkill	
												
400123	1	条件类型节点：1S循环	400124	10000	4				400125			0
400124	3	判断条件：进入战斗时间				4		[5000]				
400125	2	行为并且关系	400126				1					
400126	4	释放技能						[320020]		100	act_directUseSkill	
												
400128	1	条件类型节点：1S循环	400129	15000	5				400130			0
400129	3	判断条件：与敌人的距离				4		[5000]				
400130	2	行为并且关系	400131				1					
400131	4	释放闪避技能						[320030]		100	act_directUseSkill	
												
												
400134	1	条件类型节点：1S循环	400135	20000	6				400136			0
400135	3	判断条件：与敌人的距离				4		[5000]				
400136	2	行为并且关系	400137				1					
400137	4	释放闪避技能						[320040]		100	act_directUseSkill	
												
400139	1	条件类型节点：1S循环	400140	35000	4				400141			0
400140	3	判断条件：与敌人的距离				1		[35000]				
400141	2	行为并且关系	400142-400143-400144-400145				0					
400142	4	释放闪避技能						[320050]		100	act_directUseSkill	
400143	4	释放闪避技能						[320051]		100	act_directUseSkill	
400144	4	释放闪避技能						[320052]		100	act_directUseSkill	
400145	4	释放闪避技能						[320053]		100	act_directUseSkill	
												
												
												
												
												
												
												
												
400401	5	根节点	400402-400406									
												
400402	1	条件类型节点：1S循环	400403	10000	1				400404			0
400403	3	判断条件：进入战斗时间				1		[9000]				
400404	2	行为并且关系	400405				1					
400405	4	释放技能						[320020]		100	act_directUseSkill	
												
400406	1	条件类型节点：1S循环	400407	10000	1				400408			0
400407	3	判断条件：进入战斗时间				1		[15450]				
400408	2	行为并且关系	400409				1					
400409	4	释放技能						[320010]		100	act_directUseSkill	
												
												
												
												
												
400501	5	根节点	400502-400506-400510									
												
400502	1	条件类型节点：1S循环	400503	8000	1				400504			0
400503	3	判断条件：进入战斗时间				1		[9000]				
400504	2	行为并且关系	400505				1					
400505	4	释放技能						[320020]		100	act_directUseSkill	
												
400506	1	条件类型节点：1S循环	400507	8000	1				400508			0
400507	3	判断条件：进入战斗时间				1		[15450]				
400508	2	行为并且关系	400509				1					
400509	4	释放技能						[320010]		100	act_directUseSkill	
												
400510	1	条件类型节点：1S循环	400511	30000	2				400512			0
400511	3	判断条件：与敌人的距离				1		[32000]				
400512	2	行为并且关系	400513				1					
400513	4	释放闪避技能						[320040]		100	act_directUseSkill	
												
400601	5	根节点	400602-400606-400610									
												
400602	1	条件类型节点：1S循环	400603	7000	1				400604			0
400603	3	判断条件：进入战斗时间				1		[9000]				
400604	2	行为并且关系	400605				1					
400605	4	释放技能						[320020]		100	act_directUseSkill	
												
400606	1	条件类型节点：1S循环	400607	7000	1				400608			0
400607	3	判断条件：进入战斗时间				1		[15450]				
400608	2	行为并且关系	400609				1					
400609	4	释放技能						[320010]		100	act_directUseSkill	
												
400610	1	条件类型节点：1S循环	400611	25000	2				400612			0
400611	3	判断条件：与敌人的距离				1		[32000]				
400612	2	行为并且关系	400613				1					
400613	4	释放闪避技能						[320030]		100	act_directUseSkill	
												
400701	5	根节点	400702-400706-400710-400715-400720-400725-400730-410715-410720-410725-410730-411715-411720-411725-411730-421715-421720-421725-421730									
												
400702	1	条件类型节点：1S循环	400703	7000	1				400704			0
400703	3	判断条件：进入战斗时间				1		[7000]				
400704	2	行为并且关系	400705				1					
400705	4	释放技能						[320020]		100	act_directUseSkill	
												
400706	1	条件类型节点：1S循环	400707	7000	1				400708			0
400707	3	判断条件：进入战斗时间				1		[13450]				
400708	2	行为并且关系	400709				1					
400709	4	释放技能						[320010]		100	act_directUseSkill	
												
400710	1	条件类型节点：1S循环	400711	25000	2				400712			0
400711	3	判断条件：与敌人的距离				1		[25000]				
400712	2	行为并且关系	400713-400714				0					
400713	4	释放闪避技能						[320030]		100	act_directUseSkill	
400714	4	释放闪避技能						[320040]		100	act_directUseSkill	
												
430710	1	条件类型节点：1S循环	430711	300000	4				440712			0
430711	3	判断条件：与敌人的距离				4		[8000]				
430712	2	行为并且关系	430713				1					
430713	4	释放闪避技能						[320030]		100	act_directUseSkill	
												
												
400715	1	条件类型节点：1S循环	400716	300000	4				400717			0
400716	3	判断条件：与敌人的距离				4		[8000]				
400717	2	行为并且关系	400750-400751-400752-400753				0					
400750	4	释放闪避技能						[320050]		1	act_directUseSkill	
400751	4	释放闪避技能						[320051]		1	act_directUseSkill	
400752	4	释放闪避技能						[320052]		500	act_directUseSkill	
400753	4	释放闪避技能						[320053]		500	act_directUseSkill	
												
400720	1	条件类型节点：1S循环	400721	300000	4				400722			0
400721	3	判断条件：与敌人的距离				4		[8000]				
400722	2	行为并且关系	400760-400761-400762-400763				0					
400760	4	释放闪避技能						[320080]		150	act_directUseSkill	
400761	4	释放闪避技能						[320081]		150	act_directUseSkill	
400762	4	释放闪避技能						[320082]		100	act_directUseSkill	
400763	4	释放闪避技能						[320083]		100	act_directUseSkill	
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
440710	1	条件类型节点：1S循环	440711	300000	5				440712			0
440711	3	判断条件：与敌人的距离				4		[6000]				
440712	2	行为并且关系	440713				1					
440713	4	释放闪避技能						[320030]		100	act_directUseSkill	
												
												
												
400725	1	条件类型节点：1S循环	400726	300000	4				400727			0
400726	3	判断条件：与敌人的距离				4		[8000]				
400727	2	行为并且关系	400770-400771-400772-400773				0					
400770	4	释放闪避技能						[320084]		100	act_directUseSkill	
400771	4	释放闪避技能						[320085]		100	act_directUseSkill	
400772	4	释放闪避技能						[320086]		200	act_directUseSkill	
400773	4	释放闪避技能						[320087]		200	act_directUseSkill	
												
400730	1	条件类型节点：1S循环	400731	300000	4				400732			0
400731	3	判断条件：与敌人的距离				4		[8000]				
400732	2	行为并且关系	400780-400781-400782-400783				0					
400780	4	释放闪避技能						[320088]		150	act_directUseSkill	
400781	4	释放闪避技能						[320089]		150	act_directUseSkill	
400782	4	释放闪避技能						[320090]		100	act_directUseSkill	
400783	4	释放闪避技能						[320091]		100	act_directUseSkill	
												
												
410715	1	条件类型节点：1S循环	410716	300000	5				410717			0
410716	3	判断条件：与敌人的距离				4		[6000]				
410717	2	行为并且关系	410750-410751-410752-410753				0					
410750	4	释放闪避技能						[320050]		1	act_directUseSkill	
410751	4	释放闪避技能						[320051]		1	act_directUseSkill	
410752	4	释放闪避技能						[320052]		500	act_directUseSkill	
410753	4	释放闪避技能						[320053]		500	act_directUseSkill	
												
												
410720	1	条件类型节点：1S循环	410721	300000	5				410722			0
410721	3	判断条件：与敌人的距离				4		[6000]				
410722	2	行为并且关系	410760-410761-410762-410763				0					
410760	4	释放闪避技能						[320080]		150	act_directUseSkill	
410761	4	释放闪避技能						[320081]		150	act_directUseSkill	
410762	4	释放闪避技能						[320082]		100	act_directUseSkill	
410763	4	释放闪避技能						[320083]		100	act_directUseSkill	
												
												
												
												
												
450710	1	条件类型节点：1S循环	450711	300000	6				450712			0
450711	3	判断条件：与敌人的距离				4		[4000]				
450712	2	行为并且关系	450713				1					
450713	4	释放闪避技能						[320030]		100	act_directUseSkill	
												
												
410725	1	条件类型节点：1S循环	410726	300000	5				410727			0
410726	3	判断条件：与敌人的距离				4		[6000]				
410727	2	行为并且关系	410770-410771-410772-410773				0					
410770	4	释放闪避技能						[320084]		100	act_directUseSkill	
410771	4	释放闪避技能						[320085]		100	act_directUseSkill	
410772	4	释放闪避技能						[320086]		200	act_directUseSkill	
410773	4	释放闪避技能						[320087]		200	act_directUseSkill	
												
410730	1	条件类型节点：1S循环	410731	300000	5				410732			0
410731	3	判断条件：与敌人的距离				4		[6000]				
410732	2	行为并且关系	410780-410781-410782-410783				0					
410780	4	释放闪避技能						[320088]		150	act_directUseSkill	
410781	4	释放闪避技能						[320089]		150	act_directUseSkill	
410782	4	释放闪避技能						[320090]		100	act_directUseSkill	
410783	4	释放闪避技能						[320091]		100	act_directUseSkill	
												
												
												
411715	1	条件类型节点：1S循环	411716	300000	6				411717			0
411716	3	判断条件：与敌人的距离				4		[4000]				
411717	2	行为并且关系	411750-411751-411752-411753				0					
411750	4	释放闪避技能						[320050]		1	act_directUseSkill	
411751	4	释放闪避技能						[320051]		1	act_directUseSkill	
411752	4	释放闪避技能						[320052]		500	act_directUseSkill	
411753	4	释放闪避技能						[320053]		500	act_directUseSkill	
												
411720	1	条件类型节点：1S循环	411721	300000	6				411722			0
411721	3	判断条件：与敌人的距离				4		[4000]				
411722	2	行为并且关系	411760-411761-411762-411763				0					
411760	4	释放闪避技能						[320080]		150	act_directUseSkill	
411761	4	释放闪避技能						[320081]		150	act_directUseSkill	
411762	4	释放闪避技能						[320082]		100	act_directUseSkill	
411763	4	释放闪避技能						[320083]		100	act_directUseSkill	
												
												
460710	1	条件类型节点：1S循环	460711	300000	7				460712			0
460711	3	判断条件：与敌人的距离				4		[2000]				
460712	2	行为并且关系	460713				1					
460713	4	释放闪避技能						[320030]		100	act_directUseSkill	
												
												
												
411725	1	条件类型节点：1S循环	411726	300000	6				411727			0
411726	3	判断条件：与敌人的距离				4		[4000]				
411727	2	行为并且关系	411770-411771-411772-411773				0					
411770	4	释放闪避技能						[320084]		100	act_directUseSkill	
411771	4	释放闪避技能						[320085]		100	act_directUseSkill	
411772	4	释放闪避技能						[320086]		200	act_directUseSkill	
411773	4	释放闪避技能						[320087]		200	act_directUseSkill	
												
411730	1	条件类型节点：1S循环	411731	300000	6				411732			0
411731	3	判断条件：与敌人的距离				4		[4000]				
411732	2	行为并且关系	411780-411781-411782-411783				0					
411780	4	释放闪避技能						[320088]		150	act_directUseSkill	
411781	4	释放闪避技能						[320089]		150	act_directUseSkill	
411782	4	释放闪避技能						[320090]		100	act_directUseSkill	
411783	4	释放闪避技能						[320091]		100	act_directUseSkill	
												
421715	1	条件类型节点：1S循环	421716	300000	7				421717			0
421716	3	判断条件：与敌人的距离				4		[2000]				
421717	2	行为并且关系	421750-421751-421752-421753				0					
421750	4	释放闪避技能						[320050]		1	act_directUseSkill	
421751	4	释放闪避技能						[320051]		1	act_directUseSkill	
421752	4	释放闪避技能						[320052]		500	act_directUseSkill	
421753	4	释放闪避技能						[320053]		500	act_directUseSkill	
												
421720	1	条件类型节点：1S循环	421721	300000	7				421722			0
421721	3	判断条件：与敌人的距离				4		[2000]				
421722	2	行为并且关系	421760-421761-421762-421763				0					
421760	4	释放闪避技能						[320080]		150	act_directUseSkill	
421761	4	释放闪避技能						[320081]		150	act_directUseSkill	
421762	4	释放闪避技能						[320082]		100	act_directUseSkill	
421763	4	释放闪避技能						[320083]		100	act_directUseSkill	
												
421725	1	条件类型节点：1S循环	421726	300000	7				421727			0
421726	3	判断条件：与敌人的距离				4		[2000]				
421727	2	行为并且关系	421770-421771-421772-421773				0					
421770	4	释放闪避技能						[320084]		100	act_directUseSkill	
421771	4	释放闪避技能						[320085]		100	act_directUseSkill	
421772	4	释放闪避技能						[320086]		200	act_directUseSkill	
421773	4	释放闪避技能						[320087]		200	act_directUseSkill	
												
421730	1	条件类型节点：1S循环	421731	300000	7				421732			0
421731	3	判断条件：与敌人的距离				4		[2000]				
421732	2	行为并且关系	421780-421781-421782-421783				0					
421780	4	释放闪避技能						[320088]		150	act_directUseSkill	
421781	4	释放闪避技能						[320089]		150	act_directUseSkill	
421782	4	释放闪避技能						[320090]		100	act_directUseSkill	
421783	4	释放闪避技能						[320091]		100	act_directUseSkill	
												
												
												
												
												
												
												
												
												
												
400801	5	根节点	400802-400806-400810-400715-400720-400725-400730-410715-410720-410725-410730-411715-411720-411725-411730-421715-421720-421725-421730									
												
400802	1	条件类型节点：1S循环	400803	6000	1				400804			0
400803	3	判断条件：进入战斗时间				1		[7000]				
400804	2	行为并且关系	400805				1					
400805	4	释放技能						[320020]		100	act_directUseSkill	
												
400806	1	条件类型节点：1S循环	400807	6000	1				400808			0
400807	3	判断条件：进入战斗时间				1		[13450]				
400808	2	行为并且关系	400809				1					
400809	4	释放技能						[320010]		100	act_directUseSkill	
												
400810	1	条件类型节点：1S循环	400811	25000	2				400812			0
400811	3	判断条件：与敌人的距离				1		[25000]				
400812	2	行为并且关系	400813-400814				0					
400813	4	释放闪避技能						[320030]		100	act_directUseSkill	
400814	4	释放闪避技能						[320040]		100	act_directUseSkill	
												
400815	1	条件类型节点：1S循环	400816	40000	3				400817			0
400816	3	判断条件：与敌人的距离				4		[5000]				
400817	2	行为并且关系	400818-400819				0					
400818	4	释放闪避技能						[320050]		100	act_directUseSkill	
400819	4	释放闪避技能						[320053]		100	act_directUseSkill	
												
400901	5	根节点	400902-400906-400910-400715-400720-400725-400730-410715-410720-410725-410730-411715-411720-411725-411730									
												
400902	1	条件类型节点：1S循环	400903	6000	1				400904			0
400903	3	判断条件：进入战斗时间				1		[7000]				
400904	2	行为并且关系	400905				1					
400905	4	释放技能						[320020]		100	act_directUseSkill	
												
400906	1	条件类型节点：1S循环	400907	6000	1				400908			0
400907	3	判断条件：进入战斗时间				1		[13450]				
400908	2	行为并且关系	400909				1					
400909	4	释放技能						[320010]		100	act_directUseSkill	
												
400910	1	条件类型节点：1S循环	400911	20000	2				400912			0
400911	3	判断条件：与敌人的距离				1		[21000]				
400912	2	行为并且关系	400913-400914				0					
400913	4	释放闪避技能						[320030]		100	act_directUseSkill	
400914	4	释放闪避技能						[320040]		100	act_directUseSkill	
												
400915	1	条件类型节点：1S循环	400916	40000	3				400917			0
400916	3	判断条件：与敌人的距离				4		[5000]				
400917	2	行为并且关系	400918-400919				0					
400918	4	释放闪避技能						[320051]		100	act_directUseSkill	
400919	4	释放闪避技能						[320052]		100	act_directUseSkill	
												
												
												
401001	5	根节点	401002-401006-401010-401014-400715-400720-400725-400730-410715-410720-410725-410730-411715-411720-411725-411730-421715-421720-421725-421730									
												
401002	1	条件类型节点：1S循环	401003	6000	1				401004			0
401003	3	判断条件：进入战斗时间				1		[7000]				
401004	2	行为并且关系	401005				1					
401005	4	释放技能						[320020]		100	act_directUseSkill	
												
401006	1	条件类型节点：1S循环	401007	6000	1				401008			0
401007	3	判断条件：进入战斗时间				1		[13450]				
401008	2	行为并且关系	401009				1					
401009	4	释放技能						[320010]		100	act_directUseSkill	
												
401010	1	条件类型节点：1S循环	401011	20000	2				401012			0
401011	3	判断条件：与敌人的距离				1		[20000]				
401012	2	行为并且关系	401013				1					
401013	4	释放闪避技能						[320030]		100	act_directUseSkill	
												
												
401014	1	条件类型节点：1S循环	401015	25000	3				401016			0
401015	3	判断条件：与敌人的距离				1		[26000]				
401016	2	行为并且关系	401017				1					
401017	4	释放闪避技能						[320040]		100	act_directUseSkill	
												
												
401039	1	条件类型节点：1S循环	401040	35000	4				401041			0
401040	3	判断条件：与敌人的距离				1		[35000]				
401041	2	行为并且关系	401042-401043-401044-401045				0					
401042	4	释放闪避技能						[320050]		100	act_directUseSkill	
401043	4	释放闪避技能						[320051]		100	act_directUseSkill	
401044	4	释放闪避技能						[320052]		100	act_directUseSkill	
401045	4	释放闪避技能						[320053]		100	act_directUseSkill	
												
												
												
												
111001	5	根节点	111002-111006-111010									
111002	1	条件类型节点：1S循环	111003	1500	2				111004			0
111003	3	判断条件：进入战斗时间				1		[1000]				
111004	2	行为并且关系	111005				1					
111005	4	释放技能						[200110,50,[-160,-15,320,30]]		100	act_useSkill	
												
111006	1	条件类型节点：1S循环	111007	10000	3				111008			0
111007	3	判断条件：进入战斗时间				1		[10000]				
111008	2	行为并且关系	111009-111014				0					
111009	4	释放技能						[200120,50,[-200,-15,400,30]]		800	act_useSkill	
111014	4	释放技能						[200110,50,[-160,-15,320,30]]		200	act_useSkill	
												
111010	1	条件类型节点：1S循环	111011	0	1				111012			0
111011	3	判断条件：进入战斗时间				1		[0]				
111012	2	行为并且关系	111013				1					
111013	4	巡逻								100	act_patrol	
												
121001	5	根节点	121002-121006									
121002	1	条件类型节点：1S循环	121003	0	2				121004			0
