id	对应精灵id	精灵名称	格子id	格子外形	稀有度分区	结晶外观图	格子背景	格子位置	icon	相邻格子的id	解锁条件[格子id,格子id2]	效果描述	加成效果{属性id,数值}	突破需要道具	战斗力加成
350	110601	真那	14		3			14	icon/attribute/70x70/1.png	12-15-16	[12]	生命+33	{1:3300}	{500001:10000,510208:4,510211:2,510210:2}	6
351	110601	真那	15		3			18	icon/attribute/70x70/2.png	13-14	[13,14]	攻击+12	{2:1200}	{500001:10000,510201:4,510215:2,510213:2}	6
352	110601	真那	16		3			25	icon/attribute/70x70/2.png	14-17-18	[14]	攻击+12	{2:1200}	{500001:10000,510205:4,510209:2,510212:2}	6
353	110601	真那	17		3			32	icon/attribute/70x70/11.png	16-18	[16]	暴击伤害+2.0%	{509:200}	{500001:20000,510206:4,510211:2,510210:2}	7
354	110601	真那	18		3			36	icon/attribute/70x70/3.png	16-17-19	[16]	防御+6	{3:600}	{500001:10000,510208:3,510209:3,510216:3}	7
355	110601	真那	19		4			3	icon/attribute/70x70/1.png	18-20-21	[18]	生命+33	{1:3300}	{500001:15000,510210:3,510213:3,510214:3}	6
356	110601	真那	20		4			7	icon/attribute/70x70/3.png	19-22	[19]	防御+6	{3:600}	{500001:15000,510215:3,510210:3,510211:3}	6
357	110601	真那	21		4			14	icon/attribute/70x70/2.png	19-22-23	[19]	攻击+13	{2:1300}	{500001:15000,510214:3,510211:3,510212:3}	6
358	110601	真那	22		4			18	icon/attribute/70x70/501.png	20-21-24-25	[20,21]	攻击速度+1	{6:100}	{500001:30000,510213:3,510210:3,510216:3}	6
359	110601	真那	23		4			21	icon/attribute/70x70/513.png	21-24	[21,24]	暴击伤害+2.0%	{509:200}	{500001:30000,510209:4,510212:4,510214:1}	6
360	110601	真那	24		4			25	icon/attribute/70x70/1.png	22-23-26	[22,23]	生命+40	{1:4000}	{500001:15000,510216:4,510213:4,510219:1}	6
361	110601	真那	25		4			29	icon/attribute/70x70/2.png	22-26	[22,26]	攻击+13	{2:1300}	{500001:15000,510212:4,510215:4,510224:1}	8
362	110601	真那	26		4			36	icon/attribute/70x70/3.png	24-25-27	[24,25]	防御+7	{3:700}	{500001:15000,510212:4,510211:4,510220:1}	8
363	110601	真那	27		5			3	icon/attribute/70x70/2.png	26-28-29-32	[26]	攻击+15	{2:1500}	{500001:20000,510214:4,510216:4,510223:1}	7
364	110601	真那	28		5			7	icon/attribute/70x70/1.png	27-30	[27]	生命+40	{1:4000}	{500001:20000,510215:5,510214:2,510217:2}	7
365	110601	真那	29		5			10	icon/attribute/70x70/3.png	27-31	[27]	防御+7	{3:700}	{500001:20000,510216:5,510219:2,510223:2}	7
366	110601	真那	30		5			18	icon/attribute/70x70/509.png	28-32-33	[28,32,33]	暴击率+1.0%	{507:100}	{500001:40000,510213:5,510223:2,510221:2}	7
367	110601	真那	31		5			21	icon/attribute/70x70/6.png	29-32-34	[29,32,34]	攻击速度+1	{6:100}	{500001:40000,510211:5,510221:2,510222:2}	7
368	110601	真那	32		5			25	icon/attribute/70x70/1.png	27-30-31-35	[27]	生命+47	{1:4700}	{500001:20000,510216:5,510218:2,510219:2}	7
369	110601	真那	33		5			29	icon/attribute/70x70/3.png	30-35	[30,35]	防御+8	{3:800}	{500001:20000,510214:6,510221:3,510218:3}	7
370	110601	真那	34		5			32	icon/attribute/70x70/2.png	31-35	[31,35]	攻击+17	{2:1700}	{500001:20000,510217:3,510222:3,510226:3}	9
371	110601	真那	35		5			36	icon/attribute/70x70/2.png	32-33-34	[32,33,34]	攻击+17	{2:1700}	{500001:20000,510223:3,510220:3,510226:3}	9
372	110601	真那	36		6			3	icon/attribute/70x70/1.png	35-37-38	[35]	生命+47	{1:4700}	{500001:30000,510224:3,510220:3,510227:3}	8
373	110601	真那	37		6			13	icon/attribute/70x70/2.png	36-39-41	[36]	攻击+19	{2:1900}	{500001:30000,510217:4,510224:4,510225:4}	8
374	110601	真那	38		6			15	icon/attribute/70x70/3.png	36-40-42	[36]	防御+9	{3:900}	{500001:30000,510221:4,510229:4,510227:1}	8
375	110601	真那	39		6			17	icon/attribute/70x70/11.png	37-43	[37,43]	暴击伤害+2.0%	{509:200}	{500001:60000,510222:4,510226:4,510225:1}	8
376	110601	真那	40		6			22	icon/attribute/70x70/509.png	38-44	[38,44]	暴击率+1.0%	{507:100}	{500001:60000,510224:4,510230:4,510229:1}	8
377	110601	真那	41		6			24	icon/attribute/70x70/3.png	37-43-45	[37,45]	防御+9	{3:900}	{500001:30000,510218:5,510228:2,510232:2}	8
378	110601	真那	42		6			26	icon/attribute/70x70/1.png	38-44-45	[38,45]	生命+53	{1:5300}	{500001:30000,510229:5,510225:2,510228:2}	8
379	110601	真那	43		6			28	icon/attribute/70x70/1.png	39-41	[39,41]	生命+60	{1:6000}	{500001:30000,510225:5,510232:2,510230:2}	8
380	110601	真那	44		6			33	icon/attribute/70x70/2.png	40-42	[40,42]	攻击+19	{2:1900}	{500001:30000,510230:5,510228:2,510231:2}	10
381	110601	真那	45		6			36	icon/attribute/70x70/6.png	41-42-46	[41,42]	暴击伤害+2.0%	{509:200}	{500001:60000,510225:6,510227:3,510226:3}	10
382	110601	真那	46		7			3	icon/attribute/70x70/3.png	45-47-48-49	[45]	防御+10	{3:1000}	{500001:50000,510229:3,510230:3,510232:3}	10
383	110601	真那	47		7			7	icon/attribute/70x70/1.png	46-50	[46]	生命+60	{1:6000}	{500001:50000,510226:3,510227:3,510220:3}	10
384	110601	真那	48		7			10	icon/attribute/70x70/1.png	46-51	[46]	生命+67	{1:6700}	{500001:50000,510230:4,510228:4,510229:4}	10
385	110601	真那	49		7			14	icon/attribute/70x70/2.png	46-52-53	[46]	攻击+19	{2:1900}	{500001:50000,510232:4,510231:4,510228:3}	10
386	110601	真那	50		7			17	icon/attribute/70x70/3.png	47-52-54	[47,52]	防御+10	{3:1000}	{500001:50000,510227:4,510220:4,510231:3}	10
387	110601	真那	51		7			22	icon/attribute/70x70/3.png	48-53-55	[48,53]	防御+10	{3:1000}	{500001:50000,510231:5,510232:5,510239:4}	10
388	110601	真那	52		7			24	icon/attribute/70x70/503.png	49-50-54-56	[49,50,56]	暴击率+1.5%	{507:150}	{500001:100000,510228:5,510239:4,510237:4}	10
389	110601	真那	53		7			26	icon/attribute/70x70/513.png	49-51-55-56	[49,51,56]	攻击速度+2	{6:200}	{500001:100000,510220:5,510240:4,510236:4}	10
390	110601	真那	54		7			28	icon/attribute/70x70/1.png	50-52	[50,52]	生命+67	{1:6700}	{500001:50000,510230:6,510233:5,510235:5}	12
391	110601	真那	55		7			33	icon/attribute/70x70/1.png	51-53	[51,53]	生命+67	{1:6700}	{500001:50000,510236:5,510234:5,510238:5}	12
392	110601	真那	56		7			36	icon/attribute/70x70/504.png	52-53	[52,53]	暴击率+2.0%	{507:200}	{500001:100000,510234:5,510233:5,510235:5}	12
393	110701	耶俱矢	1		1	ui/jiejin01.png	ui/tu01.png	3	icon/attribute/70x70/1.png	2		生命+33	{1:3300}	{500001:2000,510206:1,510204:1,510202:1}	4
394	110701	耶俱矢	2		1			14	icon/attribute/70x70/2.png	1-3-4	[1]	攻击+8	{2:800}	{500001:2000,510201:2,510202:2,510206:2}	4
395	110701	耶俱矢	3		1			21	icon/attribute/70x70/504.png	2-4	[2]	移动速度+2	{11:200}	{500001:4000,510204:2,510208:2,510207:2}	4
396	110701	耶俱矢	4		1			25	icon/attribute/70x70/3.png	2-3-5	[2]	防御+4	{3:400}	{500001:2000,510203:2,510206:2,510203:2}	4
397	110701	耶俱矢	5		1			36	icon/attribute/70x70/2.png	4-6	[4]	攻击+8	{2:800}	{500001:2000,510204:2,510202:2,510205:2}	4
398	110701	耶俱矢	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/3.png	5-7-8	[5]	防御+4	{3:400}	{500001:5000,510208:3,510207:3,510205:3}	5
399	110701	耶俱矢	7		2			7	icon/attribute/70x70/1.png	6-8	[6]	生命+33	{1:3300}	{500001:5000,510201:3,510203:3,510209:1}	5
400	110701	耶俱矢	8		2			14	icon/attribute/70x70/2.png	6-7-9	[6]	攻击+10	{2:1000}	{500001:5000,510208:3,510205:3,510211:1}	5
401	110701	耶俱矢	9		2			25	icon/attribute/70x70/1.png	8-9-11	[8]	生命+41	{1:4100}	{500001:5000,510202:3,510201:3,510213:1}	5
402	110701	耶俱矢	10		2			32	icon/attribute/70x70/509.png	9-11	[9]	暴击伤害+2.0%	{509:200}	{500001:10000,510205:3,510207:3,510210:1}	6
403	110701	耶俱矢	11		2			36	icon/attribute/70x70/2.png	9-10-12	[9]	攻击+10	{2:1000}	{500001:5000,510201:3,510203:3,510215:1}	6
404	110701	耶俱矢	12		3			3	icon/attribute/70x70/3.png	11-13-14	[11]	防御+6	{3:600}	{500001:10000,510207:4,510204:4,510209:2}	6
405	110701	耶俱矢	13		3			10	icon/attribute/70x70/503.png	12-15	[12]	移动速度+2	{11:200}	{500001:50000,510205:4,510209:2,510215:2}	6
406	110701	耶俱矢	14		3			14	icon/attribute/70x70/1.png	12-16	[12]	生命+41	{1:4100}	{500001:10000,510208:4,510211:2,510210:2}	6
407	110701	耶俱矢	15		3			21	icon/attribute/70x70/2.png	13-16	[13,16]	攻击+12	{2:1200}	{500001:10000,510201:4,510215:2,510213:2}	6
408	110701	耶俱矢	16		3			25	icon/attribute/70x70/1.png	14-15-17-18	[14,15]	生命+49	{1:4900}	{500001:10000,510205:4,510209:2,510212:2}	6
409	110701	耶俱矢	17		3			29	icon/attribute/70x70/509.png	16-18	[16]	穿透率+1.0%	{503:100}	{500001:20000,510206:4,510211:2,510210:2}	7
410	110701	耶俱矢	18		3			36	icon/attribute/70x70/2.png	16-17-19	[16]	攻击+12	{2:1200}	{500001:10000,510208:3,510209:3,510216:3}	7
411	110701	耶俱矢	19		4			3	icon/attribute/70x70/1.png	18-20-21	[18]	生命+49	{1:4900}	{500001:15000,510210:3,510213:3,510214:3}	6
412	110701	耶俱矢	20		4			10	icon/attribute/70x70/3.png	19-23	[19]	防御+6	{3:600}	{500001:15000,510215:3,510210:3,510211:3}	6
413	110701	耶俱矢	21		4			14	icon/attribute/70x70/3.png	19-22-23	[19]	防御+7	{3:700}	{500001:15000,510214:3,510211:3,510212:3}	6
414	110701	耶俱矢	22		4			18	icon/attribute/70x70/2.png	21-24-25	[21]	攻击+13	{2:1300}	{500001:15000,510213:3,510210:3,510216:3}	6
415	110701	耶俱矢	23		4			21	icon/attribute/70x70/3.png	20-21	[20,21]	移动速度+3	{11:300}	{500001:30000,510209:4,510212:4,510214:1}	6
416	110701	耶俱矢	24		4			25	icon/attribute/70x70/2.png	22-26	[22]	攻击+13	{2:1300}	{500001:15000,510216:4,510213:4,510219:1}	6
417	110701	耶俱矢	25		4			29	icon/attribute/70x70/1.png	22-26	[22]	移动速度+3	{11:300}	{500001:30000,510212:4,510215:4,510224:1}	8
418	110701	耶俱矢	26		4			36	icon/attribute/70x70/1.png	24-25-27	[24,25]	生命+57	{1:5700}	{500001:15000,510212:4,510211:4,510220:1}	8
419	110701	耶俱矢	27		5			3	icon/attribute/70x70/3.png	26-28-30	[26]	防御+7	{3:700}	{500001:20000,510214:4,510216:4,510223:1}	7
420	110701	耶俱矢	28		5			7	icon/attribute/70x70/1.png	27-31	[27]	生命+57	{1:5700}	{500001:20000,510215:5,510214:2,510217:2}	7
421	110701	耶俱矢	29		5			10	icon/attribute/70x70/510.png	32	[32]	暴击伤害+2.0%	{509:200}	{500001:40000,510216:5,510219:2,510223:2}	7
422	110701	耶俱矢	30		5			14	icon/attribute/70x70/2.png	27-31-32-35	[27]	攻击+15	{2:1500}	{500001:20000,510213:5,510223:2,510221:2}	7
423	110701	耶俱矢	31		5			18	icon/attribute/70x70/2.png	28-30-33	[28,30]	攻击+17	{2:1700}	{500001:20000,510211:5,510221:2,510222:2}	7
424	110701	耶俱矢	32		5			21	icon/attribute/70x70/1.png	29-30-34	[30]	生命+65	{1:6500}	{500001:20000,510216:5,510218:2,510219:2}	7
425	110701	耶俱矢	33		5			29	icon/attribute/70x70/504.png	31	[31]	穿透率+1.0%	{503:100}	{500001:40000,510214:6,510221:3,510218:3}	7
426	110701	耶俱矢	34		5			32	icon/attribute/70x70/3.png	32-35	[32]	防御+8	{3:800}	{500001:20000,510217:3,510222:3,510226:3}	9
427	110701	耶俱矢	35		5			36	icon/attribute/70x70/1.png	30-34-36	[30]	生命+74	{1:7400}	{500001:20000,510223:3,510220:3,510226:3}	9
428	110701	耶俱矢	36		6			3	icon/attribute/70x70/3.png	35-39-40	[35]	防御+8	{3:800}	{500001:30000,510224:3,510220:3,510227:3}	8
429	110701	耶俱矢	37		6			6	icon/attribute/70x70/3.png	39-41	[39,41]	防御+9	{3:900}	{500001:30000,510217:4,510224:4,510225:4}	8
430	110701	耶俱矢	38		6			11	icon/attribute/70x70/2.png	40-42	[40,42]	攻击+17	{2:1700}	{500001:30000,510221:4,510229:4,510227:1}	8
431	110701	耶俱矢	39		6			13	icon/attribute/70x70/1.png	36-37-43	[36]	生命+74	{1:7400}	{500001:30000,510222:4,510226:4,510225:1}	8
432	110701	耶俱矢	40		6			15	icon/attribute/70x70/1.png	36-38-44	[36]	生命+82	{1:8200}	{500001:30000,510224:4,510230:4,510229:1}	8
433	110701	耶俱矢	41		6			17	icon/attribute/70x70/3.png	37-43	[37,43]	暴击伤害+3.0%	{509:300}	{500001:60000,510218:5,510228:2,510232:2}	8
434	110701	耶俱矢	42		6			22	icon/attribute/70x70/503.png	38-44	[38,44]	移动速度+4	{11:400}	{500001:60000,510229:5,510225:2,510228:2}	8
435	110701	耶俱矢	43		6			24	icon/attribute/70x70/2.png	39-41-45	[39,45]	攻击+19	{2:1900}	{500001:30000,510225:5,510232:2,510230:2}	8
436	110701	耶俱矢	44		6			26	icon/attribute/70x70/3.png	40-42-45	[40,45]	防御+10	{3:1000}	{500001:30000,510230:5,510228:2,510231:2}	10
437	110701	耶俱矢	45		6			36	icon/attribute/70x70/509.png	43-44-46	[43,44]	穿透率+2.0%	{503:200}	{500001:60000,510225:6,510227:3,510226:3}	10
438	110701	耶俱矢	46		7			3	icon/attribute/70x70/3.png	45-49-50	[45]	防御+10	{3:1000}	{500001:50000,510229:3,510230:3,510232:3}	10
439	110701	耶俱矢	47		7			6	icon/attribute/70x70/510.png	49-51	[49,51]	暴击伤害+3.0%	{509:300}	{500001:100000,510226:3,510227:3,510220:3}	10
440	110701	耶俱矢	48		7			11	icon/attribute/70x70/1.png	50-52	[50,52]	移动速度+4	{11:400}	{500001:100000,510230:4,510228:4,510229:4}	10
441	110701	耶俱矢	49		7			13	icon/attribute/70x70/1.png	46-47	[46]	生命+82	{1:8200}	{500001:50000,510232:4,510231:4,510228:3}	10
442	110701	耶俱矢	50		7			15	icon/attribute/70x70/2.png	46-48	[46]	攻击+19	{2:1900}	{500001:50000,510227:4,510220:4,510231:3}	10
443	110701	耶俱矢	51		7			17	icon/attribute/70x70/3.png	47-53	[47,53]	防御+11	{3:1100}	{500001:50000,510231:5,510232:5,510239:4}	10
444	110701	耶俱矢	52		7			22	icon/attribute/70x70/3.png	48-54	[48,54]	防御+11	{3:1100}	{500001:50000,510228:5,510239:4,510237:4}	10
445	110701	耶俱矢	53		7			24	icon/attribute/70x70/2.png	51-54-55	[51,54]	攻击+19	{2:1900}	{500001:50000,510220:5,510240:4,510236:4}	10
446	110701	耶俱矢	54		7			26	icon/attribute/70x70/1.png	52-53-56	[52,53]	生命+82	{1:8200}	{500001:50000,510230:6,510233:5,510235:5}	12
447	110701	耶俱矢	55		7			35	icon/attribute/70x70/509.png	53-56	[53,56]	穿透率+2.0%	{503:200}	{500001:100000,510236:5,510234:5,510238:5}	12
448	110701	耶俱矢	56		7			37	icon/attribute/70x70/3.png	54-55	[54,55]	防御+11	{3:1100}	{500001:50000,510234:5,510233:5,510235:5}	12
449	110801	夕弦	1		1	ui/jiejin01.png	ui/tu01.png	3	icon/attribute/70x70/1.png	2		生命+31	{1:3100}	{500001:2000,510206:1,510204:1,510202:1}	4
450	110801	夕弦	2		1			14	icon/attribute/70x70/2.png	1-3-4	[1]	攻击+8	{2:800}	{500001:2000,510201:2,510202:2,510206:2}	4
451	110801	夕弦	3		1			21	icon/attribute/70x70/507.png	2-4	[2]	暴击率+0.5%	{507:50}	{500001:4000,510204:2,510208:2,510207:2}	4
452	110801	夕弦	4		1			25	icon/attribute/70x70/3.png	2-3-5	[2]	防御+4	{3:400}	{500001:2000,510203:2,510206:2,510203:2}	4
453	110801	夕弦	5		1			36	icon/attribute/70x70/2.png	4-6	[4]	攻击+8	{2:800}	{500001:2000,510204:2,510202:2,510205:2}	4
454	110801	夕弦	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/3.png	5-7-8	[5]	防御+4	{3:400}	{500001:5000,510208:3,510207:3,510205:3}	5
455	110801	夕弦	7		2			7	icon/attribute/70x70/1.png	6-8	[6]	生命+31	{1:3100}	{500001:5000,510201:3,510203:3,510209:1}	5
456	110801	夕弦	8		2			14	icon/attribute/70x70/2.png	6-7-9	[6]	攻击+10	{2:1000}	{500001:5000,510208:3,510205:3,510211:1}	5
457	110801	夕弦	9		2			25	icon/attribute/70x70/1.png	8-9-11	[8]	生命+38	{1:3800}	{500001:5000,510202:3,510201:3,510213:1}	5
458	110801	夕弦	10		2			32	icon/attribute/70x70/6.png	9-11	[9]	命中率+1.0%	{505:100}	{500001:10000,510205:3,510207:3,510210:1}	6
459	110801	夕弦	11		2			36	icon/attribute/70x70/2.png	9-10-12	[9]	攻击+10	{2:1000}	{500001:5000,510201:3,510203:3,510215:1}	6
460	110801	夕弦	12		3			3	icon/attribute/70x70/3.png	11-13-14	[11]	防御+6	{3:600}	{500001:10000,510207:4,510204:4,510209:2}	6
461	110801	夕弦	13		3			10	icon/attribute/70x70/509.png	12-15	[12]	移动速度+2	{11:200}	{500001:20000,510205:4,510209:2,510215:2}	6
462	110801	夕弦	14		3			14	icon/attribute/70x70/1.png	12-16	[12]	生命+38	{1:3800}	{500001:10000,510208:4,510211:2,510210:2}	6
463	110801	夕弦	15		3			21	icon/attribute/70x70/2.png	13-16	[13,16]	攻击+12	{2:1200}	{500001:10000,510201:4,510215:2,510213:2}	6
464	110801	夕弦	16		3			25	icon/attribute/70x70/1.png	14-15-17-18	[14,15]	生命+46	{1:4600}	{500001:10000,510205:4,510209:2,510212:2}	6
465	110801	夕弦	17		3			29	icon/attribute/70x70/11.png	16-18	[16]	命中率+1.0%	{505:100}	{500001:20000,510206:4,510211:2,510210:2}	7
466	110801	夕弦	18		3			36	icon/attribute/70x70/2.png	16-17-19	[16]	攻击+12	{2:1200}	{500001:10000,510208:3,510209:3,510216:3}	7
467	110801	夕弦	19		4			3	icon/attribute/70x70/1.png	18-20-21	[18]	生命+46	{1:4600}	{500001:15000,510210:3,510213:3,510214:3}	6
468	110801	夕弦	20		4			10	icon/attribute/70x70/3.png	19-23	[19]	防御+6	{3:600}	{500001:15000,510215:3,510210:3,510211:3}	6
469	110801	夕弦	21		4			14	icon/attribute/70x70/3.png	19-22-23	[19]	防御+7	{3:700}	{500001:15000,510214:3,510211:3,510212:3}	6
470	110801	夕弦	22		4			18	icon/attribute/70x70/2.png	21-24-25	[21]	攻击+14	{2:1400}	{500001:15000,510213:3,510210:3,510216:3}	6
471	110801	夕弦	23		4			21	icon/attribute/70x70/2.png	20-21	[20,21]	暴击率+1.0%	{507:100}	{500001:30000,510209:4,510212:4,510214:1}	6
472	110801	夕弦	24		4			25	icon/attribute/70x70/2.png	22-26	[22]	攻击+14	{2:1400}	{500001:15000,510216:4,510213:4,510219:1}	6
473	110801	夕弦	25		4			29	icon/attribute/70x70/506.png	22-26	[22]	命中率+2.0%	{505:200}	{500001:30000,510212:4,510215:4,510224:1}	8
474	110801	夕弦	26		4			36	icon/attribute/70x70/1.png	24-25-27	[24,25]	生命+54	{1:5400}	{500001:15000,510212:4,510211:4,510220:1}	8
475	110801	夕弦	27		5			3	icon/attribute/70x70/3.png	26-28-30	[26]	防御+7	{3:700}	{500001:20000,510214:4,510216:4,510223:1}	7
476	110801	夕弦	28		5			7	icon/attribute/70x70/1.png	27-31	[27]	生命+54	{1:5400}	{500001:20000,510215:5,510214:2,510217:2}	7
477	110801	夕弦	29		5			10	icon/attribute/70x70/507.png	32	[32]	移动速度+2	{11:200}	{500001:40000,510216:5,510219:2,510223:2}	7
478	110801	夕弦	30		5			14	icon/attribute/70x70/2.png	27-31-32-35	[27]	攻击+16	{2:1600}	{500001:20000,510213:5,510223:2,510221:2}	7
479	110801	夕弦	31		5			18	icon/attribute/70x70/2.png	28-30-33	[28,30]	攻击+18	{2:1800}	{500001:20000,510211:5,510221:2,510222:2}	7
480	110801	夕弦	32		5			21	icon/attribute/70x70/1.png	29-30-34	[30]	生命+61	{1:6100}	{500001:20000,510216:5,510218:2,510219:2}	7
481	110801	夕弦	33		5			29	icon/attribute/70x70/502.png	31	[31]	移动速度+3	{11:300}	{500001:40000,510214:6,510221:3,510218:3}	7
482	110801	夕弦	34		5			32	icon/attribute/70x70/3.png	32-35	[32]	防御+8	{3:800}	{500001:20000,510217:3,510222:3,510226:3}	9
483	110801	夕弦	35		5			36	icon/attribute/70x70/1.png	30-34-36	[30]	生命+69	{1:6900}	{500001:20000,510223:3,510220:3,510226:3}	9
484	110801	夕弦	36		6			3	icon/attribute/70x70/3.png	35-39-40	[35]	防御+8	{3:800}	{500001:30000,510224:3,510220:3,510227:3}	8
485	110801	夕弦	37		6			6	icon/attribute/70x70/3.png	39-41	[39,41]	防御+9	{3:900}	{500001:30000,510217:4,510224:4,510225:4}	8
486	110801	夕弦	38		6			11	icon/attribute/70x70/2.png	40-42	[40,42]	攻击+18	{2:1800}	{500001:30000,510221:4,510229:4,510227:1}	8
487	110801	夕弦	39		6			13	icon/attribute/70x70/1.png	36-37-43	[36]	生命+69	{1:6900}	{500001:30000,510222:4,510226:4,510225:1}	8
488	110801	夕弦	40		6			15	icon/attribute/70x70/1.png	36-38-44	[36]	生命+77	{1:7700}	{500001:30000,510224:4,510230:4,510229:1}	8
489	110801	夕弦	41		6			17	icon/attribute/70x70/509.png	37-43	[37,43]	移动速度+3	{11:300}	{500001:60000,510218:5,510228:2,510232:2}	8
490	110801	夕弦	42		6			22	icon/attribute/70x70/2.png	38-44	[38,44]	暴击率+2.0%	{507:200}	{500001:60000,510229:5,510225:2,510228:2}	8
491	110801	夕弦	43		6			24	icon/attribute/70x70/2.png	39-41-45	[39,45]	攻击+21	{2:2100}	{500001:30000,510225:5,510232:2,510230:2}	8
492	110801	夕弦	44		6			26	icon/attribute/70x70/3.png	40-42-45	[40,45]	防御+10	{3:1000}	{500001:30000,510230:5,510228:2,510231:2}	10
493	110801	夕弦	45		6			36	icon/attribute/70x70/11.png	43-44-46	[43,44]	移动速度+4	{11:400}	{500001:60000,510225:6,510227:3,510226:3}	10
494	110801	夕弦	46		7			3	icon/attribute/70x70/3.png	45-49-50	[45]	防御+10	{3:1000}	{500001:50000,510229:3,510230:3,510232:3}	10
495	110801	夕弦	47		7			6	icon/attribute/70x70/506.png	49-51	[49,51]	命中率+2.0%	{505:200}	{500001:100000,510226:3,510227:3,510220:3}	10
496	110801	夕弦	48		7			11	icon/attribute/70x70/502.png	50-52	[50,52]	暴击率+1.5%	{507:150}	{500001:100000,510230:4,510228:4,510229:4}	10
497	110801	夕弦	49		7			13	icon/attribute/70x70/1.png	46-47	[46]	生命+77	{1:7700}	{500001:50000,510232:4,510231:4,510228:3}	10
498	110801	夕弦	50		7			15	icon/attribute/70x70/2.png	46-48	[46]	攻击+21	{2:2100}	{500001:50000,510227:4,510220:4,510231:3}	10
499	110801	夕弦	51		7			17	icon/attribute/70x70/3.png	47-53	[47,53]	防御+11	{3:1100}	{500001:50000,510231:5,510232:5,510239:4}	10
500	110801	夕弦	52		7			22	icon/attribute/70x70/3.png	48-54	[48,54]	防御+11	{3:1100}	{500001:50000,510228:5,510239:4,510237:4}	10
501	110801	夕弦	53		7			24	icon/attribute/70x70/2.png	51-54-55	[51,54]	攻击+21	{2:2100}	{500001:50000,510220:5,510240:4,510236:4}	10
502	110801	夕弦	54		7			26	icon/attribute/70x70/1.png	52-53-56	[52,53]	生命+77	{1:7700}	{500001:50000,510230:6,510233:5,510235:5}	12
503	110801	夕弦	55		7			35	icon/attribute/70x70/507.png	53-56	[53,56]	移动速度+4	{11:400}	{500001:100000,510236:5,510234:5,510238:5}	12
504	110801	夕弦	56		7			37	icon/attribute/70x70/3.png	54-55	[54,55]	防御+11	{3:1100}	{500001:50000,510234:5,510233:5,510235:5}	12
505	110901	爱莲	1		1	ui/jiejin01.png	ui/tu01.png	14	icon/attribute/70x70/2.png	2		攻击+8	{2:800}	{500001:2000,510201:1,510202:1,510203:1}	4
506	110901	爱莲	2		1			25	icon/attribute/70x70/1.png	1-3-4	[1]	生命+29	{1:2900}	{500001:2000,510206:2,510207:2,510205:2}	4
507	110901	爱莲	3		1			29	icon/attribute/70x70/2.png	2-5	[2]	攻击+8	{2:800}	{500001:2000,510208:2,510204:2,510202:2}	4
508	110901	爱莲	4		1			32	icon/attribute/70x70/3.png	2-5	[2]	防御+6	{3:600}	{500001:2000,510201:2,510203:2,510204:2}	4
509	110901	爱莲	5		1			36	icon/attribute/70x70/3.png	3-4-6	[3,4]	伤害加成+0.5%	{501:50}	{500001:4000,510206:2,510207:2,510208:2}	4
510	110901	爱莲	6		2	ui/jiejin02.png	ui/tu02.png	3	icon/attribute/70x70/3.png	5-7-8	[5]	防御+6	{3:600}	{500001:5000,510205:3,510201:3,510202:3}	5
511	110901	爱莲	7		2			10	icon/attribute/70x70/2.png	6-8	[6]	攻击+10	{2:1000}	{500001:5000,510203:3,510206:3,510209:1}	5
512	110901	爱莲	8		2			14	icon/attribute/70x70/1.png	6-7-9	[6]	生命+29	{1:2900}	{500001:5000,510204:3,510203:3,510212:1}	5
513	110901	爱莲	9		2			25	icon/attribute/70x70/3.png	8-10-11	[8]	防御+7	{3:700}	{500001:5000,510206:3,510202:3,510214:1}	5
514	110901	爱莲	10		2			29	icon/attribute/70x70/501.png	9-11	[9]	防御力+1.0%	{1003:100}	{500001:10000,510207:3,510204:3,510216:1}	6
515	110901	爱莲	11		2			36	icon/attribute/70x70/2.png	9-10-12	[9]	攻击+10	{2:1000}	{500001:5000,510208:3,510207:3,510213:1}	6
516	110901	爱莲	12		3			3	icon/attribute/70x70/3.png	11-13-14	[11]	防御+7	{3:700}	{500001:10000,510205:4,510201:4,510210:2}	6
517	110901	爱莲	13		3			7	icon/attribute/70x70/510.png	12-15	[12]	伤害加成+0.5%	{501:50}	{500001:20000,510202:4,510209:2,510211:2}	6
518	110901	爱莲	14		3			14	icon/attribute/70x70/1.png	12-15-16	[12]	生命+36	{1:3600}	{500001:10000,510203:4,510215:2,510216:2}	6
519	110901	爱莲	15		3			18	icon/attribute/70x70/2.png	13-14	[13,14]	攻击+12	{2:1200}	{500001:10000,510207:4,510210:2,510213:2}	6
520	110901	爱莲	16		3			25	icon/attribute/70x70/2.png	14-17-18	[14]	攻击+12	{2:1200}	{500001:10000,510208:4,510214:2,510210:2}	6
521	110901	爱莲	17		3			32	icon/attribute/70x70/11.png	16-18	[16]	格挡率+1.0%	{504:100}	{500001:20000,510206:4,510212:2,510211:2}	7
522	110901	爱莲	18		3			36	icon/attribute/70x70/3.png	16-17-19	[16]	防御+9	{3:900}	{500001:10000,510205:3,510215:3,510214:3}	7
523	110901	爱莲	19		4			3	icon/attribute/70x70/1.png	18-20-21	[18]	生命+36	{1:3600}	{500001:15000,510209:3,510216:3,510210:3}	6
