id	名称	属性描述	属性大类	属性等级（颜色,星级等级决定上限，然后根据权重随机）	权重	属性类型	属性(最低属性值,最高属性值)
957	对机械目标减伤2-区间2	420753	39	2	130	753	115-130
958	对机械目标减伤2-区间3	420753	39	2	102	753	130-145
959	对机械目标减伤2-区间4	420753	39	2	70	753	145-160
960	对机械目标减伤2-区间5	420753	39	2	47	753	160-175
961	对机械目标减伤3-区间1	420753	39	3	97	753	175-195
962	对机械目标减伤3-区间2	420753	39	3	109	753	195-215
963	对机械目标减伤3-区间3	420753	39	3	85	753	215-235
964	对机械目标减伤3-区间4	420753	39	3	58	753	235-255
965	对机械目标减伤3-区间5	420753	39	3	39	753	255-275
966	对机械目标减伤4-区间1	420753	39	4	58	753	275-295
967	对机械目标减伤4-区间2	420753	39	4	65	753	295-315
968	对机械目标减伤4-区间3	420753	39	4	51	753	315-335
969	对机械目标减伤4-区间4	420753	39	4	35	753	335-355
970	对机械目标减伤4-区间5	420753	39	4	23	753	355-375
971	对机械目标减伤5-区间1	420753	39	5	39	753	375-400
972	对机械目标减伤5-区间2	420753	39	5	43	753	400-425
973	对机械目标减伤5-区间3	420753	39	5	34	753	425-450
974	对机械目标减伤5-区间4	420753	39	5	23	753	450-475
975	对机械目标减伤5-区间5	420753	39	5	16	753	475-500
976	对精灵目标减伤1-区间1	420754	40	1	78	754	50-60
977	对精灵目标减伤1-区间2	420754	40	1	87	754	60-70
978	对精灵目标减伤1-区间3	420754	40	1	68	754	70-80
979	对精灵目标减伤1-区间4	420754	40	1	47	754	80-90
980	对精灵目标减伤1-区间5	420754	40	1	31	754	90-100
981	对精灵目标减伤2-区间1	420754	40	2	116	754	100-115
982	对精灵目标减伤2-区间2	420754	40	2	130	754	115-130
983	对精灵目标减伤2-区间3	420754	40	2	102	754	130-145
984	对精灵目标减伤2-区间4	420754	40	2	70	754	145-160
985	对精灵目标减伤2-区间5	420754	40	2	47	754	160-175
986	对精灵目标减伤3-区间1	420754	40	3	97	754	175-195
987	对精灵目标减伤3-区间2	420754	40	3	109	754	195-215
988	对精灵目标减伤3-区间3	420754	40	3	85	754	215-235
989	对精灵目标减伤3-区间4	420754	40	3	58	754	235-255
990	对精灵目标减伤3-区间5	420754	40	3	39	754	255-275
991	对精灵目标减伤4-区间1	420754	40	4	58	754	275-295
992	对精灵目标减伤4-区间2	420754	40	4	65	754	295-315
993	对精灵目标减伤4-区间3	420754	40	4	51	754	315-335
994	对精灵目标减伤4-区间4	420754	40	4	35	754	335-355
995	对精灵目标减伤4-区间5	420754	40	4	23	754	355-375
996	对精灵目标减伤5-区间1	420754	40	5	39	754	375-400
997	对精灵目标减伤5-区间2	420754	40	5	43	754	400-425
998	对精灵目标减伤5-区间3	420754	40	5	34	754	425-450
999	对精灵目标减伤5-区间4	420754	40	5	23	754	450-475
1000	对精灵目标减伤5-区间5	420754	40	5	16	754	475-500
1001	护盾加成1-区间1	421007	41	1	150	1007	100-120
1002	护盾加成1-区间2	421007	41	1	168	1007	120-140
1003	护盾加成1-区间3	421007	41	1	132	1007	140-160
1004	护盾加成1-区间4	421007	41	1	90	1007	160-180
1005	护盾加成1-区间5	421007	41	1	60	1007	180-200
1006	护盾加成2-区间1	421007	41	2	225	1007	200-230
1007	护盾加成2-区间2	421007	41	2	252	1007	230-260
1008	护盾加成2-区间3	421007	41	2	198	1007	260-290
1009	护盾加成2-区间4	421007	41	2	135	1007	290-320
1010	护盾加成2-区间5	421007	41	2	90	1007	320-350
1011	护盾加成3-区间1	421007	41	3	188	1007	350-390
1012	护盾加成3-区间2	421007	41	3	210	1007	390-430
1013	护盾加成3-区间3	421007	41	3	165	1007	430-470
1014	护盾加成3-区间4	421007	41	3	113	1007	470-510
1015	护盾加成3-区间5	421007	41	3	75	1007	510-550
1016	护盾加成4-区间1	421007	41	4	113	1007	550-590
1017	护盾加成4-区间2	421007	41	4	126	1007	590-630
1018	护盾加成4-区间3	421007	41	4	99	1007	630-670
1019	护盾加成4-区间4	421007	41	4	68	1007	670-710
1020	护盾加成4-区间5	421007	41	4	45	1007	710-750
1021	护盾加成5-区间1	421007	41	5	75	1007	750-800
1022	护盾加成5-区间2	421007	41	5	84	1007	800-850
1023	护盾加成5-区间3	421007	41	5	66	1007	850-900
1024	护盾加成5-区间4	421007	41	5	45	1007	900-950
1025	护盾加成5-区间5	421007	41	5	30	1007	950-1000
1026	回怒加成1-区间1	421009	46	1	150	1009	100-120
1027	回怒加成1-区间2	421009	46	1	168	1009	120-140
1028	回怒加成1-区间3	421009	46	1	132	1009	140-160
1029	回怒加成1-区间4	421009	46	1	90	1009	160-180
1030	回怒加成1-区间5	421009	46	1	60	1009	180-200
1031	回怒加成2-区间1	421009	46	2	225	1009	200-230
1032	回怒加成2-区间2	421009	46	2	252	1009	230-260
1033	回怒加成2-区间3	421009	46	2	198	1009	260-290
1034	回怒加成2-区间4	421009	46	2	135	1009	290-320
1035	回怒加成2-区间5	421009	46	2	90	1009	320-350
1036	回怒加成3-区间1	421009	46	3	188	1009	350-390
1037	回怒加成3-区间2	421009	46	3	210	1009	390-430
1038	回怒加成3-区间3	421009	46	3	165	1009	430-470
1039	回怒加成3-区间4	421009	46	3	113	1009	470-510
1040	回怒加成3-区间5	421009	46	3	75	1009	510-550
1041	回怒加成4-区间1	421009	46	4	113	1009	550-590
1042	回怒加成4-区间2	421009	46	4	126	1009	590-630
1043	回怒加成4-区间3	421009	46	4	99	1009	630-670
1044	回怒加成4-区间4	421009	46	4	68	1009	670-710
1045	回怒加成4-区间5	421009	46	4	45	1009	710-750
1046	回怒加成5-区间1	421009	46	5	75	1009	750-800
1047	回怒加成5-区间2	421009	46	5	84	1009	800-850
1048	回怒加成5-区间3	421009	46	5	66	1009	850-900
1049	回怒加成5-区间4	421009	46	5	45	1009	900-950
1050	回怒加成5-区间5	421009	46	5	30	1009	950-1000
1051	移速加成1-区间1	421011	47	1	150	1011	50-60
1052	移速加成1-区间2	421011	47	1	168	1011	60-70
1053	移速加成1-区间3	421011	47	1	132	1011	70-80
1054	移速加成1-区间4	421011	47	1	90	1011	80-90
1055	移速加成1-区间5	421011	47	1	60	1011	90-100
1056	移速加成2-区间1	421011	47	2	225	1011	100-115
1057	移速加成2-区间2	421011	47	2	252	1011	115-130
1058	移速加成2-区间3	421011	47	2	198	1011	130-145
1059	移速加成2-区间4	421011	47	2	135	1011	145-160
1060	移速加成2-区间5	421011	47	2	90	1011	160-175
1061	移速加成3-区间1	421011	47	3	188	1011	175-195
1062	移速加成3-区间2	421011	47	3	210	1011	195-215
1063	移速加成3-区间3	421011	47	3	165	1011	215-235
1064	移速加成3-区间4	421011	47	3	113	1011	235-255
1065	移速加成3-区间5	421011	47	3	75	1011	255-275
1066	移速加成4-区间1	421011	47	4	113	1011	275-295
1067	移速加成4-区间2	421011	47	4	126	1011	295-315
1068	移速加成4-区间3	421011	47	4	99	1011	315-335
1069	移速加成4-区间4	421011	47	4	68	1011	335-355
1070	移速加成4-区间5	421011	47	4	45	1011	355-375
1071	移速加成5-区间1	421011	47	5	75	1011	375-400
1072	移速加成5-区间2	421011	47	5	84	1011	400-425
1073	移速加成5-区间3	421011	47	5	66	1011	425-450
1074	移速加成5-区间4	421011	47	5	45	1011	450-475
1075	移速加成5-区间5	421011	47	5	30	1011	475-500
1076	控制时间1-区间1	420511	42	1	150	511	100-120
1077	控制时间1-区间2	420511	42	1	168	511	120-140
1078	控制时间1-区间3	420511	42	1	132	511	140-160
1079	控制时间1-区间4	420511	42	1	90	511	160-180
1080	控制时间1-区间5	420511	42	1	60	511	180-200
1081	控制时间2-区间1	420511	42	2	225	511	200-230
1082	控制时间2-区间2	420511	42	2	252	511	230-260
1083	控制时间2-区间3	420511	42	2	198	511	260-290
1084	控制时间2-区间4	420511	42	2	135	511	290-320
1085	控制时间2-区间5	420511	42	2	90	511	320-350
1086	控制时间3-区间1	420511	42	3	188	511	350-390
1087	控制时间3-区间2	420511	42	3	210	511	390-430
1088	控制时间3-区间3	420511	42	3	165	511	430-470
1089	控制时间3-区间4	420511	42	3	113	511	470-510
1090	控制时间3-区间5	420511	42	3	75	511	510-550
1091	控制时间4-区间1	420511	42	4	113	511	550-590
1092	控制时间4-区间2	420511	42	4	126	511	590-630
1093	控制时间4-区间3	420511	42	4	99	511	630-670
1094	控制时间4-区间4	420511	42	4	68	511	670-710
1095	控制时间4-区间5	420511	42	4	45	511	710-750
1096	控制时间5-区间1	420511	42	5	75	511	750-800
1097	控制时间5-区间2	420511	42	5	84	511	800-850
1098	控制时间5-区间3	420511	42	5	66	511	850-900
1099	控制时间5-区间4	420511	42	5	45	511	900-950
1100	控制时间5-区间5	420511	42	5	30	511	950-1000
1101	受控时间1-区间1	420512	43	1	150	512	100-120
1102	受控时间1-区间2	420512	43	1	168	512	120-140
1103	受控时间1-区间3	420512	43	1	132	512	140-160
1104	受控时间1-区间4	420512	43	1	90	512	160-180
1105	受控时间1-区间5	420512	43	1	60	512	180-200
1106	受控时间2-区间1	420512	43	2	225	512	200-230
1107	受控时间2-区间2	420512	43	2	252	512	230-260
1108	受控时间2-区间3	420512	43	2	198	512	260-290
1109	受控时间2-区间4	420512	43	2	135	512	290-320
1110	受控时间2-区间5	420512	43	2	90	512	320-350
1111	受控时间3-区间1	420512	43	3	188	512	350-390
1112	受控时间3-区间2	420512	43	3	210	512	390-430
1113	受控时间3-区间3	420512	43	3	165	512	430-470
1114	受控时间3-区间4	420512	43	3	113	512	470-510
1115	受控时间3-区间5	420512	43	3	75	512	510-550
1116	受控时间4-区间1	420512	43	4	113	512	550-590
1117	受控时间4-区间2	420512	43	4	126	512	590-630
1118	受控时间4-区间3	420512	43	4	99	512	630-670
1119	受控时间4-区间4	420512	43	4	68	512	670-710
1120	受控时间4-区间5	420512	43	4	45	512	710-750
1121	受控时间5-区间1	420512	43	5	75	512	750-800
1122	受控时间5-区间2	420512	43	5	84	512	800-850
1123	受控时间5-区间3	420512	43	5	66	512	850-900
1124	受控时间5-区间4	420512	43	5	45	512	900-950
1125	受控时间5-区间5	420512	43	5	30	512	950-1000
1126	增益时间1-区间1	420513	44	1	150	513	100-120
1127	增益时间1-区间2	420513	44	1	168	513	120-140
1128	增益时间1-区间3	420513	44	1	132	513	140-160
1129	增益时间1-区间4	420513	44	1	90	513	160-180
1130	增益时间1-区间5	420513	44	1	60	513	180-200
1131	增益时间2-区间1	420513	44	2	225	513	200-230
1132	增益时间2-区间2	420513	44	2	252	513	230-260
1133	增益时间2-区间3	420513	44	2	198	513	260-290
1134	增益时间2-区间4	420513	44	2	135	513	290-320
1135	增益时间2-区间5	420513	44	2	90	513	320-350
1136	增益时间3-区间1	420513	44	3	188	513	350-390
1137	增益时间3-区间2	420513	44	3	210	513	390-430
1138	增益时间3-区间3	420513	44	3	165	513	430-470
1139	增益时间3-区间4	420513	44	3	113	513	470-510
1140	增益时间3-区间5	420513	44	3	75	513	510-550
1141	增益时间4-区间1	420513	44	4	113	513	550-590
1142	增益时间4-区间2	420513	44	4	126	513	590-630
1143	增益时间4-区间3	420513	44	4	99	513	630-670
1144	增益时间4-区间4	420513	44	4	68	513	670-710
1145	增益时间4-区间5	420513	44	4	45	513	710-750
1146	增益时间5-区间1	420513	44	5	75	513	750-800
1147	增益时间5-区间2	420513	44	5	84	513	800-850
1148	增益时间5-区间3	420513	44	5	66	513	850-900
1149	增益时间5-区间4	420513	44	5	45	513	900-950
1150	增益时间5-区间5	420513	44	5	30	513	950-1000
1151	减益时间1-区间1	420514	45	1	150	514	100-120
1152	减益时间1-区间2	420514	45	1	168	514	120-140
1153	减益时间1-区间3	420514	45	1	132	514	140-160
1154	减益时间1-区间4	420514	45	1	90	514	160-180
1155	减益时间1-区间5	420514	45	1	60	514	180-200
1156	减益时间2-区间1	420514	45	2	225	514	200-230
1157	减益时间2-区间2	420514	45	2	252	514	230-260
1158	减益时间2-区间3	420514	45	2	198	514	260-290
1159	减益时间2-区间4	420514	45	2	135	514	290-320
1160	减益时间2-区间5	420514	45	2	90	514	320-350
1161	减益时间3-区间1	420514	45	3	188	514	350-390
1162	减益时间3-区间2	420514	45	3	210	514	390-430
1163	减益时间3-区间3	420514	45	3	165	514	430-470
1164	减益时间3-区间4	420514	45	3	113	514	470-510
1165	减益时间3-区间5	420514	45	3	75	514	510-550
1166	减益时间4-区间1	420514	45	4	113	514	550-590
1167	减益时间4-区间2	420514	45	4	126	514	590-630
1168	减益时间4-区间3	420514	45	4	99	514	630-670
1169	减益时间4-区间4	420514	45	4	68	514	670-710
1170	减益时间4-区间5	420514	45	4	45	514	710-750
1171	减益时间5-区间1	420514	45	5	75	514	750-800
1172	减益时间5-区间2	420514	45	5	84	514	800-850
1173	减益时间5-区间3	420514	45	5	66	514	850-900
1174	减益时间5-区间4	420514	45	5	45	514	900-950
1175	减益时间5-区间5	420514	45	5	30	514	950-1000
1176	治疗加成1-区间1	420515	48	1	150	515	100-120
1177	治疗加成1-区间2	420515	48	1	168	515	120-140
1178	治疗加成1-区间3	420515	48	1	132	515	140-160
1179	治疗加成1-区间4	420515	48	1	90	515	160-180
1180	治疗加成1-区间5	420515	48	1	60	515	180-200
1181	治疗加成2-区间1	420515	48	2	225	515	200-230
1182	治疗加成2-区间2	420515	48	2	252	515	230-260
1183	治疗加成2-区间3	420515	48	2	198	515	260-290
1184	治疗加成2-区间4	420515	48	2	135	515	290-320
1185	治疗加成2-区间5	420515	48	2	90	515	320-350
1186	治疗加成3-区间1	420515	48	3	188	515	350-390
1187	治疗加成3-区间2	420515	48	3	210	515	390-430
1188	治疗加成3-区间3	420515	48	3	165	515	430-470
1189	治疗加成3-区间4	420515	48	3	113	515	470-510
1190	治疗加成3-区间5	420515	48	3	75	515	510-550
1191	治疗加成4-区间1	420515	48	4	113	515	550-590
1192	治疗加成4-区间2	420515	48	4	126	515	590-630
1193	治疗加成4-区间3	420515	48	4	99	515	630-670
1194	治疗加成4-区间4	420515	48	4	68	515	670-710
1195	治疗加成4-区间5	420515	48	4	45	515	710-750
1196	治疗加成5-区间1	420515	48	5	75	515	750-800
1197	治疗加成5-区间2	420515	48	5	84	515	800-850
1198	治疗加成5-区间3	420515	48	5	66	515	850-900
1199	治疗加成5-区间4	420515	48	5	45	515	900-950
1200	治疗加成5-区间5	420515	48	5	30	515	950-1000
