	剧本号	约会类型(1主线2日常4特殊5外传）	条件	分支节点权重	触发几率	名称	文本内容	文字显示方式(1:逐个出现;2:直接出现)	特殊标注文字配置	文字框	选项类型	特殊选项	插入图片	插入图片1	插入图片2	插入图片3	快进停止	跳转（选项）	注释（1选项2收束3选项+收束4剧本开始5出现选项6单一选项7未使用）	添加标记	删除标记	人物模型1	模型出现方式1	模型消失方式1	人物动作1	快进时是否忽略1	人物面部1	表情包1	表情动作1	站位1	坐标偏移1	大小1	人物路径2	模型出现方式2	模型消失方式2	人物动作2	快进时是否忽略2	人物面部2	表情包2	表情动作2	站位2	坐标偏移2	大小2	人物模型3	模型出现方式3	模型消失方式3	人物动作3	快进时是否忽略3	人物面部3	表情包3	表情动作3	站位3	坐标偏移3	大小3	抖动效果参数	抖动对象(0:背景，1：模型1,2：模型2,3：模型3)	电话表现路径	电话表现动作	特效	背景	背景出现	背景效果(1：灰色，2：红色)	背景大小	运镜时间	背景坐标(中心点偏移)	bgm	背景音大小(1-100)	语音	角色嘴部动画	场景音效	普通音效	cg	CG锁定时间	事件类型	评分	显示评分	是否隐藏ui	一段时间后自动下一句（单位毫秒）	是否回忆	是否旁白	调用短信短信	奖励内容	重复完成奖励内容	可完成次数	视频	视频	结局	节点消耗	节点奖励	小游戏	规则	随机文本1	随机文本2	外传结局	解锁结局	事件结算内容	外传结算内容（初次达成）	外传结算内容（多次达成）	额外奖励
140301868	102010401	1	{}		100		哎，怎么脱口而出了……	1	{}				{}					140301869				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301869	102010401	1	{}		100	鸢一折纸	嗯……	1	{}				{}					140301870				1			id_pose_1		id_look_7				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140301870	102010401	1	{}		100		折纸勾起嘴角，十分开心。	1	{}				{}					140301908				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301871	102010401	1	{"ownItem":{543135:1}}		100		用硬币再试试	1	{}				{}					140301872	1			1									{}											{}											{}												{}																	{}	{}					{"items":{543135:1}}	{}		{}					{}	{}	{}	
140301872	102010401	1	{}		100	1	啊，对了，宏人送了我很多游戏币。	1	{}				{}					140301873				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301873	102010401	1	{}		100	1	不如我们再去试试吧，这次折纸选一个喜欢的，我帮你抓起来吧。	1	{}				{}					140301874				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301874	102010401	1	{}		100	鸢一折纸	好，只要是%s抓来的，我都喜欢。	1	{}				{}					140301875				10207	3	3	id_pose_1		id_look_7			2	{}	1.2										{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140301875	102010401	1	{}		100	1	那个，白熊怎么样？可以当成书包的白熊玩偶。而且颜色是折纸的头发的颜色哦。	1	{}				{}					140301876				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301876	102010401	1	{}		100	鸢一折纸	好，%s加油。	1	{}				{}					140301877				1			id_pose_1		id_look_2				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140301877	102010401	1	{}		100		还是……有点紧张啊……	1	{}				{}					140301878				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301878	102010401	1	{}		100		1	1	{}				{}					140301879						3							{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140301879	102010401	1	{}		100		1	1	{}				{}					140301880													{}											{}											{}							scene/bg/bg_wanoudian1.png	1		1.3	-1	{"x":-52,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140301880	102010401	1	{}		100	1	折纸？	1	{}				{}					140301881													{}											{}											{}												{}	sound/bgm/date_017.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140301881	102010401	1	{}		100	鸢一折纸	一起。	1	{}				{}					140301882				10207	3		id_pose_2		id_look_4			2	{}	1.2										{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140301882	102010401	1	{}		100		折纸握住了我的手，开始操控。	1	{}				{}					140301884				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301884	102010401	1	{}		100		就是现在！我果断地按下按钮。	1	{}				{}					140301886				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301886	102010401	1	{}		100	1	成功了！	1	{}				{}					140311886				1									{}											{}											{}										1.3		{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140311886	102010401	1	{}		100		我们将玩偶从机器拿出来，是一个非常可爱的白色小熊玩偶。	1	{}				{}	0				140301887						3							{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301887	102010401	1	{}		100	鸢一折纸	嗯，%s果然很厉害。	1	{}				{}	0				140301888				1			id_pose_1		id_look_2				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140301888	102010401	1	{}		100	1	是折纸很厉害啦。	1	{}				{}					140301890				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301890	102010401	1	{}		100		折纸抱着玩偶，萌萌的玩偶中和了折纸身上冷淡的气质。	1	{}				{}					140301908				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301891	102010401	1	{}		100		既然折纸喜欢……	1	{}				{}					140301892	1					3							{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301892	102010401	1	{}		100	1	没有兑换券……	1	{}				{}					140301893													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301893	102010401	1	{}		100	鸢一折纸	那就兑换黄豆粉面包抱枕吧。	1	{}				{}					140301894				10207	3		id_pose_3		id_look_5			2	{}	1.2										{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140301894	102010401	1	{}		100	1	哎？我还以为折纸不会喜欢的……	1	{}				{}					140301895				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301895	102010401	1	{}		100	鸢一折纸	这个，送你。	1	{}				{}					140301896				1			id_pose_1		id_look_2				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140301896	102010401	1	{}		100		折纸将到手的抱枕递给旁边的小朋友。	1	{}				{}					140301897				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301897	102010401	1	{}		100	小朋友	哇啊！谢谢姐姐！	1	{}				{}					140301898				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301898	102010401	1	{}		100		小朋友蹦跳着走开了，折纸的眼睛还紧紧盯着柜台里的小熊玩偶。	1	{}				{}					140301899				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301899	102010401	1	{}		100	1	折纸喜欢……小熊玩偶吗？	1	{}				{}					140301900				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301900	102010401	1	{}		100	鸢一折纸	只是觉得和%s很像。	1	{}				{}					140301901				1			id_pose_3		id_look_6				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140301901	102010401	1	{}		100	1	和我……呃……	1	{}				{}					140301902				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301902	102010401	1	{}		100		看着玻璃后面憨憨的小熊，我一时无语。	1	{}				{}					140301903				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301903	102010401	1	{}		100	1	那我给你买一个吧。白色的怎么样？感觉是折纸的颜色。	1	{}				{}					140301904				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301904	102010401	1	{}		100	鸢一折纸	嗯？	1	{}				{}					140301905				1			id_pose_1		id_look_3				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140301905	102010401	1	{}		100	1	给你。	1	{}				{}					140301906				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301906	102010401	1	{}		100	鸢一折纸	……谢谢。	1	{}				{}					140301907				1									{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140301907	102010401	1	{}		100		折纸抱着小熊，微微勾起嘴角。	1	{}				{}					140301908				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301908	102010401	1	{}		100	鸢一折纸	走吧，拿不下了。	1	{}				{}					140301909	2			1			id_pose_1	1	id_look_2				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140301909	102010401	1	{}		100	1	说的也是……	1	{}				{}					140301910				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301910	102010401	1	{}		100		太多娃娃了，得回家放好才行。	1	{}				{}					140301911				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301911	102010401	1	{}		100	1	折纸还有什么想去的地方吗？	1	{}				{}					140301912				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301912	102010401	1	{}		100	鸢一折纸	有，我要去买香薰蜡烛。	1	{}				{}					140301913				1			id_pose_5		id_look_6				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140301913	102010401	1	{}		100		蜡烛吗……确实，折纸家里一直有幽香，应该是点的蜡烛吧。	1	{}				{}					140301914				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301914	102010401	1	{}		100	1	那就一起去吧。	1	{}				{}					140301915				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301915	102010401	1	{}		100	鸢一折纸	啊，我有重要的事情要离开一会儿。	1	{}				{}					140301916				1			id_pose_3		id_look_2				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140301916	102010401	1	{}		100	1	什么事情？	1	{}				{}					140301917				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301917	102010401	1	{}		100	鸢一折纸	抱歉，我之前拜托同事拿的东西到了，我要去见她。	1	{}				{}					140301918				1			id_pose_5		id_look_7				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140301918	102010401	1	{}		100	1	那我陪你……	1	{}				{}					140301919				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301919	102010401	1	{}		100	鸢一折纸	不用了。你去商场等我吧。	1	{}				{}					140301920				1			id_pose_3		id_look_5				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140301920	102010401	1	{}		100	1	好。我等你。	1	{}				{}					140311920				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140311920	102010401	1	{}		100			1	{}				{}					140301921						3							{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301921	102010401	1	{}		100		折纸点了点头离开了。	1	{}				{}				1	140301922													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140301922	102010401	1	{}		100		果然，我还是不想利用折纸去获得情报啊……	1	{}				{}				1														{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
																																																																																																			
																																																																																																			
140401101	102010511	1	{}		100		1	1	{}				{}					140401102	4												{}											{}											{}							scene/bg/bg_huanghunjiedao.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140401102	102010511	1	{}		100		先把娃娃放回家一部分吧。	1	{}				{}					140401103													{}											{}											{}												{}	sound/bgm/date_008.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140401103	102010511	1	{}		100		我这样想着，走到了家门口。	1	{}				{}					140401104													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401104	102010511	1	{}		100		等等，前面怎么有个鬼鬼祟祟的身影……	1	{}				{}					140401105													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401105	102010511	1	{}		100	1	神无月？你怎么会在这里？	1	{}				{}					140401106													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401106	102010511	1	{}		100	神无月	哦，%s啊，我可以进司令的房间看一眼吗？	1	{}				{}					140401107													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401107	102010511	1	{}		100	1	当然不行啊！你要干什么？	1	{}				{}					140401108													{}											{}											{}		0.1-7-9-5-0.024	4									{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401108	102010511	1	{}		100	神无月	别这么紧张嘛。只是看一下司令大人的日常生活啊。我什么都不会动的！	1	{}				{}					140401109													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401109	102010511	1	{}		100	1	……动什么？	1	{}				{}					140401110													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401110	102010511	1	{}		100	神无月	穿过的衣服、咬过的棒棒糖、吃剩的饼干……	1	{}				{}					140401111													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401111	102010511	1	{}		100	1	想都别想！！	1	{}				{}					140401112													{}											{}											{}		0.1-7-9-5-0.024	4									{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401112	102010511	1	{}		100		怎么可能让这个不靠谱的家伙看我妹妹的房间啊！	1	{}				{}					140401113													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401113	102010511	1	{}		100	神无月	居然直接拒绝了，好伤心。	1	{}				{}					140401114													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401114	102010511	1	{}		100		1	1	{}				{}					140401115													{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140401115	102010511	1	{}		100		我离开时，神无月还恋恋不舍地在家门口徘徊。	1	{}				{}				1	140401116													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401116	102010511	1	{}		100		这家伙……不会乱来吧……	1	{}				{}																		{}											{}											{}												{}																	{}	{}					{}	{}		{}					{"sign":[401]}	{}	{}	
																																																																																																			
140401201	102010512	1	{}		100		1	1	{}				{}					140401202	4												{}											{}											{}							scene/bg/bg_huanghunjiedao.png	1		1	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140401202	102010512	1	{}		100		果然还是不太放心啊……	1	{}				{}					140401203													{}											{}											{}												{}	sound/bgm/date_008.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140401203	102010512	1	{}		100	1	呼……神无月已经走了吗……	1	{}				{}					140401204													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401204	102010512	1	{}		100		1	1	{}				{}					140401205													{}											{}											{}							scene/bg/bg_keting.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140401205	102010512	1	{}		100		家里空荡荡的，也没有奇怪的声音。	1	{}				{}					140401206													{}											{}											{}												{}	sound/bgm/date_013.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140401206	102010512	1	{}		100		但是，总觉得哪里不对劲……有小偷？	1	{}				{}					140401207													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401207	102010512	1	{}		100		1	1	{}				{}					140401208													{}											{}											{}							scene/bg/bg_shidaowoshi.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140401208	102010512	1	{}		100	1	哇啊！	1	{}				{}					140401209													{}											{}											{}		0.1-7-9-5-0.024	4									{}	sound/bgm/date_013.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140401209	102010512	1	{}		100	神无月	哇啊！！	1	{}				{}					140401210													{}											{}											{}		0.1-7-9-5-0.024	4									{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401210	102010512	1	{}		100	1	神无月，你怎么还在啊？	1	{}				{}					140401211													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401211	102010512	1	{}		100		神无月居然站在我家的阳台上。	1	{}				{}					140401212													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401212	102010512	1	{}		100	神无月	咳咳，我只是帮你们收衣服而已。	1	{}				{}					140401213													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401213	102010512	1	{}		100		他怀里抱着的是……琴里的衣服！	1	{}				{}					140401214													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401214	102010512	1	{}		100	1	我、我自己会收的！你离我们家远一点。	1	{}				{}					140401215													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401215	102010512	1	{}		100		我一把夺过衣服，用眼神警告着他。	1	{}				{}					140401216													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401216	102010512	1	{}		100	神无月	什么嘛，我可是一片好心。	1	{}				{}					140401217													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401217	102010512	1	{}		100	1	你是不是还打算帮琴里收拾房间啊……	1	{}				{}					140401218													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401218	102010512	1	{}		100	神无月	哈哈~是啊是啊！	1	{}				{}					140401219													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401219	102010512	1	{}		100	1	居然承认了！这是什么变态的做法啊……总之你快点走吧，我们不需要……	1	{}				{}					140401220													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401220	102010512	1	{}		100	神无月	我明明是好心帮忙的啊，你看，天色已经暗下来了。	1	{}				{}					140401221													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401221	102010512	1	{}		100	1	……什么时候天空变得乌云密布了？……好像真的要下雨了……	1	{}				{}					140401222													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401222	102010512	1	{}		100	1	衣服什么的我来收就好了。	1	{}				{}					140401223													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401223	102010512	1	{}		100	神无月	那%s不要告诉司令大人我来过哦。	1	{}				{}					140401224													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401224	102010512	1	{}		100	1	……	1	{}				{}					140401225													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401225	102010512	1	{}		100		1	1	{}				{}					140401226													{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140401226	102010512	1	{}		100		折纸不会淋雨吧……我还是带上伞比较好……	1	{}				{}				1	140401227													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401227	102010512	1	{}		100		一会儿下雨了就糟糕了。	1	{}				{}								303-401										{}											{}											{}												{}																	{}	{}					{}	{}		{}					{"items":{543138:1},"sign":[1001]}	{}	{}	
																																																																																																			
140401301	102010513	1	{}		100		1	1	{}				{}					140401302	4												{}											{}											{}							scene/bg/bg_chaoshi.png	1		1.3	-1	{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140401302	102010513	1	{}		100	1	十香，你怎么还在这里？	1	{}				{}					140401303													{}											{}											{}												{}	sound/bgm/date_018.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140401303	102010513	1	{}		100		十香应该已经回去了才对啊……她不是着急做饼干吗……	1	{}				{}					140401304													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401304	102010513	1	{}		100	夜刀神十香	%s，我好像忘记了一样很重要的东西。	1	{}				{}					140401305				10107	3		id_pose_7		id_look_12			2	{}	1.2										{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140401305	102010513	1	{}		100	1	没有列清单吗？	1	{}				{}					140401306				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401306	102010513	1	{}		100	夜刀神十香	有，但是掉了……我想不起来了。	1	{}				{}				1	140401307				1			id_pose_12		id_look_2				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140401307	102010513	1	{}		100		呃，让我来想想，做烤饼干的话……	1	{}				{}					140401308-140401309-140401311	5			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401308	102010513	1	{}		100	1	可可粉你买了吗？	1	{}				{}					140401310	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401309	102010513	1	{}		100	1	黄油你买够了吗？	1	{}				{}				1	140401310	1			1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401310	102010513	1	{}		100	夜刀神十香	嗯！好像是的！谢谢%s！	1	{}				{}									1			id_pose_12		id_look_4				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140401311	102010513	1	{"ownSign":[201]}		100	1	要不要买点巧克力？	1	{}				{}					140401312	1		201	1									{}											{}											{}												{}																	{}	{}					{}	{"sign":[402]}		{}					{}	{}	{}	
140401312	102010513	1	{}		100	夜刀神十香	巧克力？啊，%s说的是可可粉吧！	1	{}				{}					140401313				1			id_pose_8		id_look_7				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140401313	102010513	1	{}		100	1	嗯，是需要可可粉的。但是我听说折纸做饼干的时候……	1	{}				{}					140401314				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401314	102010513	1	{}		100	夜刀神十香	怎么怎么？	1	{}				{}					140401315				1			id_pose_10		id_look_11				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140401315	102010513	1	{}		100		十香突然凑近，眼里闪着亮光。	1	{}				{}					140401316				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401316	102010513	1	{}		100	1	啊……折纸做巧克力曲奇的时候，除了可可粉，也会放一点巧克力呢。	1	{}				{}					140401317				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401317	102010513	1	{}		100	夜刀神十香	巧克力！我也可以买一点巧克力。来帮我选一下！	1	{}				{}					140401318				1			id_pose_12		id_look_4				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140401318	102010513	1	{}		100	1	唔，好。	1	{}				{}					140401319				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401319	102010513	1	{}		100		1	1	{}				{}					140401320						3							{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140401320	102010513	1	{}		100		1	1	{}				{}					140401321													{}											{}											{}							scene/bg/bg_chaoshi.png	1		1.75	-1	{"x":426,"y":240}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140401321	102010513	1	{}		100		我带着十香在巧克力货架前选购。	1	{}				{}					140401322													{}											{}											{}												{}	sound/bgm/date_018.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140401322	102010513	1	{}		100	1	这个……	1	{}				{}					140401323													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401323	102010513	1	{}		100	夜刀神十香	这个吗？LOVE牌的……	1	{}				{}					140401324				10107	3		id_pose_8		id_look_7			2	{}	1.2										{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140401324	102010513	1	{}		100	1	折纸用的是这个牌子的巧克力。	1	{}				{}				1	140401325				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401325	102010513	1	{}		100	夜刀神十香	我明白了！我一定能比她更厉害！	1	{}				{}									1			id_normal_6						{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
																																																																																																			
140401401	102010514	1	{}		100		1	1	{}				{}					140401402	4												{}											{}											{}							scene/bg/bg_youlechang.png	1		1.3	-1	{"x":0,"y":0}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140401402	102010514	1	{}		100		折纸居然在游乐场吗……	1	{}				{}				1	140401403													{}											{}											{}												{}	sound/bgm/date_006.mp3																{}	{}					{}	{}		{}					{}	{}	{}	
140401403	102010514	1	{}		100		好像在和一个女孩子交易着什么？\n总感觉很神秘，要不要上去打招呼呢，可是她明明说过不想我跟上来的……	1	{}				{}					140401404-140401410	5												{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401404	102010514	1	{}		100		打招呼	1	{}				{}					140401405	1												{}											{}											{}												{}																	{}	{}					{}	{"quality":{102102:2,102103:2}}		{}					{}	{}	{}	
140401405	102010514	1	{}		100		我也不是故意跟着折纸的，装看不见的话我可做不到啊。	1	{}				{}					140401406													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401406	102010514	1	{}		100	1	折纸……你在这里啊。	1	{}				{}					140401407				10207	3							2	{}	1.2										{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401407	102010514	1	{}		100	鸢一折纸	%s。	1	{}				{}					140401408				1			id_pose_1		id_look_3				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140401408	102010514	1	{}		100	1	你同事已经走了吗？	1	{}				{}					140401409				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401409	102010514	1	{}		100	鸢一折纸	走了。	1	{}				{}					140401415				1			id_pose_3		id_look_5				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140401410	102010514	1	{}		100		假装没看见	1	{}				{}					140401411	1					3							{}											{}											{}												{}																	{}	{}					{}	{"quality":{102101:2,102103:2}}		{}					{}	{}	{}	
140401411	102010514	1	{}		100		转身正想要离开，折纸开口叫住了我。	1	{}				{}					140401412													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401412	102010514	1	{}		100	鸢一折纸	%s。	1	{}				{}					140401413				10207	3							2	{}	1.2										{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140401413	102010514	1	{}		100	1	啊，折纸，这么巧。你同事呢？	1	{}				{}					140401414				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401414	102010514	1	{}		100	鸢一折纸	走了。	1	{}				{}					140401415				1			id_pose_3		id_look_5				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140401415	102010514	1	{}		100	1	这样啊……那要不要去做摩天轮呢？现在好像没什么人了，或许连VIP通行券都可以不用呢……	1	{}				{}					140401416				1									{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401416	102010514	1	{}		100	鸢一折纸	好，走吧。	1	{}				{}					140401417				1			id_pose_5		id_look_6				{}											{}											{}												{}				1													{}	{}					{}	{}		{}					{}	{}	{}	
140401417	102010514	1	{}		100		1	1	{}				{}					140401418						3							{}											{}											{}												{}												1	1				{}	{}					{}	{}		{}					{}	{}	{}	
140401418	102010514	1	{}		100		我和折纸坐在了摩天轮上，缓缓升高，天宫市的景色尽收眼底……	1	{}				{}					140411418													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140411418	102010514	1	{}		100			1	{}				{}					140401419													{}											{}											{}							scene/bg/bg_tiankong.png	3		1.3	-1	{"x":0,"y":0}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401419	102010514	1	{}		100	鸢一折纸	有一个关于摩天轮的传说……	1	{}				{}					140401420													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401420	102010514	1	{}		100	1	哎？是什么？	1	{}				{}					140401421													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
140401421	102010514	1	{}		100	鸢一折纸	当摩天轮到达最高点的时候，可以许一个愿望，一定会实现。	1	{}				{}					140401422													{}											{}											{}												{}																	{}	{}					{}	{}		{}					{}	{}	{}	
