id	排序	所属日期（1~7分别对应周1~周日）	刷怪组id	关卡等级(刷出怪物的等级，不用刷怪器中的怪物等级)	难度(1-普通关卡，2-BOSS关卡)	关卡类型(1-Boss，2-精灵，3-精英，4-杂兵)	地图ID	关卡脚本	关卡步骤表ID（完全由编辑器生成的关卡不填）	关卡时长	关卡倒计计时延迟时间	战斗角色大小比例	地图摄像机修正	关卡限定属性(1普攻伤害降低且技能伤害提高，2普攻伤害提高且技能伤害降低，后续扩展)	限定对象类型(1角色，2助战伙伴，3所有怪物(包含Boss)，4特指Boss，5普通怪物，6精英怪物)	限定属性描述	通关条件类型(1歼灭，暂无其他通关条件类型)	通关条件参数	背景音乐	关卡掉落展示	进入等级	消耗资源	可进入次数	奖励	层数奖励	模式名字	模式描述	推荐攻略描述	词缀怪物总数	词缀怪物出现区间	是否播放胜利动作
102090	90	2	4000001	60	2	1	12	2_DEMboss		180	15000	0.6	270			300906	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400090	{500001:27000,500002:180,570005:27}	300842	300852	300862			1
102091	91	2	3000271-3000272-3000273	70	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400091	{500001:30000,500002:200,570005:30}	300842	300852	300862	5	3-15	1
102092	92	2	3000274-3000275-3000276	70	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400092	{500001:30000,500002:200,570005:30}	300842	300852	300862	5	3-15	1
102093	93	2	3000277	70	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400093	{500001:30000,500002:200,570005:30}	300842	300852	300862	5	3-15	1
102094	94	2	3000280	70	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400094	{500001:30000,500002:200,570005:30}	300842	300852	300862	5	3-15	1
102095	95	2	3000283-3000284-3000285	70	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400095	{500001:30000,500002:200,570005:30}	300842	300852	300862	5	3-15	1
102096	96	2	3000286-3000287-3000288	70	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400096	{500001:30000,500002:200,570005:30}	300842	300852	300862	5	3-15	1
102097	97	2	3000289	70	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400097	{500001:30000,500002:200,570005:30}	300842	300852	300862	5	3-15	1
102098	98	2	3000292	70	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400098	{500001:30000,500002:200,570005:30}	300842	300852	300862	5	3-15	1
102099	99	2	3000295-3000296-3000297	70	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8106	3	300906	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400099	{500001:30000,500002:200,570005:30}	300842	300852	300862	5	3-15	1
102100	100	2	4000001	70	2	1	12	2_DEMboss		180	15000	0.6	270			300906	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400100	{500001:30000,500002:200,570005:30}	300842	300852	300862			1
																															
																															
																															
103001	1	3	3000001-3000002-3000003	10	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400001	{500001:3000,500002:20,570005:3}	300843	300853	300863	2	3-15	1
103002	2	3	3000004-3000005-3000006	10	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400002	{500001:3000,500002:20,570005:3}	300843	300853	300863	2	3-15	1
103003	3	3	3000007	10	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400003	{500001:3000,500002:20,570005:3}	300843	300853	300863	2	3-15	1
103004	4	3	3000010	10	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400004	{500001:3000,500002:20,570005:3}	300843	300853	300863	2	3-15	1
103005	5	3	3000013-3000014-3000015	10	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400005	{500001:3000,500002:20,570005:3}	300843	300853	300863	2	3-15	1
103006	6	3	3000016-3000017-3000018	10	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400006	{500001:3000,500002:20,570005:3}	300843	300853	300863	2	3-15	1
103007	7	3	3000019	10	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400007	{500001:3000,500002:20,570005:3}	300843	300853	300863	2	3-15	1
103008	8	3	3000022	10	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400008	{500001:3000,500002:20,570005:3}	300843	300853	300863	2	3-15	1
103009	9	3	3000025-3000026-3000027	10	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400009	{500001:3000,500002:20,570005:3}	300843	300853	300863	2	3-15	1
103010	10	3	4000001	10	2	1	12	2_DEMboss		180	15000	0.6	270			300903	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400010	{500001:3000,500002:20,570005:3}	300843	300853	300863			1
103011	11	3	3000031-3000032-3000033	15	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400011	{500001:6000,500002:40,570005:6}	300843	300853	300863	2	3-15	1
103012	12	3	3000034-3000035-3000036	15	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400012	{500001:6000,500002:40,570005:6}	300843	300853	300863	2	3-15	1
103013	13	3	3000037	15	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400013	{500001:6000,500002:40,570005:6}	300843	300853	300863	2	3-15	1
103014	14	3	3000040	15	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400014	{500001:6000,500002:40,570005:6}	300843	300853	300863	2	3-15	1
103015	15	3	3000043-3000044-3000045	15	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400015	{500001:6000,500002:40,570005:6}	300843	300853	300863	2	3-15	1
103016	16	3	3000046-3000047-3000048	15	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400016	{500001:6000,500002:40,570005:6}	300843	300853	300863	2	3-15	1
103017	17	3	3000049	15	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400017	{500001:6000,500002:40,570005:6}	300843	300853	300863	2	3-15	1
103018	18	3	3000052	15	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400018	{500001:6000,500002:40,570005:6}	300843	300853	300863	2	3-15	1
103019	19	3	3000055-3000056-3000057	15	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400019	{500001:6000,500002:40,570005:6}	300843	300853	300863	2	3-15	1
103020	20	3	4000001	15	2	1	12	2_DEMboss		180	15000	0.6	270			300903	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400020	{500001:6000,500002:40,570005:6}	300843	300853	300863			1
103021	21	3	3000061-3000062-3000063	20	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400021	{500001:9000,500002:60,570005:9}	300843	300853	300863	2	3-15	1
103022	22	3	3000064-3000065-3000066	20	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400022	{500001:9000,500002:60,570005:9}	300843	300853	300863	2	3-15	1
103023	23	3	3000067	20	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400023	{500001:9000,500002:60,570005:9}	300843	300853	300863	2	3-15	1
103024	24	3	3000070	20	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400024	{500001:9000,500002:60,570005:9}	300843	300853	300863	2	3-15	1
103025	25	3	3000073-3000074-3000075	20	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400025	{500001:9000,500002:60,570005:9}	300843	300853	300863	2	3-15	1
103026	26	3	3000076-3000077-3000078	20	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400026	{500001:9000,500002:60,570005:9}	300843	300853	300863	2	3-15	1
103027	27	3	3000079	20	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400027	{500001:9000,500002:60,570005:9}	300843	300853	300863	2	3-15	1
103028	28	3	3000082	20	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400028	{500001:9000,500002:60,570005:9}	300843	300853	300863	2	3-15	1
103029	29	3	3000085-3000086-3000087	20	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400029	{500001:9000,500002:60,570005:9}	300843	300853	300863	2	3-15	1
103030	30	3	4000001	20	2	1	12	2_DEMboss		180	15000	0.6	270			300903	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400030	{500001:9000,500002:60,570005:9}	300843	300853	300863			1
103031	31	3	3000091-3000092-3000093	25	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400031	{500001:12000,500002:80,570005:12}	300843	300853	300863	3	3-15	1
103032	32	3	3000094-3000095-3000096	25	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400032	{500001:12000,500002:80,570005:12}	300843	300853	300863	3	3-15	1
103033	33	3	3000097	25	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400033	{500001:12000,500002:80,570005:12}	300843	300853	300863	3	3-15	1
103034	34	3	3000100	25	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400034	{500001:12000,500002:80,570005:12}	300843	300853	300863	3	3-15	1
103035	35	3	3000103-3000104-3000105	25	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400035	{500001:12000,500002:80,570005:12}	300843	300853	300863	3	3-15	1
103036	36	3	3000106-3000107-3000108	25	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400036	{500001:12000,500002:80,570005:12}	300843	300853	300863	3	3-15	1
103037	37	3	3000109	25	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400037	{500001:12000,500002:80,570005:12}	300843	300853	300863	3	3-15	1
103038	38	3	3000112	25	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400038	{500001:12000,500002:80,570005:12}	300843	300853	300863	3	3-15	1
103039	39	3	3000115-3000116-3000117	25	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400039	{500001:12000,500002:80,570005:12}	300843	300853	300863	3	3-15	1
103040	40	3	4000001	25	2	1	12	2_DEMboss		180	15000	0.6	270			300903	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400040	{500001:12000,500002:80,570005:12}	300843	300853	300863			1
103041	41	3	3000121-3000122-3000123	30	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400041	{500001:15000,500002:100,570005:15}	300843	300853	300863	3	3-15	1
103042	42	3	3000124-3000125-3000124	30	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400042	{500001:15000,500002:100,570005:15}	300843	300853	300863	3	3-15	1
103043	43	3	3000127	30	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400043	{500001:15000,500002:100,570005:15}	300843	300853	300863	3	3-15	1
103044	44	3	3000130	30	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400044	{500001:15000,500002:100,570005:15}	300843	300853	300863	3	3-15	1
103045	45	3	3000133-3000134-3000135	30	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400045	{500001:15000,500002:100,570005:15}	300843	300853	300863	3	3-15	1
103046	46	3	3000136-3000137-3000138	30	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400046	{500001:15000,500002:100,570005:15}	300843	300853	300863	3	3-15	1
103047	47	3	3000139	30	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400047	{500001:15000,500002:100,570005:15}	300843	300853	300863	3	3-15	1
103048	48	3	3000142	30	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400048	{500001:15000,500002:100,570005:15}	300843	300853	300863	3	3-15	1
103049	49	3	3000145-3000146-3000147	30	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400049	{500001:15000,500002:100,570005:15}	300843	300853	300863	3	3-15	1
103050	50	3	4000001	30	2	1	12	2_DEMboss		180	15000	0.6	270			300903	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400050	{500001:15000,500002:100,570005:15}	300843	300853	300863			1
103051	51	3	3000151-3000152-3000153	35	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400051	{500001:18000,500002:120,570005:18}	300843	300853	300863	3	3-15	1
103052	52	3	3000154-3000155-3000156	35	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400052	{500001:18000,500002:120,570005:18}	300843	300853	300863	3	3-15	1
103053	53	3	3000157	35	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400053	{500001:18000,500002:120,570005:18}	300843	300853	300863	3	3-15	1
103054	54	3	3000160	35	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400054	{500001:18000,500002:120,570005:18}	300843	300853	300863	3	3-15	1
103055	55	3	3000163-3000164-3000165	35	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400055	{500001:18000,500002:120,570005:18}	300843	300853	300863	3	3-15	1
103056	56	3	3000166-3000167-3000168	35	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400056	{500001:18000,500002:120,570005:18}	300843	300853	300863	3	3-15	1
103057	57	3	3000169	35	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400057	{500001:18000,500002:120,570005:18}	300843	300853	300863	3	3-15	1
103058	58	3	3000172	35	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400058	{500001:18000,500002:120,570005:18}	300843	300853	300863	3	3-15	1
103059	59	3	3000175-3000176-3000177	35	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400059	{500001:18000,500002:120,570005:18}	300843	300853	300863	3	3-15	1
103060	60	3	4000001	35	2	1	12	2_DEMboss		180	15000	0.6	270			300903	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400060	{500001:18000,500002:120,570005:18}	300843	300853	300863			1
103061	61	3	3000181-3000182-3000183	40	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400061	{500001:21000,500002:140,570005:21}	300843	300853	300863	4	3-15	1
103062	62	3	3000184-3000185-3000186	40	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400062	{500001:21000,500002:140,570005:21}	300843	300853	300863	4	3-15	1
103063	63	3	3000187	40	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400063	{500001:21000,500002:140,570005:21}	300843	300853	300863	4	3-15	1
103064	64	3	3000190	40	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400064	{500001:21000,500002:140,570005:21}	300843	300853	300863	4	3-15	1
103065	65	3	3000193-3000194-3000195	40	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400065	{500001:21000,500002:140,570005:21}	300843	300853	300863	4	3-15	1
103066	66	3	3000196-3000197-3000198	40	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400066	{500001:21000,500002:140,570005:21}	300843	300853	300863	4	3-15	1
103067	67	3	3000199	40	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400067	{500001:21000,500002:140,570005:21}	300843	300853	300863	4	3-15	1
103068	68	3	3000202	40	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400068	{500001:21000,500002:140,570005:21}	300843	300853	300863	4	3-15	1
103069	69	3	3000205-3000206-3000207	40	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400069	{500001:21000,500002:140,570005:21}	300843	300853	300863	4	3-15	1
103070	70	3	4000001	40	2	1	12	2_DEMboss		180	15000	0.6	270			300903	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400070	{500001:21000,500002:140,570005:21}	300843	300853	300863			1
103071	71	3	3000211-3000212-3000213	50	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400071	{500001:24000,500002:160,570005:24}	300843	300853	300863	4	3-15	1
103072	72	3	3000214-3000215-3000216	50	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400072	{500001:24000,500002:160,570005:24}	300843	300853	300863	4	3-15	1
103073	73	3	3000217	50	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400073	{500001:24000,500002:160,570005:24}	300843	300853	300863	4	3-15	1
103074	74	3	3000220	50	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400074	{500001:24000,500002:160,570005:24}	300843	300853	300863	4	3-15	1
103075	75	3	3000223-3000224-3000225	50	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400075	{500001:24000,500002:160,570005:24}	300843	300853	300863	4	3-15	1
103076	76	3	3000226-3000227-3000228	50	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400076	{500001:24000,500002:160,570005:24}	300843	300853	300863	4	3-15	1
103077	77	3	3000229	50	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400077	{500001:24000,500002:160,570005:24}	300843	300853	300863	4	3-15	1
103078	78	3	3000232	50	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400078	{500001:24000,500002:160,570005:24}	300843	300853	300863	4	3-15	1
103079	79	3	3000235-3000236-3000237	50	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400079	{500001:24000,500002:160,570005:24}	300843	300853	300863	4	3-15	1
103080	80	3	4000001	50	2	1	12	2_DEMboss		180	15000	0.6	270			300903	1	[[1]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400080	{500001:24000,500002:160,570005:24}	300843	300853	300863			1
103081	81	3	3000241-3000242-3000243	60	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400081	{500001:27000,500002:180,570005:27}	300843	300853	300863	4	3-15	1
103082	82	3	3000244-3000245-3000246	60	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400082	{500001:27000,500002:180,570005:27}	300843	300853	300863	4	3-15	1
103083	83	3	3000247	60	1	3	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400083	{500001:27000,500002:180,570005:27}	300843	300853	300863	4	3-15	1
103084	84	3	3000250	60	1	2	13-16	2_DEM001-2_DEM002-2_DEM003	6002	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400084	{500001:27000,500002:180,570005:27}	300843	300853	300863	4	3-15	1
103085	85	3	3000253-3000254-3000255	60	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400085	{500001:27000,500002:180,570005:27}	300843	300853	300863	4	3-15	1
103086	86	3	3000256-3000257-3000258	60	1	4	13-16	2_DEM001-2_DEM002-2_DEM003	6001	180		0.6		8103	3	300903	1	[[2]]	sound/battle_sound/battle_002.mp3	500001-570006-570007	1		99	60400086	{500001:27000,500002:180,570005:27}	300843	300853	300863	4	3-15	1
